,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년04월_계_총인구수,"542,929","55,708","17,588","6,698","7,827","3,806","3,239","6,323","10,064","9,687","10,217","74,747","80,813","9,569","41,348","34,401","7,931","56,282","36,868","69,813"
2020년04월_계_연령구간인구수,"542,929","55,708","17,588","6,698","7,827","3,806","3,239","6,323","10,064","9,687","10,217","74,747","80,813","9,569","41,348","34,401","7,931","56,282","36,868","69,813"
2020년04월_계_0~9세,"51,299","6,721","2,677",237,225,78,92,182,583,676,640,"5,053","7,718",559,"2,771","1,753",587,"5,729","3,914","11,104"
2020년04월_계_10~19세,"62,379","5,925","1,256",367,342,122,162,231,744,605,712,"8,296","10,814",734,"3,999","3,358",804,"8,118","5,269","10,521"
2020년04월_계_20~29세,"69,240","5,522","2,195",639,696,321,296,504,"1,330","1,201","1,489","12,477","10,857","1,283","6,299","5,886","1,043","6,760","4,365","6,077"
2020년04월_계_30~39세,"71,961","9,221","4,064",561,628,259,261,464,"1,323","1,287","1,231","8,489","9,964","1,000","4,650","3,180",855,"7,184","5,017","12,323"
2020년04월_계_40~49세,"99,405","10,612","2,733",876,780,367,353,609,"1,449","1,282","1,487","12,431","15,669","1,371","6,724","5,348","1,296","12,124","7,914","15,980"
2020년04월_계_50~59세,"95,696","8,211","2,613","1,541","1,713",861,750,"1,210","2,049","1,854","2,167","16,193","14,443","2,023","8,815","7,718","1,580","8,760","5,749","7,446"
2020년04월_계_60~69세,"54,819","5,602","1,299","1,291","1,776",895,771,"1,685","1,531","1,538","1,495","7,103","6,947","1,519","4,945","4,333","1,066","4,317","2,769","3,937"
2020년04월_계_70~79세,"25,705","2,596",452,754,"1,013",592,378,936,726,867,698,"3,121","2,952",730,"2,195","1,892",483,"2,248","1,319","1,753"
2020년04월_계_80~89세,"11,019","1,142",268,371,577,278,142,433,289,335,263,"1,416","1,294",321,849,845,191,931,489,585
2020년04월_계_90~99세,"1,328",148,31,60,76,32,31,67,35,37,29,159,149,28,90,84,21,104,63,84
2020년04월_계_100세 이상,78,8,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,3
2020년04월_남_총인구수,"274,576","28,670","8,983","3,632","4,259","2,010","1,786","3,276","5,144","4,925","5,229","37,206","40,504","5,033","21,029","17,618","4,020","28,067","18,507","34,678"
2020년04월_남_연령구간인구수,"274,576","28,670","8,983","3,632","4,259","2,010","1,786","3,276","5,144","4,925","5,229","37,206","40,504","5,033","21,029","17,618","4,020","28,067","18,507","34,678"
2020년04월_남_0~9세,"26,139","3,444","1,331",138,124,52,55,79,291,353,345,"2,641","3,962",283,"1,402",912,311,"2,872","1,963","5,581"
2020년04월_남_10~19세,"32,587","3,095",643,200,202,65,83,137,376,333,383,"4,339","5,722",391,"2,126","1,763",398,"4,172","2,731","5,428"
2020년04월_남_20~29세,"37,463","3,044","1,115",382,442,191,169,306,751,679,801,"6,673","5,847",702,"3,389","3,309",555,"3,625","2,317","3,166"
2020년04월_남_30~39세,"36,965","4,788","2,115",312,398,155,164,276,751,665,666,"4,425","4,948",578,"2,526","1,770",461,"3,554","2,563","5,850"
2020년04월_남_40~49세,"49,440","5,708","1,428",544,506,225,216,352,755,685,756,"5,752","7,447",743,"3,364","2,607",638,"5,923","3,847","7,944"
2020년04월_남_50~59세,"49,323","4,230","1,317",883,979,476,434,641,"1,033",924,"1,105","8,049","7,418","1,084","4,454","3,916",816,"4,595","3,055","3,914"
2020년04월_남_60~69세,"27,917","2,801",738,702,964,476,421,894,781,782,750,"3,699","3,515",822,"2,538","2,285",547,"2,048","1,331","1,823"
2020년04월_남_70~79세,"11,060","1,181",212,328,465,281,189,435,316,373,318,"1,205","1,227",321,946,784,218,935,543,783
2020년04월_남_80~89세,"3,396",351,73,135,166,81,48,138,82,122,99,388,388,107,259,256,67,316,143,177
2020년04월_남_90~99세,263,26,11,8,13,8,6,17,5,8,5,32,30,2,20,15,7,24,14,12
2020년04월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년04월_여_총인구수,"268,353","27,038","8,605","3,066","3,568","1,796","1,453","3,047","4,920","4,762","4,988","37,541","40,309","4,536","20,319","16,783","3,911","28,215","18,361","35,135"
2020년04월_여_연령구간인구수,"268,353","27,038","8,605","3,066","3,568","1,796","1,453","3,047","4,920","4,762","4,988","37,541","40,309","4,536","20,319","16,783","3,911","28,215","18,361","35,135"
2020년04월_여_0~9세,"25,160","3,277","1,346",99,101,26,37,103,292,323,295,"2,412","3,756",276,"1,369",841,276,"2,857","1,951","5,523"
2020년04월_여_10~19세,"29,792","2,830",613,167,140,57,79,94,368,272,329,"3,957","5,092",343,"1,873","1,595",406,"3,946","2,538","5,093"
2020년04월_여_20~29세,"31,777","2,478","1,080",257,254,130,127,198,579,522,688,"5,804","5,010",581,"2,910","2,577",488,"3,135","2,048","2,911"
2020년04월_여_30~39세,"34,996","4,433","1,949",249,230,104,97,188,572,622,565,"4,064","5,016",422,"2,124","1,410",394,"3,630","2,454","6,473"
2020년04월_여_40~49세,"49,965","4,904","1,305",332,274,142,137,257,694,597,731,"6,679","8,222",628,"3,360","2,741",658,"6,201","4,067","8,036"
2020년04월_여_50~59세,"46,373","3,981","1,296",658,734,385,316,569,"1,016",930,"1,062","8,144","7,025",939,"4,361","3,802",764,"4,165","2,694","3,532"
2020년04월_여_60~69세,"26,902","2,801",561,589,812,419,350,791,750,756,745,"3,404","3,432",697,"2,407","2,048",519,"2,269","1,438","2,114"
2020년04월_여_70~79세,"14,645","1,415",240,426,548,311,189,501,410,494,380,"1,916","1,725",409,"1,249","1,108",265,"1,313",776,970
2020년04월_여_80~89세,"7,623",791,195,236,411,197,94,295,207,213,164,"1,028",906,214,590,589,124,615,346,408
2020년04월_여_90~99세,"1,065",122,20,52,63,24,25,50,30,29,24,127,119,26,70,69,14,80,49,72
2020년04월_여_100세 이상,55,6,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,3
