,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년10월_계_총인구수,"42,901","6,481","4,509","6,035","13,673","3,889","3,539","2,640","2,135"
2020년10월_계_연령구간인구수,"42,901","6,481","4,509","6,035","13,673","3,889","3,539","2,640","2,135"
2020년10월_계_0~9세,"2,630",489,192,405,"1,132",158,133,78,43
2020년10월_계_10~19세,"3,869",578,314,517,"1,659",264,231,202,104
2020년10월_계_20~29세,"3,688",617,355,405,"1,442",271,311,154,133
2020년10월_계_30~39세,"3,837",617,286,545,"1,558",278,265,157,131
2020년10월_계_40~49세,"6,468",930,622,944,"2,587",515,394,281,195
2020년10월_계_50~59세,"7,424","1,147",824,966,"2,184",757,732,435,379
2020년10월_계_60~69세,"7,665","1,107","1,002","1,088","1,734",902,726,604,502
2020년10월_계_70~79세,"4,902",677,630,771,946,516,466,488,408
2020년10월_계_80~89세,"2,078",259,236,340,376,197,245,217,208
2020년10월_계_90~99세,276,45,40,45,47,26,29,20,24
2020년10월_계_100세 이상,64,15,8,9,8,5,7,4,8
2020년10월_남_총인구수,"21,717","3,224","2,305","3,059","6,941","1,959","1,749","1,376","1,104"
2020년10월_남_연령구간인구수,"21,717","3,224","2,305","3,059","6,941","1,959","1,749","1,376","1,104"
2020년10월_남_0~9세,"1,359",258,93,222,572,78,68,46,22
2020년10월_남_10~19세,"2,026",300,170,260,872,119,112,136,57
2020년10월_남_20~29세,"2,108",370,213,237,813,142,169,88,76
2020년10월_남_30~39세,"2,018",325,158,265,789,157,159,83,82
2020년10월_남_40~49세,"3,445",467,340,544,"1,324",287,203,170,110
2020년10월_남_50~59세,"3,965",574,457,549,"1,150",397,381,244,213
2020년10월_남_60~69세,"3,783",523,506,508,851,447,374,312,262
2020년10월_남_70~79세,"2,187",296,271,340,433,240,202,214,191
2020년10월_남_80~89세,735,93,84,119,125,85,75,76,78
2020년10월_남_90~99세,65,11,10,12,7,5,4,5,11
2020년10월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년10월_여_총인구수,"21,184","3,257","2,204","2,976","6,732","1,930","1,790","1,264","1,031"
2020년10월_여_연령구간인구수,"21,184","3,257","2,204","2,976","6,732","1,930","1,790","1,264","1,031"
2020년10월_여_0~9세,"1,271",231,99,183,560,80,65,32,21
2020년10월_여_10~19세,"1,843",278,144,257,787,145,119,66,47
2020년10월_여_20~29세,"1,580",247,142,168,629,129,142,66,57
2020년10월_여_30~39세,"1,819",292,128,280,769,121,106,74,49
2020년10월_여_40~49세,"3,023",463,282,400,"1,263",228,191,111,85
2020년10월_여_50~59세,"3,459",573,367,417,"1,034",360,351,191,166
2020년10월_여_60~69세,"3,882",584,496,580,883,455,352,292,240
2020년10월_여_70~79세,"2,715",381,359,431,513,276,264,274,217
2020년10월_여_80~89세,"1,343",166,152,221,251,112,170,141,130
2020년10월_여_90~99세,211,34,30,33,40,21,25,15,13
2020년10월_여_100세 이상,38,8,5,6,3,3,5,2,6
