,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년03월_계_총인구수,"25,437","10,763","1,279","1,503","2,515","2,648","2,280","1,470","2,979"
2021년03월_계_연령구간인구수,"25,437","10,763","1,279","1,503","2,515","2,648","2,280","1,470","2,979"
2021년03월_계_0~9세,"1,117",681,40,49,53,108,58,41,87
2021년03월_계_10~19세,"1,792","1,031",68,67,142,173,99,60,152
2021년03월_계_20~29세,"1,910","1,023",72,74,137,181,120,104,199
2021년03월_계_30~39세,"1,637",859,55,70,108,152,147,95,151
2021년03월_계_40~49세,"2,835","1,430",130,143,219,331,170,152,260
2021년03월_계_50~59세,"4,542","1,898",249,278,523,445,369,220,560
2021년03월_계_60~69세,"4,775","1,730",273,295,600,505,459,289,624
2021년03월_계_70~79세,"3,875","1,272",212,308,390,413,452,282,546
2021년03월_계_80~89세,"2,546",719,155,194,286,295,346,195,356
2021년03월_계_90~99세,389,117,23,23,54,39,58,32,43
2021년03월_계_100세 이상,19,3,2,2,3,6,2,0,1
2021년03월_남_총인구수,"12,376","5,239",645,737,"1,224","1,303","1,078",703,"1,447"
2021년03월_남_연령구간인구수,"12,376","5,239",645,737,"1,224","1,303","1,078",703,"1,447"
2021년03월_남_0~9세,552,336,23,25,25,52,26,21,44
2021년03월_남_10~19세,933,543,33,29,73,98,55,35,67
2021년03월_남_20~29세,"1,037",541,44,37,80,93,63,60,119
2021년03월_남_30~39세,881,438,27,33,68,88,87,54,86
2021년03월_남_40~49세,"1,537",717,79,92,124,182,108,82,153
2021년03월_남_50~59세,"2,527",990,146,171,289,270,212,126,323
2021년03월_남_60~69세,"2,363",855,146,148,303,243,221,138,309
2021년03월_남_70~79세,"1,628",547,87,130,159,172,191,119,223
2021년03월_남_80~89세,836,246,58,66,91,95,104,59,117
2021년03월_남_90~99세,80,26,2,6,12,8,11,9,6
2021년03월_남_100세 이상,2,0,0,0,0,2,0,0,0
2021년03월_여_총인구수,"13,061","5,524",634,766,"1,291","1,345","1,202",767,"1,532"
2021년03월_여_연령구간인구수,"13,061","5,524",634,766,"1,291","1,345","1,202",767,"1,532"
2021년03월_여_0~9세,565,345,17,24,28,56,32,20,43
2021년03월_여_10~19세,859,488,35,38,69,75,44,25,85
2021년03월_여_20~29세,873,482,28,37,57,88,57,44,80
2021년03월_여_30~39세,756,421,28,37,40,64,60,41,65
2021년03월_여_40~49세,"1,298",713,51,51,95,149,62,70,107
2021년03월_여_50~59세,"2,015",908,103,107,234,175,157,94,237
2021년03월_여_60~69세,"2,412",875,127,147,297,262,238,151,315
2021년03월_여_70~79세,"2,247",725,125,178,231,241,261,163,323
2021년03월_여_80~89세,"1,710",473,97,128,195,200,242,136,239
2021년03월_여_90~99세,309,91,21,17,42,31,47,23,37
2021년03월_여_100세 이상,17,3,2,2,3,4,2,0,1
