카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년10월_계_총인구수,"41,736","7,171","1,096","10,110","1,575","2,151","3,875","2,231","4,467","2,061","3,267","3,732"
2021년10월_계_연령구간인구수,"41,736","7,171","1,096","10,110","1,575","2,151","3,875","2,231","4,467","2,061","3,267","3,732"
2021년10월_계_0~9세,"1,413",454,37,395,43,52,116,57,120,27,59,53
2021년10월_계_10~19세,"2,196",645,24,698,43,73,149,61,266,41,92,104
2021년10월_계_20~29세,"2,582",570,54,787,65,107,198,111,244,112,160,174
2021년10월_계_30~39세,"2,601",621,84,781,74,110,250,100,230,93,115,143
2021년10월_계_40~49세,"4,258","1,008",94,"1,277",130,152,328,144,437,162,260,266
2021년10월_계_50~59세,"7,099","1,183",162,"1,770",244,332,647,427,745,416,551,622
2021년10월_계_60~69세,"9,885","1,326",272,"2,153",442,534,"1,017",614,"1,082",548,855,"1,042"
2021년10월_계_70~79세,"6,665",795,196,"1,363",327,449,628,405,786,329,660,727
2021년10월_계_80~89세,"4,390",496,150,784,182,293,470,276,468,297,448,526
2021년10월_계_90~99세,636,72,22,100,25,48,71,35,88,36,65,74
2021년10월_계_100세 이상,11,1,1,2,0,1,1,1,1,0,2,1
2021년10월_남_총인구수,"20,495","3,503",552,"4,937",762,"1,022","1,898","1,100","2,181","1,022","1,660","1,858"
2021년10월_남_연령구간인구수,"20,495","3,503",552,"4,937",762,"1,022","1,898","1,100","2,181","1,022","1,660","1,858"
2021년10월_남_0~9세,720,241,17,189,16,28,58,31,60,16,36,28
2021년10월_남_10~19세,"1,118",318,17,349,26,38,67,24,146,29,52,52
2021년10월_남_20~29세,"1,516",330,28,445,42,66,123,71,135,71,96,109
2021년10월_남_30~39세,"1,412",315,49,426,43,57,136,50,117,54,74,91
2021년10월_남_40~49세,"2,346",511,64,680,82,93,194,72,236,80,167,167
2021년10월_남_50~59세,"3,778",608,89,914,130,167,358,228,399,229,319,337
2021년10월_남_60~69세,"5,017",652,136,"1,077",213,279,511,332,536,307,436,538
2021년10월_남_70~79세,"3,053",351,93,598,146,193,284,178,390,140,325,355
2021년10월_남_80~89세,"1,409",163,54,241,60,91,153,111,144,86,139,167
2021년10월_남_90~99세,125,14,4,18,4,10,14,3,18,10,16,14
2021년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"21,241","3,668",544,"5,173",813,"1,129","1,977","1,131","2,286","1,039","1,607","1,874"
2021년10월_여_연령구간인구수,"21,241","3,668",544,"5,173",813,"1,129","1,977","1,131","2,286","1,039","1,607","1,874"
2021년10월_여_0~9세,693,213,20,206,27,24,58,26,60,11,23,25
2021년10월_여_10~19세,"1,078",327,7,349,17,35,82,37,120,12,40,52
2021년10월_여_20~29세,"1,066",240,26,342,23,41,75,40,109,41,64,65
2021년10월_여_30~39세,"1,189",306,35,355,31,53,114,50,113,39,41,52
2021년10월_여_40~49세,"1,912",497,30,597,48,59,134,72,201,82,93,99
2021년10월_여_50~59세,"3,321",575,73,856,114,165,289,199,346,187,232,285
2021년10월_여_60~69세,"4,868",674,136,"1,076",229,255,506,282,546,241,419,504
2021년10월_여_70~79세,"3,612",444,103,765,181,256,344,227,396,189,335,372
2021년10월_여_80~89세,"2,981",333,96,543,122,202,317,165,324,211,309,359
2021년10월_여_90~99세,511,58,18,82,21,38,57,32,70,26,49,60
2021년10월_여_100세 이상,10,1,0,2,0,1,1,1,1,0,2,1
