,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년12월_계_총인구수,"417,097","16,731","15,579","16,171","19,961","22,788","10,944","19,735","18,024","11,899","14,625","23,873","10,815","11,020","16,318","12,574","14,144","21,893","18,714","11,318","17,173","30,751","28,776","33,271"
2021년12월_계_연령구간인구수,"417,097","16,731","15,579","16,171","19,961","22,788","10,944","19,735","18,024","11,899","14,625","23,873","10,815","11,020","16,318","12,574","14,144","21,893","18,714","11,318","17,173","30,751","28,776","33,271"
2021년12월_계_0~9세,"28,406","1,612","1,005","1,847","1,606","1,708",475,"1,234","1,154",968,781,"1,977",504,703,934,947,831,894,989,336,"1,240","2,109","2,268","2,284"
2021년12월_계_10~19세,"49,315","2,189","1,792","2,026","4,517","2,350","1,042","3,787","2,136","1,693","1,361","4,015",819,704,"1,258",962,"1,100","1,732","1,750",593,"1,869","4,495","3,179","3,946"
2021년12월_계_20~29세,"52,915","1,878","2,232","2,010","1,928","2,879","1,770","2,451","2,075","1,251","1,976","2,654","1,665","1,392","1,989","1,150","2,193","3,115","2,422","1,234","2,056","4,136","3,860","4,599"
2021년12월_계_30~39세,"41,672","1,868","1,949","1,959","1,267","2,289","1,157","1,253","1,547","1,027","1,400","1,828","1,336","1,427","1,865","1,446","1,926","2,201","1,804",909,"1,771","2,775","3,331","3,337"
2021년12월_계_40~49세,"69,974","3,099","2,605","3,215","4,916","3,526","1,550","4,278","2,962","2,319","2,060","4,673","1,695","1,779","2,429","1,854","2,200","2,923","2,698","1,217","2,789","5,327","4,583","5,277"
2021년12월_계_50~59세,"74,743","2,779","2,691","2,654","3,055","4,076","2,052","3,508","3,194","1,893","2,873","4,266","1,856","1,884","2,793","2,037","2,744","4,159","3,549","2,060","3,110","5,764","5,075","6,671"
2021년12월_계_60~69세,"54,283","1,668","1,821","1,338","1,413","3,148","1,564","1,718","2,321","1,437","2,195","2,545","1,515","1,677","2,717","2,188","1,876","3,595","3,063","2,448","2,680","3,629","3,702","4,025"
2021년12월_계_70~79세,"29,098","1,055",978,739,819,"1,773",829,989,"1,617",866,"1,211","1,218",979,943,"1,505","1,331",836,"2,081","1,485","1,569","1,117","1,560","1,717","1,881"
2021년12월_계_80~89세,"14,636",519,446,339,383,917,457,454,891,399,676,598,397,450,705,569,381,"1,040",850,842,466,842,909,"1,106"
2021년12월_계_90~99세,"1,998",62,59,43,56,119,45,62,122,45,91,93,49,61,123,85,55,149,104,106,71,110,145,143
2021년12월_계_100세 이상,57,2,1,1,1,3,3,1,5,1,1,6,0,0,0,5,2,4,0,4,4,4,7,2
2021년12월_남_총인구수,"201,689","7,945","7,569","7,760","9,793","11,097","5,421","10,311","8,287","5,783","6,813","11,430","5,211","5,517","7,903","6,031","6,903","10,424","8,825","5,140","8,318","14,869","14,297","16,042"
2021년12월_남_연령구간인구수,"201,689","7,945","7,569","7,760","9,793","11,097","5,421","10,311","8,287","5,783","6,813","11,430","5,211","5,517","7,903","6,031","6,903","10,424","8,825","5,140","8,318","14,869","14,297","16,042"
2021년12월_남_0~9세,"14,668",794,512,927,861,898,231,700,546,509,397,"1,023",247,370,495,468,414,485,511,168,625,"1,102","1,180","1,205"
2021년12월_남_10~19세,"25,941","1,050",922,968,"2,411","1,229",597,"2,452",993,867,658,"2,014",403,383,652,530,564,962,889,290,993,"2,285","1,734","2,095"
2021년12월_남_20~29세,"28,375",955,"1,137","1,063","1,045","1,580",944,"1,470","1,081",646,"1,029","1,438",816,722,"1,031",628,"1,168","1,674","1,278",675,"1,130","2,229","2,173","2,463"
2021년12월_남_30~39세,"20,519",843,948,864,545,"1,120",645,576,760,477,690,827,693,760,981,721,956,"1,170",908,475,890,"1,338","1,679","1,653"
2021년12월_남_40~49세,"31,909","1,438","1,180","1,507","2,162","1,631",714,"1,852","1,323","1,090",886,"2,031",837,896,"1,157",899,"1,062","1,354","1,211",603,"1,271","2,354","2,119","2,332"
2021년12월_남_50~59세,"36,043","1,346","1,320","1,334","1,626","1,960",995,"1,826","1,524",989,"1,333","2,150",923,975,"1,352",960,"1,307","1,890","1,611",934,"1,434","2,719","2,435","3,100"
2021년12월_남_60~69세,"25,647",836,886,650,639,"1,487",734,816,"1,046",660,"1,011","1,177",685,793,"1,280",961,896,"1,629","1,421","1,133","1,267","1,798","1,826","2,016"
2021년12월_남_70~79세,"12,684",440,459,308,352,790,378,427,643,375,531,533,426,423,670,628,379,867,663,610,538,704,769,771
2021년12월_남_80~89세,"5,413",221,194,126,140,368,173,172,343,159,246,217,168,182,262,215,142,355,304,232,158,312,345,379
2021년12월_남_90~99세,483,22,11,13,11,34,10,20,28,11,32,19,13,13,23,21,15,37,29,19,10,27,37,28
2021년12월_남_100세 이상,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0
2021년12월_여_총인구수,"215,408","8,786","8,010","8,411","10,168","11,691","5,523","9,424","9,737","6,116","7,812","12,443","5,604","5,503","8,415","6,543","7,241","11,469","9,889","6,178","8,855","15,882","14,479","17,229"
2021년12월_여_연령구간인구수,"215,408","8,786","8,010","8,411","10,168","11,691","5,523","9,424","9,737","6,116","7,812","12,443","5,604","5,503","8,415","6,543","7,241","11,469","9,889","6,178","8,855","15,882","14,479","17,229"
2021년12월_여_0~9세,"13,738",818,493,920,745,810,244,534,608,459,384,954,257,333,439,479,417,409,478,168,615,"1,007","1,088","1,079"
2021년12월_여_10~19세,"23,374","1,139",870,"1,058","2,106","1,121",445,"1,335","1,143",826,703,"2,001",416,321,606,432,536,770,861,303,876,"2,210","1,445","1,851"
2021년12월_여_20~29세,"24,540",923,"1,095",947,883,"1,299",826,981,994,605,947,"1,216",849,670,958,522,"1,025","1,441","1,144",559,926,"1,907","1,687","2,136"
2021년12월_여_30~39세,"21,153","1,025","1,001","1,095",722,"1,169",512,677,787,550,710,"1,001",643,667,884,725,970,"1,031",896,434,881,"1,437","1,652","1,684"
2021년12월_여_40~49세,"38,065","1,661","1,425","1,708","2,754","1,895",836,"2,426","1,639","1,229","1,174","2,642",858,883,"1,272",955,"1,138","1,569","1,487",614,"1,518","2,973","2,464","2,945"
2021년12월_여_50~59세,"38,700","1,433","1,371","1,320","1,429","2,116","1,057","1,682","1,670",904,"1,540","2,116",933,909,"1,441","1,077","1,437","2,269","1,938","1,126","1,676","3,045","2,640","3,571"
2021년12월_여_60~69세,"28,636",832,935,688,774,"1,661",830,902,"1,275",777,"1,184","1,368",830,884,"1,437","1,227",980,"1,966","1,642","1,315","1,413","1,831","1,876","2,009"
2021년12월_여_70~79세,"16,414",615,519,431,467,983,451,562,974,491,680,685,553,520,835,703,457,"1,214",822,959,579,856,948,"1,110"
2021년12월_여_80~89세,"9,223",298,252,213,243,549,284,282,548,240,430,381,229,268,443,354,239,685,546,610,308,530,564,727
