카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년08월_계_총인구수,"145,551","12,014","9,360","2,475","9,661","18,132","8,298","10,107","4,148","7,199","5,110","7,315","16,499","4,925","8,021","6,699","5,897","9,691"
2021년08월_계_연령구간인구수,"145,551","12,014","9,360","2,475","9,661","18,132","8,298","10,107","4,148","7,199","5,110","7,315","16,499","4,925","8,021","6,699","5,897","9,691"
2021년08월_계_0~9세,"7,155",765,550,99,513,"1,154",669,838,184,188,100,227,626,134,210,364,264,270
2021년08월_계_10~19세,"10,587","1,142",669,175,878,"1,585",990,806,326,217,237,381,"1,331",217,456,488,351,338
2021년08월_계_20~29세,"23,034","1,582","1,227",317,"1,264","2,383",909,"1,223",483,915,"1,067","1,616","4,391",597,"1,141",932,774,"2,213"
2021년08월_계_30~39세,"19,549","1,591","1,464",326,"1,202","2,189",918,"1,609",545,922,736,"1,244","2,044",541,896,937,800,"1,585"
2021년08월_계_40~49세,"21,228","2,098","1,456",339,"1,587","2,679","1,417","1,781",708,935,570,911,"2,148",587,"1,006",910,875,"1,221"
2021년08월_계_50~59세,"24,917","1,910","1,512",386,"1,674","3,234","1,411","1,563",706,"1,322",898,"1,099","2,348","1,033","1,796","1,247","1,129","1,649"
2021년08월_계_60~69세,"20,258","1,384","1,206",414,"1,328","2,648","1,031","1,185",573,"1,409",757,920,"1,661","1,028","1,388","1,042",931,"1,353"
2021년08월_계_70~79세,"11,789",940,726,245,756,"1,316",589,724,397,824,497,567,"1,181",519,769,509,506,724
2021년08월_계_80~89세,"6,028",521,461,141,381,771,318,333,190,398,219,308,668,236,315,232,236,300
2021년08월_계_90~99세,952,74,85,27,73,165,42,43,34,63,29,40,98,33,41,37,31,37
2021년08월_계_100세 이상,54,7,4,6,5,8,4,2,2,6,0,2,3,0,3,1,0,1
2021년08월_남_총인구수,"70,715","5,570","4,205","1,171","4,621","8,447","3,862","4,670","1,918","4,270","2,724","3,460","7,987","2,637","4,125","3,293","2,852","4,903"
2021년08월_남_연령구간인구수,"70,715","5,570","4,205","1,171","4,621","8,447","3,862","4,670","1,918","4,270","2,724","3,460","7,987","2,637","4,125","3,293","2,852","4,903"
2021년08월_남_0~9세,"3,617",392,275,43,257,604,303,429,97,96,49,114,301,65,118,197,140,137
2021년08월_남_10~19세,"5,256",606,296,100,473,792,446,379,171,112,112,178,661,117,233,242,161,177
2021년08월_남_20~29세,"11,140",784,560,159,667,"1,175",419,563,220,451,513,754,"2,182",319,599,493,378,904
2021년08월_남_30~39세,"9,748",740,641,151,586,"1,011",420,723,258,532,428,623,"1,093",311,522,464,408,837
2021년08월_남_40~49세,"10,325",937,641,161,732,"1,213",665,838,340,560,334,454,"1,032",303,528,455,456,676
2021년08월_남_50~59세,"12,552",874,685,197,758,"1,473",738,763,327,917,513,544,"1,139",590,947,589,556,942
2021년08월_남_60~69세,"10,095",619,572,189,632,"1,234",477,537,263,915,438,431,805,580,703,526,442,732
2021년08월_남_70~79세,"5,229",377,299,112,339,590,252,288,158,475,231,239,481,256,333,228,213,358
2021년08월_남_80~89세,"2,443",217,202,47,157,309,127,138,76,190,99,108,262,84,125,82,90,130
2021년08월_남_90~99세,293,23,32,11,19,43,13,12,7,18,7,14,31,12,17,16,8,10
2021년08월_남_100세 이상,17,1,2,1,1,3,2,0,1,4,0,1,0,0,0,1,0,0
2021년08월_여_총인구수,"74,836","6,444","5,155","1,304","5,040","9,685","4,436","5,437","2,230","2,929","2,386","3,855","8,512","2,288","3,896","3,406","3,045","4,788"
2021년08월_여_연령구간인구수,"74,836","6,444","5,155","1,304","5,040","9,685","4,436","5,437","2,230","2,929","2,386","3,855","8,512","2,288","3,896","3,406","3,045","4,788"
2021년08월_여_0~9세,"3,538",373,275,56,256,550,366,409,87,92,51,113,325,69,92,167,124,133
2021년08월_여_10~19세,"5,331",536,373,75,405,793,544,427,155,105,125,203,670,100,223,246,190,161
2021년08월_여_20~29세,"11,894",798,667,158,597,"1,208",490,660,263,464,554,862,"2,209",278,542,439,396,"1,309"
2021년08월_여_30~39세,"9,801",851,823,175,616,"1,178",498,886,287,390,308,621,951,230,374,473,392,748
2021년08월_여_40~49세,"10,903","1,161",815,178,855,"1,466",752,943,368,375,236,457,"1,116",284,478,455,419,545
2021년08월_여_50~59세,"12,365","1,036",827,189,916,"1,761",673,800,379,405,385,555,"1,209",443,849,658,573,707
2021년08월_여_60~69세,"10,163",765,634,225,696,"1,414",554,648,310,494,319,489,856,448,685,516,489,621
2021년08월_여_70~79세,"6,560",563,427,133,417,726,337,436,239,349,266,328,700,263,436,281,293,366
2021년08월_여_80~89세,"3,585",304,259,94,224,462,191,195,114,208,120,200,406,152,190,150,146,170
2021년08월_여_90~99세,659,51,53,16,54,122,29,31,27,45,22,26,67,21,24,21,23,27
2021년08월_여_100세 이상,37,6,2,5,4,5,2,2,1,2,0,1,3,0,3,0,0,1
