,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년12월_계_총인구수,"1,077,508","260,198","33,495","27,119","20,446","23,904","8,278","8,394","19,493","25,010","31,872","12,637","36,320","13,230","441,742","38,287","30,389","17,504","41,715","13,188","33,285","21,625","26,296","40,258","32,008","32,702","27,264","26,473","24,535","36,213","375,568","36,189","41,003","37,827","29,168","18,387","27,063","49,723","20,422","33,287","27,895","54,604"
2021년12월_계_연령구간인구수,"1,077,508","260,198","33,495","27,119","20,446","23,904","8,278","8,394","19,493","25,010","31,872","12,637","36,320","13,230","441,742","38,287","30,389","17,504","41,715","13,188","33,285","21,625","26,296","40,258","32,008","32,702","27,264","26,473","24,535","36,213","375,568","36,189","41,003","37,827","29,168","18,387","27,063","49,723","20,422","33,287","27,895","54,604"
2021년12월_계_0~9세,"94,607","19,959","2,132","1,811","1,433","3,117",333,228,"1,208","1,500","3,491","1,027","3,013",666,"39,745","3,165","3,133","1,817","4,087",877,"2,747","1,710","2,939","3,192","2,461","3,126","2,451","3,169","1,762","3,109","34,903","2,577","4,386","3,261","2,355","1,411","2,256","5,530","1,978","3,136","2,609","5,404"
2021년12월_계_10~19세,"120,420","24,709","3,621","2,436","1,789","2,114",568,469,"1,834","2,191","3,096","1,273","4,209","1,109","50,461","3,523","3,573","1,206","3,273","1,213","4,269","2,170","2,596","4,806","3,019","5,596","4,594","3,387","2,724","4,512","45,250","3,546","5,691","5,297","3,535","1,534","3,261","5,421","2,814","4,160","3,314","6,677"
2021년12월_계_20~29세,"137,886","34,685","4,807","3,515","2,173","1,826",702,844,"2,448","4,411","5,322","1,856","4,945","1,836","57,187","4,991","3,793","2,381","6,552","1,919","4,058","2,573","5,345","4,437","4,119","3,647","3,264","2,514","3,358","4,236","46,014","5,173","4,841","4,073","3,779","2,824","4,073","5,562","2,244","3,736","3,962","5,747"
2021년12월_계_30~39세,"140,537","33,398","3,837","3,060","2,321","3,989",710,728,"2,470","3,239","5,599","1,618","4,417","1,410","57,095","5,956","4,348","3,177","7,498","1,900","3,594","2,695","4,307","4,248","3,883","3,147","2,254","3,529","2,680","3,879","50,044","6,270","5,900","3,872","3,306","3,209","3,476","7,501","2,404","4,040","4,164","5,902"
2021년12월_계_40~49세,"197,392","43,521","5,915","4,560","3,310","4,412","1,056",976,"3,114","3,833","5,605","2,080","6,714","1,946","82,407","6,508","5,831","2,728","7,056","2,259","6,307","3,814","4,573","7,638","5,258","7,635","6,022","5,515","4,102","7,161","71,464","5,819","8,802","7,719","5,389","2,955","5,010","9,627","3,957","6,373","5,244","10,569"
2021년12월_계_50~59세,"171,534","44,111","6,098","4,866","3,752","3,081","1,568","1,554","3,485","4,256","4,198","2,315","6,363","2,575","69,913","6,243","5,144","2,794","6,656","2,267","5,464","3,586","3,267","6,321","5,173","5,000","4,582","3,248","4,633","5,535","57,510","5,514","5,946","6,019","4,835","2,924","4,207","7,332","3,124","5,162","4,141","8,306"
2021년12월_계_60~69세,"114,056","34,423","4,035","3,986","3,211","3,073","1,824","1,925","2,958","3,256","2,734","1,430","3,791","2,200","44,188","4,224","2,773","1,836","3,848","1,382","3,525","2,852","2,024","4,600","3,861","2,270","2,151","2,313","2,925","3,604","35,445","3,830","2,612","3,523","2,973","1,855","2,511","4,945","1,822","3,136","2,409","5,829"
2021년12월_계_70~79세,"65,921","16,215","1,939","1,878","1,521","1,544",920,921,"1,194","1,497","1,254",666,"1,884",997,"26,471","2,372","1,199",777,"1,891",890,"2,200","1,469",844,"3,242","2,755","1,504","1,263","1,795","1,535","2,735","23,235","2,249","1,708","2,743","1,893","1,061","1,480","2,643","1,381","2,367","1,386","4,324"
2021년12월_계_80~89세,"30,546","7,913",967,863,799,650,510,665,654,723,488,322,863,409,"12,415","1,168",500,605,729,440,973,664,357,"1,540","1,286",686,599,899,713,"1,256","10,218","1,050",999,"1,157",980,511,688,997,592,"1,038",582,"1,624"
2021년12월_계_90~99세,"4,463","1,231",143,141,131,95,85,83,122,102,82,50,119,78,"1,796",129,92,179,120,41,143,89,42,225,185,89,82,103,97,180,"1,436",152,116,161,117,100,96,159,103,136,81,215
2021년12월_계_100세 이상,146,33,1,3,6,3,2,1,6,2,3,0,2,4,64,8,3,4,5,0,5,3,2,9,8,2,2,1,6,6,49,9,2,2,6,3,5,6,3,3,3,7
2021년12월_남_총인구수,"534,459","133,503","17,300","14,224","10,468","12,065","4,305","4,555","10,363","12,718","16,097","6,201","18,337","6,870","217,999","19,122","15,116","8,645","20,866","6,821","16,450","10,718","13,548","19,418","15,647","15,694","13,387","12,868","11,937","17,762","182,957","18,038","20,175","18,310","14,105","9,107","13,007","24,478","9,775","16,158","13,488","26,316"
2021년12월_남_연령구간인구수,"534,459","133,503","17,300","14,224","10,468","12,065","4,305","4,555","10,363","12,718","16,097","6,201","18,337","6,870","217,999","19,122","15,116","8,645","20,866","6,821","16,450","10,718","13,548","19,418","15,647","15,694","13,387","12,868","11,937","17,762","182,957","18,038","20,175","18,310","14,105","9,107","13,007","24,478","9,775","16,158","13,488","26,316"
2021년12월_남_0~9세,"48,329","10,220","1,098",959,705,"1,583",166,124,653,754,"1,773",537,"1,513",355,"20,367","1,594","1,610",900,"2,096",474,"1,411",874,"1,482","1,637","1,271","1,540","1,266","1,652",931,"1,629","17,742","1,329","2,229","1,620","1,174",736,"1,139","2,871",992,"1,611","1,286","2,755"
2021년12월_남_10~19세,"61,632","12,825","1,879","1,293",924,"1,063",296,257,974,"1,135","1,571",653,"2,180",600,"25,868","1,825","1,835",612,"1,699",608,"2,188","1,127","1,296","2,469","1,569","2,819","2,379","1,710","1,409","2,323","22,939","1,827","2,927","2,725","1,798",800,"1,607","2,755","1,377","2,142","1,692","3,289"
2021년12월_남_20~29세,"71,890","18,873","2,685","1,946","1,231",978,400,527,"1,392","2,334","2,741",950,"2,668","1,021","29,880","2,515","1,999","1,284","3,266","1,038","2,099","1,372","3,143","2,319","2,140","1,831","1,691","1,253","1,742","2,188","23,137","2,657","2,432","2,077","1,910","1,439","2,017","2,808","1,117","1,876","1,881","2,923"
2021년12월_남_30~39세,"69,724","17,852","2,117","1,626","1,318","1,975",416,434,"1,403","1,798","2,890",807,"2,268",800,"28,044","3,119","2,156","1,598","3,749","1,035","1,749","1,364","2,180","2,072","1,918","1,425",973,"1,615","1,293","1,798","23,828","3,379","2,751","1,775","1,564","1,646","1,638","3,500","1,083","1,898","2,003","2,591"
2021년12월_남_40~49세,"97,185","22,884","3,061","2,440","1,801","2,374",573,598,"1,707","2,017","2,927",995,"3,376","1,015","40,204","3,259","2,868","1,384","3,626","1,177","3,109","1,891","2,366","3,629","2,535","3,573","2,739","2,719","1,957","3,372","34,097","2,828","4,290","3,548","2,517","1,454","2,428","4,736","1,844","3,034","2,511","4,907"
2021년12월_남_50~59세,"87,064","22,772","3,220","2,622","1,943","1,543",839,885,"1,845","2,138","2,039","1,129","3,267","1,302","35,216","3,175","2,603","1,318","3,336","1,216","2,754","1,776","1,571","3,129","2,490","2,641","2,479","1,634","2,255","2,839","29,076","2,753","3,138","3,085","2,391","1,413","2,079","3,737","1,602","2,581","2,078","4,219"
2021년12월_남_60~69세,"54,831","17,388","2,037","2,072","1,582","1,511",926,"1,031","1,554","1,603","1,370",680,"1,887","1,135","20,822","2,093","1,306",883,"1,899",677,"1,671","1,335",999,"2,042","1,813",976,"1,003","1,027","1,383","1,715","16,621","1,809","1,293","1,646","1,430",887,"1,157","2,352",843,"1,420","1,115","2,669"
2021년12월_남_70~79세,"29,688","7,481",837,885,678,770,479,443,578,653,573,303,819,463,"11,747","1,017",554,385,876,387,999,669,370,"1,373","1,235",603,558,802,673,"1,246","10,460",986,692,"1,220",820,492,639,"1,241",606,"1,062",631,"2,071"
2021년12월_남_80~89세,"12,909","2,944",341,353,266,245,192,236,233,265,195,135,327,156,"5,331",486,169,211,291,202,419,294,130,705,610,258,272,416,274,594,"4,634",426,390,564,461,206,274,439,291,489,269,825
2021년12월_남_90~99세,"1,185",258,25,28,19,22,17,20,24,20,17,12,32,22,509,38,15,69,27,7,50,15,11,42,64,28,26,39,20,58,418,44,33,50,40,34,29,37,19,44,21,67
2021년12월_남_100세 이상,22,6,0,0,1,1,1,0,0,1,1,0,0,1,11,1,1,1,1,0,1,1,0,1,2,0,1,1,0,0,5,0,0,0,0,0,0,2,1,1,1,0
2021년12월_여_총인구수,"543,049","126,695","16,195","12,895","9,978","11,839","3,973","3,839","9,130","12,292","15,775","6,436","17,983","6,360","223,743","19,165","15,273","8,859","20,849","6,367","16,835","10,907","12,748","20,840","16,361","17,008","13,877","13,605","12,598","18,451","192,611","18,151","20,828","19,517","15,063","9,280","14,056","25,245","10,647","17,129","14,407","28,288"
2021년12월_여_연령구간인구수,"543,049","126,695","16,195","12,895","9,978","11,839","3,973","3,839","9,130","12,292","15,775","6,436","17,983","6,360","223,743","19,165","15,273","8,859","20,849","6,367","16,835","10,907","12,748","20,840","16,361","17,008","13,877","13,605","12,598","18,451","192,611","18,151","20,828","19,517","15,063","9,280","14,056","25,245","10,647","17,129","14,407","28,288"
2021년12월_여_0~9세,"46,278","9,739","1,034",852,728,"1,534",167,104,555,746,"1,718",490,"1,500",311,"19,378","1,571","1,523",917,"1,991",403,"1,336",836,"1,457","1,555","1,190","1,586","1,185","1,517",831,"1,480","17,161","1,248","2,157","1,641","1,181",675,"1,117","2,659",986,"1,525","1,323","2,649"
2021년12월_여_10~19세,"58,788","11,884","1,742","1,143",865,"1,051",272,212,860,"1,056","1,525",620,"2,029",509,"24,593","1,698","1,738",594,"1,574",605,"2,081","1,043","1,300","2,337","1,450","2,777","2,215","1,677","1,315","2,189","22,311","1,719","2,764","2,572","1,737",734,"1,654","2,666","1,437","2,018","1,622","3,388"
2021년12월_여_20~29세,"65,996","15,812","2,122","1,569",942,848,302,317,"1,056","2,077","2,581",906,"2,277",815,"27,307","2,476","1,794","1,097","3,286",881,"1,959","1,201","2,202","2,118","1,979","1,816","1,573","1,261","1,616","2,048","22,877","2,516","2,409","1,996","1,869","1,385","2,056","2,754","1,127","1,860","2,081","2,824"
2021년12월_여_30~39세,"70,813","15,546","1,720","1,434","1,003","2,014",294,294,"1,067","1,441","2,709",811,"2,149",610,"29,051","2,837","2,192","1,579","3,749",865,"1,845","1,331","2,127","2,176","1,965","1,722","1,281","1,914","1,387","2,081","26,216","2,891","3,149","2,097","1,742","1,563","1,838","4,001","1,321","2,142","2,161","3,311"
2021년12월_여_40~49세,"100,207","20,637","2,854","2,120","1,509","2,038",483,378,"1,407","1,816","2,678","1,085","3,338",931,"42,203","3,249","2,963","1,344","3,430","1,082","3,198","1,923","2,207","4,009","2,723","4,062","3,283","2,796","2,145","3,789","37,367","2,991","4,512","4,171","2,872","1,501","2,582","4,891","2,113","3,339","2,733","5,662"
2021년12월_여_50~59세,"84,470","21,339","2,878","2,244","1,809","1,538",729,669,"1,640","2,118","2,159","1,186","3,096","1,273","34,697","3,068","2,541","1,476","3,320","1,051","2,710","1,810","1,696","3,192","2,683","2,359","2,103","1,614","2,378","2,696","28,434","2,761","2,808","2,934","2,444","1,511","2,128","3,595","1,522","2,581","2,063","4,087"
2021년12월_여_60~69세,"59,225","17,035","1,998","1,914","1,629","1,562",898,894,"1,404","1,653","1,364",750,"1,904","1,065","23,366","2,131","1,467",953,"1,949",705,"1,854","1,517","1,025","2,558","2,048","1,294","1,148","1,286","1,542","1,889","18,824","2,021","1,319","1,877","1,543",968,"1,354","2,593",979,"1,716","1,294","3,160"
