카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년07월_계_총인구수,"40,826","9,210","12,061","1,125","1,409","1,182","1,195","1,715",891,"3,797","2,823","1,268","3,056","1,094"
2020년07월_계_연령구간인구수,"40,826","9,210","12,061","1,125","1,409","1,182","1,195","1,715",891,"3,797","2,823","1,268","3,056","1,094"
2020년07월_계_0~9세,"1,830",679,552,32,42,30,44,71,20,122,66,56,89,27
2020년07월_계_10~19세,"2,652",847,859,53,57,53,67,82,48,178,131,73,167,37
2020년07월_계_20~29세,"3,036",991,848,55,91,67,63,108,45,251,142,95,195,85
2020년07월_계_30~39세,"2,624",837,780,56,78,60,52,82,30,214,162,92,131,50
2020년07월_계_40~49세,"4,271","1,256","1,311",89,111,97,109,139,86,345,243,130,278,77
2020년07월_계_50~59세,"6,770","1,523","1,965",176,239,179,195,260,165,591,489,212,593,183
2020년07월_계_60~69세,"7,531","1,350","2,260",231,281,216,198,344,178,774,587,254,650,208
2020년07월_계_70~79세,"6,686",993,"2,016",202,261,224,242,325,181,735,535,207,543,222
2020년07월_계_80~89세,"4,696",649,"1,268",197,220,223,202,267,118,509,393,134,348,168
2020년07월_계_90~99세,691,79,187,34,28,32,22,36,19,77,70,15,57,35
2020년07월_계_100세 이상,39,6,15,0,1,1,1,1,1,1,5,0,5,2
2020년07월_남_총인구수,"19,828","4,513","5,871",544,697,562,572,809,456,"1,816","1,357",603,"1,500",528
2020년07월_남_연령구간인구수,"19,828","4,513","5,871",544,697,562,572,809,456,"1,816","1,357",603,"1,500",528
2020년07월_남_0~9세,959,359,296,17,24,11,25,28,10,67,30,32,46,14
2020년07월_남_10~19세,"1,351",407,448,33,32,29,36,46,24,99,66,32,80,19
2020년07월_남_20~29세,"1,705",554,470,31,46,37,35,60,26,144,84,56,118,44
2020년07월_남_30~39세,"1,405",416,434,32,50,24,30,45,20,114,83,52,71,34
2020년07월_남_40~49세,"2,423",630,739,58,68,57,72,82,56,213,153,75,170,50
2020년07월_남_50~59세,"3,782",817,"1,093",104,144,114,115,138,108,341,303,95,309,101
2020년07월_남_60~69세,"3,759",661,"1,092",127,156,108,106,191,93,373,279,132,335,106
2020년07월_남_70~79세,"2,822",430,855,87,104,105,89,138,77,296,221,87,238,95
2020년07월_남_80~89세,"1,473",222,403,47,70,66,61,71,39,156,119,42,120,57
2020년07월_남_90~99세,143,17,36,8,3,11,3,10,3,13,18,0,13,8
2020년07월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년07월_여_총인구수,"20,998","4,697","6,190",581,712,620,623,906,435,"1,981","1,466",665,"1,556",566
2020년07월_여_연령구간인구수,"20,998","4,697","6,190",581,712,620,623,906,435,"1,981","1,466",665,"1,556",566
2020년07월_여_0~9세,871,320,256,15,18,19,19,43,10,55,36,24,43,13
2020년07월_여_10~19세,"1,301",440,411,20,25,24,31,36,24,79,65,41,87,18
2020년07월_여_20~29세,"1,331",437,378,24,45,30,28,48,19,107,58,39,77,41
2020년07월_여_30~39세,"1,219",421,346,24,28,36,22,37,10,100,79,40,60,16
2020년07월_여_40~49세,"1,848",626,572,31,43,40,37,57,30,132,90,55,108,27
2020년07월_여_50~59세,"2,988",706,872,72,95,65,80,122,57,250,186,117,284,82
2020년07월_여_60~69세,"3,772",689,"1,168",104,125,108,92,153,85,401,308,122,315,102
2020년07월_여_70~79세,"3,864",563,"1,161",115,157,119,153,187,104,439,314,120,305,127
2020년07월_여_80~89세,"3,223",427,865,150,150,157,141,196,79,353,274,92,228,111
2020년07월_여_90~99세,548,62,151,26,25,21,19,26,16,64,52,15,44,27
2020년07월_여_100세 이상,33,6,10,0,1,1,1,1,1,1,4,0,5,2
