,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년10월_계_총인구수,"416,722","15,063","36,522","1,873","1,741","2,212","4,135","26,621","3,165","24,554","3,835","3,266","30,200","2,282","39,647","14,798","17,200","3,317","3,266","6,327","6,943","4,464","4,416","30,520","19,200","48,672","16,053","46,430"
2020년10월_계_연령구간인구수,"416,722","15,063","36,522","1,873","1,741","2,212","4,135","26,621","3,165","24,554","3,835","3,266","30,200","2,282","39,647","14,798","17,200","3,317","3,266","6,327","6,943","4,464","4,416","30,520","19,200","48,672","16,053","46,430"
2020년10월_계_0~9세,"41,714",893,"3,304",40,17,38,67,"5,667",76,"1,830",70,89,"2,456",83,"3,955","1,091",907,140,287,709,998,632,345,"2,790","2,258","4,996",945,"7,031"
2020년10월_계_10~19세,"45,204","1,169","3,870",58,62,122,155,"2,173",208,"2,545",108,152,"3,555",131,"5,108","1,700","2,005",181,233,474,634,214,342,"3,783","2,578","6,024","1,105","6,515"
2020년10월_계_20~29세,"56,661","1,507","4,679",109,98,147,298,"2,653",254,"3,485",516,331,"4,070",243,"5,236","2,017","2,778",601,430,969,930,693,653,"4,615","2,460","7,040","4,129","5,720"
2020년10월_계_30~39세,"65,998","1,329","4,409",92,80,102,220,"8,111",181,"3,391",533,279,"3,622",165,"5,189","1,710","1,687",496,544,"1,353","1,494","1,113",719,"4,238","3,035","8,832","4,152","8,922"
2020년10월_계_40~49세,"73,395","1,991","5,762",135,143,196,446,"4,247",380,"3,963",705,362,"5,105",294,"7,564","2,498","2,791",457,457,989,"1,153",704,775,"6,109","3,939","9,521","2,693","10,016"
2020년10월_계_50~59세,"69,766","2,995","7,729",359,333,394,822,"2,055",636,"4,538",852,676,"6,059",495,"7,128","3,027","3,929",652,635,"1,139","1,080",654,791,"5,827","3,146","6,911","1,726","5,178"
2020년10월_계_60~69세,"38,845","2,643","4,059",474,424,503,900,990,627,"3,242",648,750,"3,555",508,"3,668","1,803","2,172",459,400,454,486,351,479,"2,034","1,181","3,356",844,"1,835"
2020년10월_계_70~79세,"15,981","1,441","1,617",305,294,397,678,407,461,"1,143",288,435,"1,175",239,"1,226",656,664,245,176,165,118,78,226,738,395,"1,330",308,776
2020년10월_계_80~89세,"7,959",941,933,256,249,272,479,278,307,373,91,170,539,109,504,270,232,74,91,65,45,18,73,328,182,577,124,379
2020년10월_계_90~99세,"1,147",149,152,45,39,39,66,38,33,40,21,21,63,14,68,26,32,12,10,10,5,6,13,56,25,83,25,56
2020년10월_계_100세 이상,52,5,8,0,2,2,4,2,2,4,3,1,1,1,1,0,3,0,3,0,0,1,0,2,1,2,2,2
2020년10월_남_총인구수,"213,931","7,439","18,546",929,892,"1,131","2,144","13,908","1,621","12,138","2,118","1,678","14,831","1,180","20,159","7,319","8,663","1,845","1,781","3,428","3,558","2,468","2,372","15,920","10,030","25,101","8,598","24,134"
2020년10월_남_연령구간인구수,"213,931","7,439","18,546",929,892,"1,131","2,144","13,908","1,621","12,138","2,118","1,678","14,831","1,180","20,159","7,319","8,663","1,845","1,781","3,428","3,558","2,468","2,372","15,920","10,030","25,101","8,598","24,134"
2020년10월_남_0~9세,"21,565",448,"1,722",18,10,17,34,"2,880",49,897,34,49,"1,290",39,"2,028",572,491,69,159,380,498,341,188,"1,417","1,163","2,688",483,"3,601"
2020년10월_남_10~19세,"23,567",585,"2,087",30,27,77,80,"1,128",116,"1,301",50,85,"1,767",67,"2,685",905,"1,088",89,129,237,314,106,170,"1,973","1,389","3,143",564,"3,375"
2020년10월_남_20~29세,"31,346",894,"2,716",68,66,91,178,"1,256",136,"1,903",287,200,"2,299",144,"2,907","1,137","1,598",369,243,535,491,401,374,"2,641","1,393","3,765","2,046","3,208"
2020년10월_남_30~39세,"35,151",701,"2,251",56,54,69,142,"4,352",103,"1,823",290,180,"1,824",101,"2,568",860,895,331,330,801,820,650,431,"2,282","1,576","4,659","2,465","4,537"
