,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년06월_계_총인구수,"345,593","30,917","24,981","30,471","19,405","29,206","29,807","38,706","33,240","20,969","10,396","13,731","24,450","18,593","20,721"
2020년06월_계_연령구간인구수,"345,593","30,917","24,981","30,471","19,405","29,206","29,807","38,706","33,240","20,969","10,396","13,731","24,450","18,593","20,721"
2020년06월_계_0~9세,"21,501","1,331","1,078","1,947","1,304","2,772","1,889","2,635","3,001",889,470,801,"1,316",729,"1,339"
2020년06월_계_10~19세,"24,666","1,478","1,442","2,018","1,799","2,014","2,111","2,667","2,894","1,213",737,832,"2,161","1,387","1,913"
2020년06월_계_20~29세,"56,126","5,965","4,305","4,682","2,418","4,031","4,019","5,240","3,937","2,492","3,106","3,126","5,255","4,666","2,884"
2020년06월_계_30~39세,"50,989","5,274","3,360","4,442","2,372","5,427","4,520","6,405","5,285","2,446","1,454","2,195","3,048","2,188","2,573"
2020년06월_계_40~49세,"51,593","4,252","3,176","4,451","3,111","4,686","4,491","6,431","5,810","2,729","1,342","1,734","3,582","2,509","3,289"
2020년06월_계_50~59세,"53,931","4,719","3,865","4,977","3,310","4,335","5,049","6,097","5,004","3,731","1,214","2,028","3,567","2,604","3,431"
2020년06월_계_60~69세,"45,632","4,016","3,860","4,153","2,666","3,183","4,133","5,324","4,190","3,797",968,"1,531","2,926","2,185","2,700"
2020년06월_계_70~79세,"28,113","2,580","2,596","2,540","1,622","1,866","2,496","2,832","2,254","2,489",701,"1,001","1,810","1,520","1,806"
2020년06월_계_80~89세,"11,153","1,116","1,123","1,079",713,759,957,904,734,"1,004",334,411,665,673,681
2020년06월_계_90~99세,"1,587",162,151,139,79,102,121,147,114,148,59,63,108,97,97
2020년06월_계_100세 이상,302,24,25,43,11,31,21,24,17,31,11,9,12,35,8
2020년06월_남_총인구수,"171,392","15,760","12,818","15,288","9,349","14,158","14,538","19,272","16,648","10,473","4,942","6,715","12,150","9,216","10,065"
2020년06월_남_연령구간인구수,"171,392","15,760","12,818","15,288","9,349","14,158","14,538","19,272","16,648","10,473","4,942","6,715","12,150","9,216","10,065"
2020년06월_남_0~9세,"10,993",686,561,996,657,"1,405",973,"1,331","1,557",451,249,415,685,355,672
2020년06월_남_10~19세,"12,471",783,739,"1,021",885,"1,025","1,046","1,377","1,541",634,330,415,"1,025",685,965
2020년06월_남_20~29세,"28,009","2,908","2,342","2,385","1,232","1,883","1,996","2,506","2,045","1,327","1,454","1,418","2,797","2,333","1,383"
2020년06월_남_30~39세,"26,426","2,744","1,885","2,296","1,190","2,586","2,324","3,307","2,659","1,311",762,"1,171","1,628","1,246","1,317"
2020년06월_남_40~49세,"26,623","2,329","1,731","2,315","1,494","2,421","2,286","3,371","2,966","1,434",669,889,"1,791","1,294","1,633"
2020년06월_남_50~59세,"27,116","2,535","2,021","2,565","1,616","2,115","2,451","3,016","2,507","1,890",603,"1,028","1,735","1,330","1,704"
2020년06월_남_60~69세,"22,078","2,039","1,868","2,094","1,249","1,544","1,956","2,591","2,017","1,875",431,738,"1,384","1,008","1,284"
2020년06월_남_70~79세,"12,701","1,212","1,177","1,136",678,860,"1,116","1,360","1,047","1,125",293,441,812,649,795
2020년06월_남_80~89세,"4,425",462,436,428,317,278,359,365,278,379,133,177,246,283,284
2020년06월_남_90~99세,458,55,52,38,26,30,21,40,26,42,17,17,42,26,26
2020년06월_남_100세 이상,92,7,6,14,5,11,10,8,5,5,1,6,5,7,2
2020년06월_여_총인구수,"174,201","15,157","12,163","15,183","10,056","15,048","15,269","19,434","16,592","10,496","5,454","7,016","12,300","9,377","10,656"
2020년06월_여_연령구간인구수,"174,201","15,157","12,163","15,183","10,056","15,048","15,269","19,434","16,592","10,496","5,454","7,016","12,300","9,377","10,656"
2020년06월_여_0~9세,"10,508",645,517,951,647,"1,367",916,"1,304","1,444",438,221,386,631,374,667
2020년06월_여_10~19세,"12,195",695,703,997,914,989,"1,065","1,290","1,353",579,407,417,"1,136",702,948
2020년06월_여_20~29세,"28,117","3,057","1,963","2,297","1,186","2,148","2,023","2,734","1,892","1,165","1,652","1,708","2,458","2,333","1,501"
2020년06월_여_30~39세,"24,563","2,530","1,475","2,146","1,182","2,841","2,196","3,098","2,626","1,135",692,"1,024","1,420",942,"1,256"
2020년06월_여_40~49세,"24,970","1,923","1,445","2,136","1,617","2,265","2,205","3,060","2,844","1,295",673,845,"1,791","1,215","1,656"
2020년06월_여_50~59세,"26,815","2,184","1,844","2,412","1,694","2,220","2,598","3,081","2,497","1,841",611,"1,000","1,832","1,274","1,727"
2020년06월_여_60~69세,"23,554","1,977","1,992","2,059","1,417","1,639","2,177","2,733","2,173","1,922",537,793,"1,542","1,177","1,416"
2020년06월_여_70~79세,"15,412","1,368","1,419","1,404",944,"1,006","1,380","1,472","1,207","1,364",408,560,998,871,"1,011"
2020년06월_여_80~89세,"6,728",654,687,651,396,481,598,539,456,625,201,234,419,390,397
2020년06월_여_90~99세,"1,129",107,99,101,53,72,100,107,88,106,42,46,66,71,71
2020년06월_여_100세 이상,210,17,19,29,6,20,11,16,12,26,10,3,7,28,6
