카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년11월_계_총인구수,"1,599,680","844,815","189,727","195,804","265,311","193,973","210,313","133,115","32,456","50,619","47,561","36,960","83,621","37,671","93,310","29,239"
2020년11월_계_연령구간인구수,"1,599,680","844,815","189,727","195,804","265,311","193,973","210,313","133,115","32,456","50,619","47,561","36,960","83,621","37,671","93,310","29,239"
2020년11월_계_0~9세,"123,832","74,456","16,075","14,021","24,184","20,176","14,650","8,800","1,459","2,618","2,376","3,295","7,738","1,288","5,951","1,201"
2020년11월_계_10~19세,"149,743","86,382","19,793","20,542","26,554","19,493","18,934","11,746","2,119","3,910","3,416","3,371","8,140","2,033","7,679","2,013"
2020년11월_계_20~29세,"198,695","119,859","24,507","28,467","40,969","25,916","24,354","14,771","2,382","4,402","4,472","4,533","9,216","2,947","9,499","2,260"
2020년11월_계_30~39세,"194,818","118,431","22,860","22,868","41,156","31,547","23,421","13,043","2,216","3,886","3,290","4,776","11,531","2,441","9,747","2,036"
2020년11월_계_40~49세,"241,236","136,637","30,251","30,937","43,142","32,307","30,985","18,488","3,356","6,281","5,383","5,622","13,498","3,846","13,805","3,335"
2020년11월_계_50~59세,"274,341","138,310","32,980","34,487","43,124","27,719","37,832","24,052","5,940","9,006","8,503","6,057","13,772","7,354","17,789","5,726"
2020년11월_계_60~69세,"221,511","96,374","23,695","25,065","27,395","20,219","31,492","22,678","6,759","9,807","9,155","4,974","10,249","8,543","15,157","6,323"
2020년11월_계_70~79세,"120,513","47,334","12,307","12,466","12,150","10,411","17,457","12,447","4,591","6,360","6,511","2,675","5,533","5,424","8,266","3,915"
2020년11월_계_80~89세,"65,204","23,438","6,214","6,041","5,782","5,401","9,825","6,181","3,111","3,742","3,885","1,471","3,465","3,320","4,644","2,122"
2020년11월_계_90~99세,"9,222","3,406",990,864,819,733,"1,293",835,495,581,531,175,459,445,716,286
2020년11월_계_100세 이상,565,188,55,46,36,51,70,74,28,26,39,11,20,30,57,22
2020년11월_남_총인구수,"810,903","425,716","94,331","97,242","134,620","99,523","106,350","66,739","16,326","25,494","23,657","19,215","43,802","19,309","49,477","14,818"
2020년11월_남_연령구간인구수,"810,903","425,716","94,331","97,242","134,620","99,523","106,350","66,739","16,326","25,494","23,657","19,215","43,802","19,309","49,477","14,818"
2020년11월_남_0~9세,"63,315","37,980","8,131","7,154","12,335","10,360","7,435","4,501",749,"1,367","1,221","1,702","3,989",644,"3,107",620
2020년11월_남_10~19세,"77,907","44,912","10,310","10,715","13,783","10,104","9,819","6,064","1,132","2,071","1,766","1,753","4,269","1,064","3,979","1,078"
2020년11월_남_20~29세,"110,554","65,403","13,285","15,455","22,241","14,422","13,971","8,201","1,400","2,497","2,510","2,643","5,320","1,750","5,536","1,323"
2020년11월_남_30~39세,"103,297","61,951","11,636","11,746","21,643","16,926","12,691","6,797","1,213","2,024","1,741","2,654","6,310","1,367","5,471","1,078"
2020년11월_남_40~49세,"124,973","69,138","14,980","15,279","21,877","17,002","15,889","9,515","1,891","3,374","2,919","3,047","7,376","2,211","7,778","1,835"
2020년11월_남_50~59세,"141,201","69,279","16,462","16,992","21,640","14,185","19,353","12,294","3,280","4,819","4,509","3,185","7,515","3,981","9,911","3,075"
2020년11월_남_60~69세,"110,832","47,223","11,734","12,091","13,467","9,931","15,755","11,279","3,455","5,001","4,665","2,488","5,233","4,482","8,007","3,244"
2020년11월_남_70~79세,"54,280","21,156","5,448","5,519","5,550","4,639","7,746","5,639","2,040","2,926","2,853","1,200","2,525","2,530","3,913","1,752"
2020년11월_남_80~89세,"22,328","7,926","2,103","2,109","1,921","1,793","3,361","2,242","1,061","1,262","1,335",494,"1,175","1,171","1,569",732
2020년11월_남_90~99세,"2,058",698,230,167,157,144,314,184,104,147,127,45,85,102,180,72
2020년11월_남_100세 이상,158,50,12,15,6,17,16,23,1,6,11,4,5,7,26,9
