카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년06월_계_총인구수,"347,462","8,445","4,194","7,717","2,281","1,969","2,655","1,624","1,522","1,494","3,318","21,581","4,826","1,656","4,100","1,100","2,240","28,187","10,945","11,586","14,578","20,355","25,569","12,074","27,194","28,424","12,096","12,426","21,830","25,954","25,522"
2020년06월_계_연령구간인구수,"347,462","8,445","4,194","7,717","2,281","1,969","2,655","1,624","1,522","1,494","3,318","21,581","4,826","1,656","4,100","1,100","2,240","28,187","10,945","11,586","14,578","20,355","25,569","12,074","27,194","28,424","12,096","12,426","21,830","25,954","25,522"
2020년06월_계_0~9세,"28,958",681,393,868,43,48,106,25,35,39,66,"2,308",271,18,149,27,58,"1,692",505,395,674,"1,151","1,520",817,"3,524","2,270",686,742,"2,669","2,384","4,794"
2020년06월_계_10~19세,"35,693",690,472,478,119,62,198,49,53,75,166,"2,898",420,64,209,47,110,"2,624",766,706,"1,137","1,693","2,692","1,133","4,070","3,697","1,178","1,321","3,028","2,707","2,831"
2020년06월_계_20~29세,"44,781",837,419,988,171,140,219,77,77,103,221,"2,316",444,90,360,113,141,"4,288","1,426","1,147","1,880","2,971","3,915","1,549","3,369","4,209","1,699","1,659","2,396","4,799","2,758"
2020년06월_계_30~39세,"42,182",990,433,"1,472",136,132,198,71,83,75,189,"2,587",421,61,241,56,106,"2,814","1,317",916,"1,416","2,292","2,744","1,472","3,873","3,124","1,235","1,150","2,829","3,941","5,808"
2020년06월_계_40~49세,"54,675","1,114",697,"1,055",186,164,309,116,156,164,301,"3,949",661,131,442,103,234,"4,101","1,606","1,473","2,010","2,963","3,915","1,837","5,348","4,963","1,678","1,860","4,168","4,118","4,853"
2020년06월_계_50~59세,"57,794","1,457",682,"1,204",403,369,488,293,230,258,593,"3,391",899,302,802,200,428,"4,670","1,839","2,087","2,729","3,740","5,168","2,147","3,995","5,233","2,174","2,422","3,237","3,778","2,576"
2020년06월_계_60~69세,"44,060","1,338",556,902,460,465,495,397,340,292,675,"2,305",791,365,930,240,475,"3,938","1,850","2,359","2,435","3,085","3,408","1,830","1,776","2,730","1,913","1,838","2,083","2,493","1,296"
2020년06월_계_70~79세,"25,437",808,330,459,421,297,368,328,313,261,604,"1,168",547,334,585,164,368,"2,717","1,089","1,722","1,559","1,754","1,507",920,824,"1,383",999,992,978,"1,213",425
2020년06월_계_80~89세,"12,108",450,181,237,292,253,246,233,209,187,432,584,326,257,333,126,294,"1,167",467,679,659,640,617,324,364,711,467,377,392,455,149
2020년06월_계_90~99세,"1,683",78,28,50,50,37,27,35,26,39,68,74,45,33,46,23,25,160,73,85,76,65,80,43,44,104,66,60,49,64,30
2020년06월_계_100세 이상,91,2,3,4,0,2,1,0,0,1,3,1,1,1,3,1,1,16,7,17,3,1,3,2,7,0,1,5,1,2,2
2020년06월_남_총인구수,"172,027","4,286","2,098","3,964","1,080",960,"1,289",816,755,748,"1,646","10,847","2,415",803,"2,041",533,"1,088","13,838","5,413","5,628","7,157","10,097","12,803","6,132","13,784","13,681","5,786","6,140","10,456","13,064","12,679"
2020년06월_남_연령구간인구수,"172,027","4,286","2,098","3,964","1,080",960,"1,289",816,755,748,"1,646","10,847","2,415",803,"2,041",533,"1,088","13,838","5,413","5,628","7,157","10,097","12,803","6,132","13,784","13,681","5,786","6,140","10,456","13,064","12,679"
2020년06월_남_0~9세,"15,069",376,213,440,20,24,52,18,15,19,37,"1,212",140,7,77,11,32,880,274,218,384,590,804,388,"1,901","1,164",361,398,"1,356","1,246","2,412"
2020년06월_남_10~19세,"18,816",365,235,259,66,30,102,32,32,33,92,"1,532",218,38,110,25,60,"1,448",409,392,605,868,"1,428",565,"2,279","1,923",614,730,"1,467","1,382","1,477"
2020년06월_남_20~29세,"24,706",475,222,552,100,76,136,53,47,66,145,"1,342",257,54,199,64,72,"2,350",755,652,990,"1,642","2,203",881,"1,878","2,237",889,963,"1,276","2,757","1,373"
2020년06월_남_30~39세,"21,510",520,207,789,82,79,96,46,46,48,103,"1,281",216,37,139,26,55,"1,487",713,528,755,"1,236","1,519",779,"1,809","1,528",644,581,"1,288","2,074","2,799"
2020년06월_남_40~49세,"27,249",604,346,584,119,100,179,75,115,109,196,"1,934",354,85,246,62,155,"2,027",847,820,"1,076","1,498","1,850",977,"2,490","2,195",795,865,"1,991","2,024","2,531"
2020년06월_남_50~59세,"28,476",761,365,570,219,205,253,178,131,150,340,"1,680",495,171,421,111,241,"2,261",882,"1,035","1,322","1,775","2,450","1,080","2,037","2,526",997,"1,172","1,592","1,818","1,238"
2020년06월_남_60~69세,"21,099",713,292,484,230,234,257,211,171,145,331,"1,136",403,203,478,134,252,"1,762",850,"1,042","1,121","1,403","1,663",903,914,"1,316",857,862,980,"1,145",607
2020년06월_남_70~79세,"11,104",339,164,216,155,125,149,132,140,126,266,530,226,138,261,68,138,"1,189",502,723,677,826,693,426,360,547,452,455,388,489,204
2020년06월_남_80~89세,"3,673",119,49,64,83,78,59,64,53,46,120,188,99,64,100,29,78,391,169,195,217,245,178,123,104,225,163,102,111,121,36
2020년06월_남_90~99세,304,14,4,6,6,9,5,7,5,6,15,12,7,6,9,3,5,37,11,21,10,14,13,10,9,20,13,11,7,7,2
2020년06월_남_100세 이상,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020년06월_여_총인구수,"175,435","4,159","2,096","3,753","1,201","1,009","1,366",808,767,746,"1,672","10,734","2,411",853,"2,059",567,"1,152","14,349","5,532","5,958","7,421","10,258","12,766","5,942","13,410","14,743","6,310","6,286","11,374","12,890","12,843"
2020년06월_여_연령구간인구수,"175,435","4,159","2,096","3,753","1,201","1,009","1,366",808,767,746,"1,672","10,734","2,411",853,"2,059",567,"1,152","14,349","5,532","5,958","7,421","10,258","12,766","5,942","13,410","14,743","6,310","6,286","11,374","12,890","12,843"
2020년06월_여_0~9세,"13,889",305,180,428,23,24,54,7,20,20,29,"1,096",131,11,72,16,26,812,231,177,290,561,716,429,"1,623","1,106",325,344,"1,313","1,138","2,382"
2020년06월_여_10~19세,"16,877",325,237,219,53,32,96,17,21,42,74,"1,366",202,26,99,22,50,"1,176",357,314,532,825,"1,264",568,"1,791","1,774",564,591,"1,561","1,325","1,354"
2020년06월_여_20~29세,"20,075",362,197,436,71,64,83,24,30,37,76,974,187,36,161,49,69,"1,938",671,495,890,"1,329","1,712",668,"1,491","1,972",810,696,"1,120","2,042","1,385"
2020년06월_여_30~39세,"20,672",470,226,683,54,53,102,25,37,27,86,"1,306",205,24,102,30,51,"1,327",604,388,661,"1,056","1,225",693,"2,064","1,596",591,569,"1,541","1,867","3,009"
2020년06월_여_40~49세,"27,426",510,351,471,67,64,130,41,41,55,105,"2,015",307,46,196,41,79,"2,074",759,653,934,"1,465","2,065",860,"2,858","2,768",883,995,"2,177","2,094","2,322"
2020년06월_여_50~59세,"29,318",696,317,634,184,164,235,115,99,108,253,"1,711",404,131,381,89,187,"2,409",957,"1,052","1,407","1,965","2,718","1,067","1,958","2,707","1,177","1,250","1,645","1,960","1,338"
2020년06월_여_60~69세,"22,961",625,264,418,230,231,238,186,169,147,344,"1,169",388,162,452,106,223,"2,176","1,000","1,317","1,314","1,682","1,745",927,862,"1,414","1,056",976,"1,103","1,348",689
2020년06월_여_70~79세,"14,333",469,166,243,266,172,219,196,173,135,338,638,321,196,324,96,230,"1,528",587,999,882,928,814,494,464,836,547,537,590,724,221
2020년06월_여_80~89세,"8,435",331,132,173,209,175,187,169,156,141,312,396,227,193,233,97,216,776,298,484,442,395,439,201,260,486,304,275,281,334,113
2020년06월_여_90~99세,"1,379",64,24,44,44,28,22,28,21,33,53,62,38,27,37,20,20,123,62,64,66,51,67,33,35,84,53,49,42,57,28
2020년06월_여_100세 이상,70,2,2,4,0,2,0,0,0,1,2,1,1,1,2,1,1,10,6,15,3,1,1,2,4,0,0,4,1,1,2
