카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년08월_계_총인구수,"306,885","19,653","14,077","12,540","12,338","26,609","21,473","25,322","17,078","15,772","10,850","27,454","39,077","27,508","12,358","18,742","6,034"
2021년08월_계_연령구간인구수,"306,885","19,653","14,077","12,540","12,338","26,609","21,473","25,322","17,078","15,772","10,850","27,454","39,077","27,508","12,358","18,742","6,034"
2021년08월_계_0~9세,"18,786","1,027",836,491,715,"1,564","1,152","1,379","1,072","1,027",906,"1,800","2,839","1,618","1,356",880,124
2021년08월_계_10~19세,"24,665","1,551","1,101",743,941,"2,235","1,657","1,969","1,109","1,305",948,"2,387","3,887","2,337",900,"1,360",235
2021년08월_계_20~29세,"38,701","2,223","1,532","1,431","1,463","3,336","3,494","5,146","1,840","2,067","1,069","3,427","4,444","3,217","1,376","2,113",523
2021년08월_계_30~39세,"35,347","2,176","1,453","1,454","1,289","2,919","2,792","3,164","2,057","2,078","1,414","3,479","4,139","2,606","2,183","1,739",405
2021년08월_계_40~49세,"45,001","2,661","2,147","1,592","1,781","3,802","2,944","3,471","2,481","2,392","1,942","4,390","6,323","3,937","1,929","2,510",699
2021년08월_계_50~59세,"53,383","3,358","2,250","2,106","2,037","4,671","3,586","4,022","3,103","2,869","1,744","4,791","7,068","5,218","1,932","3,493","1,135"
2021년08월_계_60~69세,"52,879","3,547","2,618","2,600","2,324","4,785","3,474","3,675","3,125","2,584","1,607","4,493","6,060","5,072","1,716","3,872","1,327"
2021년08월_계_70~79세,"26,631","2,069","1,531","1,481","1,264","2,334","1,635","1,777","1,618","1,032",901,"1,998","2,953","2,314",718,"1,975","1,031"
2021년08월_계_80~89세,"10,120",906,541,576,463,849,654,642,597,360,295,610,"1,195","1,035",202,704,491
2021년08월_계_90~99세,"1,332",132,65,66,59,112,83,73,74,58,22,76,165,150,44,93,60
2021년08월_계_100세 이상,40,3,3,0,2,2,2,4,2,0,2,3,4,4,2,3,4
2021년08월_남_총인구수,"152,766","9,462","6,880","6,043","5,969","13,045","10,710","12,629","8,799","7,870","5,626","13,972","19,574","13,520","6,326","9,236","3,105"
2021년08월_남_연령구간인구수,"152,766","9,462","6,880","6,043","5,969","13,045","10,710","12,629","8,799","7,870","5,626","13,972","19,574","13,520","6,326","9,236","3,105"
