카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년08월_계_총인구수,"77,120","8,680","6,739","5,097","4,609","5,234","8,194","5,074","4,262","7,085","12,001","7,658","2,487"
2020년08월_계_연령구간인구수,"77,120","8,680","6,739","5,097","4,609","5,234","8,194","5,074","4,262","7,085","12,001","7,658","2,487"
2020년08월_계_0~9세,"5,305",344,480,168,130,581,905,274,244,602,946,548,83
2020년08월_계_10~19세,"5,104",489,379,241,201,232,561,308,280,530,"1,097",626,160
2020년08월_계_20~29세,"11,995","1,500","1,868","1,448",850,651,844,855,645,713,"1,345","1,020",256
2020년08월_계_30~39세,"11,012","1,166","1,248",776,534,"1,060","1,420",666,607,976,"1,413",935,211
2020년08월_계_40~49세,"10,798","1,135",886,571,491,699,"1,176",653,590,"1,141","1,917","1,166",373
2020년08월_계_50~59세,"11,448","1,348",712,620,758,738,"1,253",813,670,"1,102","1,821","1,204",409
2020년08월_계_60~69세,"10,154","1,241",574,589,791,660,"1,064",700,525,966,"1,692",945,407
2020년08월_계_70~79세,"7,364",949,372,439,567,412,650,541,441,700,"1,137",750,406
2020년08월_계_80~89세,"3,365",428,184,196,232,169,272,245,213,313,559,399,155
2020년08월_계_90~99세,474,68,28,42,41,27,38,17,33,37,65,57,21
2020년08월_계_100세 이상,101,12,8,7,14,5,11,2,14,5,9,8,6
2020년08월_남_총인구수,"37,118","4,310","3,187","2,426","2,336","2,619","3,986","2,432","2,049","3,278","5,670","3,616","1,209"
2020년08월_남_연령구간인구수,"37,118","4,310","3,187","2,426","2,336","2,619","3,986","2,432","2,049","3,278","5,670","3,616","1,209"
2020년08월_남_0~9세,"2,738",163,239,88,72,286,439,150,120,330,513,298,40
2020년08월_남_10~19세,"2,618",244,184,117,103,124,308,150,143,271,584,299,91
2020년08월_남_20~29세,"5,741",737,821,599,405,328,445,404,310,336,699,521,136
2020년08월_남_30~39세,"5,702",644,652,446,326,540,693,327,320,488,703,449,114
2020년08월_남_40~49세,"5,501",623,471,291,269,371,609,345,288,553,928,563,190
2020년08월_남_50~59세,"5,647",709,338,341,395,374,597,410,349,513,842,569,210
2020년08월_남_60~69세,"4,689",607,243,290,408,335,513,327,239,392,716,431,188
2020년08월_남_70~79세,"3,110",400,160,173,255,196,269,233,192,282,482,294,174
2020년08월_남_80~89세,"1,238",164,72,65,92,57,104,81,81,104,186,171,61
2020년08월_남_90~99세,113,17,6,12,8,7,8,4,4,9,14,19,5
2020년08월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2020년08월_여_총인구수,"40,002","4,370","3,552","2,671","2,273","2,615","4,208","2,642","2,213","3,807","6,331","4,042","1,278"
2020년08월_여_연령구간인구수,"40,002","4,370","3,552","2,671","2,273","2,615","4,208","2,642","2,213","3,807","6,331","4,042","1,278"
2020년08월_여_0~9세,"2,567",181,241,80,58,295,466,124,124,272,433,250,43
2020년08월_여_10~19세,"2,486",245,195,124,98,108,253,158,137,259,513,327,69
2020년08월_여_20~29세,"6,254",763,"1,047",849,445,323,399,451,335,377,646,499,120
2020년08월_여_30~39세,"5,310",522,596,330,208,520,727,339,287,488,710,486,97
2020년08월_여_40~49세,"5,297",512,415,280,222,328,567,308,302,588,989,603,183
2020년08월_여_50~59세,"5,801",639,374,279,363,364,656,403,321,589,979,635,199
2020년08월_여_60~69세,"5,465",634,331,299,383,325,551,373,286,574,976,514,219
2020년08월_여_70~79세,"4,254",549,212,266,312,216,381,308,249,418,655,456,232
2020년08월_여_80~89세,"2,127",264,112,131,140,112,168,164,132,209,373,228,94
2020년08월_여_90~99세,361,51,22,30,33,20,30,13,29,28,51,38,16
2020년08월_여_100세 이상,80,10,7,3,11,4,10,1,11,5,6,6,6
