카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년08월_계_총인구수,"55,846","14,619","2,281","2,617","1,683","19,890","2,543","2,393","1,496","2,679","3,111","1,165","1,369"
2021년08월_계_연령구간인구수,"55,846","14,619","2,281","2,617","1,683","19,890","2,543","2,393","1,496","2,679","3,111","1,165","1,369"
2021년08월_계_0~9세,"4,506",748,59,45,58,"3,235",153,46,15,42,49,21,35
2021년08월_계_10~19세,"4,465","1,184",112,77,54,"2,481",110,86,35,81,117,53,75
2021년08월_계_20~29세,"4,091","1,296",86,131,50,"1,778",217,105,55,94,167,41,71
2021년08월_계_30~39세,"5,389","1,105",75,112,84,"3,351",212,97,39,111,117,34,52
2021년08월_계_40~49세,"7,171","1,856",168,153,113,"3,764",232,200,87,183,231,79,105
2021년08월_계_50~59세,"7,955","2,415",332,404,254,"2,431",321,335,201,384,463,209,206
2021년08월_계_60~69세,"9,761","2,925",518,702,423,"1,549",471,591,410,710,766,373,323
2021년08월_계_70~79세,"6,748","1,841",472,504,333,737,413,502,320,559,609,184,274
2021년08월_계_80~89세,"5,054","1,091",414,423,277,489,354,378,299,460,529,145,195
2021년08월_계_90~99세,682,155,44,65,37,73,57,49,34,52,62,25,29
2021년08월_계_100세 이상,24,3,1,1,0,2,3,4,1,3,1,1,4
2021년08월_남_총인구수,"27,439","7,214","1,145","1,305",830,"9,749","1,262","1,160",721,"1,320","1,482",573,678
2021년08월_남_연령구간인구수,"27,439","7,214","1,145","1,305",830,"9,749","1,262","1,160",721,"1,320","1,482",573,678
2021년08월_남_0~9세,"2,288",377,33,24,27,"1,648",80,23,5,21,24,10,16
2021년08월_남_10~19세,"2,347",649,67,41,34,"1,265",58,45,19,45,55,35,34
2021년08월_남_20~29세,"2,312",765,50,89,29,925,139,58,34,56,103,19,45
2021년08월_남_30~39세,"2,697",573,40,70,42,"1,568",119,60,23,73,81,15,33
2021년08월_남_40~49세,"3,868",992,108,106,78,"1,860",155,131,60,132,138,47,61
2021년08월_남_50~59세,"4,176","1,212",200,217,157,"1,200",188,184,124,219,250,104,121
2021년08월_남_60~69세,"4,888","1,387",279,376,229,770,223,290,215,367,381,206,165
2021년08월_남_70~79세,"3,036",842,212,218,138,346,185,221,135,254,268,93,124
2021년08월_남_80~89세,"1,698",392,145,146,87,158,103,137,102,146,171,38,73
2021년08월_남_90~99세,127,25,11,17,9,9,12,11,4,7,11,5,6
2021년08월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,1,0
2021년08월_여_총인구수,"28,407","7,405","1,136","1,312",853,"10,141","1,281","1,233",775,"1,359","1,629",592,691
2021년08월_여_연령구간인구수,"28,407","7,405","1,136","1,312",853,"10,141","1,281","1,233",775,"1,359","1,629",592,691
2021년08월_여_0~9세,"2,218",371,26,21,31,"1,587",73,23,10,21,25,11,19
2021년08월_여_10~19세,"2,118",535,45,36,20,"1,216",52,41,16,36,62,18,41
2021년08월_여_20~29세,"1,779",531,36,42,21,853,78,47,21,38,64,22,26
2021년08월_여_30~39세,"2,692",532,35,42,42,"1,783",93,37,16,38,36,19,19
2021년08월_여_40~49세,"3,303",864,60,47,35,"1,904",77,69,27,51,93,32,44
2021년08월_여_50~59세,"3,779","1,203",132,187,97,"1,231",133,151,77,165,213,105,85
2021년08월_여_60~69세,"4,873","1,538",239,326,194,779,248,301,195,343,385,167,158
2021년08월_여_70~79세,"3,712",999,260,286,195,391,228,281,185,305,341,91,150
2021년08월_여_80~89세,"3,356",699,269,277,190,331,251,241,197,314,358,107,122
2021년08월_여_90~99세,555,130,33,48,28,64,45,38,30,45,51,20,23
2021년08월_여_100세 이상,22,3,1,0,0,2,3,4,1,3,1,0,4
