,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년12월_계_총인구수,"266,866","32,558","9,523","24,724","20,551","14,933","38,542","10,614","27,315","17,447","14,560","27,185","14,048","14,866"
2021년12월_계_연령구간인구수,"266,866","32,558","9,523","24,724","20,551","14,933","38,542","10,614","27,315","17,447","14,560","27,185","14,048","14,866"
2021년12월_계_0~9세,"18,726","2,514",311,"2,515","1,072",831,"2,482",763,"2,461","1,457",755,"1,778",957,830
2021년12월_계_10~19세,"24,522","2,782",586,"3,277","1,166","1,410","2,789",997,"3,973","1,846",949,"2,751","1,012",984
2021년12월_계_20~29세,"31,201","3,725",986,"2,410","3,252","1,694","5,294","1,224","3,020","1,773","1,608","3,007","1,487","1,721"
2021년12월_계_30~39세,"31,643","4,203",829,"2,828","3,440","1,387","5,185","1,322","2,555","1,826","1,631","2,989","1,614","1,834"
2021년12월_계_40~49세,"42,507","5,058","1,151","5,049","3,167","2,086","5,577","1,737","5,485","3,208","1,958","4,205","1,935","1,891"
2021년12월_계_50~59세,"43,330","5,215","1,659","3,663","3,146","2,449","6,473","1,636","4,533","2,610","2,446","4,656","2,345","2,499"
2021년12월_계_60~69세,"42,034","5,088","2,021","2,746","2,780","2,612","6,192","1,518","3,260","2,547","2,903","4,595","2,691","3,081"
2021년12월_계_70~79세,"22,835","2,729","1,280","1,520","1,689","1,589","3,220",933,"1,490","1,566","1,620","2,282","1,440","1,477"
2021년12월_계_80~89세,"8,917","1,105",612,631,750,746,"1,189",433,470,552,620,817,507,485
2021년12월_계_90~99세,"1,123",138,86,84,81,128,139,51,66,61,70,99,57,63
2021년12월_계_100세 이상,28,1,2,1,8,1,2,0,2,1,0,6,3,1
2021년12월_남_총인구수,"129,681","15,792","4,638","12,141","9,724","7,155","18,849","5,095","13,166","8,662","7,167","13,233","6,804","7,255"
2021년12월_남_연령구간인구수,"129,681","15,792","4,638","12,141","9,724","7,155","18,849","5,095","13,166","8,662","7,167","13,233","6,804","7,255"
2021년12월_남_0~9세,"9,688","1,266",163,"1,316",533,403,"1,280",392,"1,250",831,411,916,488,439
2021년12월_남_10~19세,"12,748","1,501",310,"1,794",584,725,"1,476",483,"1,907","1,048",508,"1,407",482,523
2021년12월_남_20~29세,"16,241","1,979",540,"1,234","1,443",917,"2,691",643,"1,620",935,856,"1,644",792,947
2021년12월_남_30~39세,"15,926","2,096",458,"1,330","1,734",721,"2,677",668,"1,198",873,864,"1,522",811,974
2021년12월_남_40~49세,"20,819","2,514",608,"2,415","1,525",997,"2,783",842,"2,530","1,601","1,001","2,015","1,015",973
2021년12월_남_50~59세,"20,704","2,427",821,"1,826","1,554","1,162","3,032",806,"2,231","1,303","1,187","2,180","1,073","1,102"
2021년12월_남_60~69세,"19,392","2,310",951,"1,273","1,299","1,205","2,901",658,"1,561","1,145","1,329","2,140","1,239","1,381"
2021년12월_남_70~79세,"10,472","1,253",548,683,734,699,"1,464",415,704,702,747,"1,102",688,733
2021년12월_남_80~89세,"3,432",413,221,251,294,295,507,178,161,213,251,282,202,164
2021년12월_남_90~99세,255,33,18,19,22,31,38,10,4,11,13,24,13,19
2021년12월_남_100세 이상,4,0,0,0,2,0,0,0,0,0,0,1,1,0
2021년12월_여_총인구수,"137,185","16,766","4,885","12,583","10,827","7,778","19,693","5,519","14,149","8,785","7,393","13,952","7,244","7,611"
2021년12월_여_연령구간인구수,"137,185","16,766","4,885","12,583","10,827","7,778","19,693","5,519","14,149","8,785","7,393","13,952","7,244","7,611"
2021년12월_여_0~9세,"9,038","1,248",148,"1,199",539,428,"1,202",371,"1,211",626,344,862,469,391
2021년12월_여_10~19세,"11,774","1,281",276,"1,483",582,685,"1,313",514,"2,066",798,441,"1,344",530,461
2021년12월_여_20~29세,"14,960","1,746",446,"1,176","1,809",777,"2,603",581,"1,400",838,752,"1,363",695,774
2021년12월_여_30~39세,"15,717","2,107",371,"1,498","1,706",666,"2,508",654,"1,357",953,767,"1,467",803,860
2021년12월_여_40~49세,"21,688","2,544",543,"2,634","1,642","1,089","2,794",895,"2,955","1,607",957,"2,190",920,918
2021년12월_여_50~59세,"22,626","2,788",838,"1,837","1,592","1,287","3,441",830,"2,302","1,307","1,259","2,476","1,272","1,397"
2021년12월_여_60~69세,"22,642","2,778","1,070","1,473","1,481","1,407","3,291",860,"1,699","1,402","1,574","2,455","1,452","1,700"
2021년12월_여_70~79세,"12,363","1,476",732,837,955,890,"1,756",518,786,864,873,"1,180",752,744
2021년12월_여_80~89세,"5,485",692,391,380,456,451,682,255,309,339,369,535,305,321
2021년12월_여_90~99세,868,105,68,65,59,97,101,41,62,50,57,75,44,44
2021년12월_여_100세 이상,24,1,2,1,6,1,2,0,2,1,0,5,2,1
