카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년01월_계_총인구수,"65,202","20,274","12,016","3,772","2,382","1,557","2,380","2,889","1,411","1,852","1,135","1,686","2,899","2,755","3,160","2,906","2,128"
2021년01월_계_연령구간인구수,"65,202","20,274","12,016","3,772","2,382","1,557","2,380","2,889","1,411","1,852","1,135","1,686","2,899","2,755","3,160","2,906","2,128"
2021년01월_계_0~9세,"2,909","1,055",952,95,52,49,58,95,21,49,18,28,105,72,96,104,60
2021년01월_계_10~19세,"4,659","1,908","1,176",207,122,56,141,162,55,75,26,49,133,116,130,214,89
2021년01월_계_20~29세,"5,367","2,168","1,332",219,113,60,132,196,74,103,51,71,165,163,184,220,116
2021년01월_계_30~39세,"4,363","1,591","1,195",189,101,90,120,132,46,76,53,64,127,137,175,144,123
2021년01월_계_40~49세,"7,166","2,648","1,727",345,207,105,217,254,105,140,58,105,263,225,270,322,175
2021년01월_계_50~59세,"10,774","3,668","1,915",634,383,254,385,441,200,248,176,219,404,416,545,540,346
2021년01월_계_60~69세,"13,136","3,592","1,757",962,592,383,479,640,364,421,306,440,650,615,750,633,552
2021년01월_계_70~79세,"9,437","2,254","1,095",600,484,308,456,568,293,381,230,357,597,512,566,392,344
2021년01월_계_80~89세,"6,346","1,175",749,451,281,218,333,349,212,313,193,296,384,433,388,297,274
2021년01월_계_90~99세,991,199,112,59,44,34,56,47,40,44,24,56,68,66,55,39,48
2021년01월_계_100세 이상,54,16,6,11,3,0,3,5,1,2,0,1,3,0,1,1,1
2021년01월_남_총인구수,"32,285","10,069","5,917","1,891","1,174",777,"1,163","1,398",666,896,566,793,"1,433","1,367","1,605","1,498","1,072"
2021년01월_남_연령구간인구수,"32,285","10,069","5,917","1,891","1,174",777,"1,163","1,398",666,896,566,793,"1,433","1,367","1,605","1,498","1,072"
2021년01월_남_0~9세,"1,550",564,499,50,27,27,35,54,11,29,9,14,48,43,45,57,38
2021년01월_남_10~19세,"2,465","1,007",608,98,83,34,67,88,23,39,19,28,71,70,73,112,45
2021년01월_남_20~29세,"3,097","1,289",696,139,76,39,79,110,45,65,32,39,97,86,108,126,71
2021년01월_남_30~39세,"2,358",827,578,117,60,55,73,77,31,44,33,41,75,80,106,87,74
2021년01월_남_40~49세,"3,918","1,348",897,197,123,61,136,133,57,86,39,54,158,156,171,187,115
2021년01월_남_50~59세,"5,636","1,859","1,014",331,199,125,192,232,105,133,96,118,234,211,284,313,190
2021년01월_남_60~69세,"6,545","1,708",866,501,276,212,245,309,182,213,145,217,330,333,388,329,291
2021년01월_남_70~79세,"4,232","1,019",465,281,217,143,207,248,132,162,115,162,263,225,264,183,146
2021년01월_남_80~89세,"2,231",400,267,158,106,71,116,134,71,112,74,109,140,144,148,92,89
2021년01월_남_90~99세,246,46,26,17,7,10,13,12,9,12,4,11,17,19,18,12,13
2021년01월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년01월_여_총인구수,"32,917","10,205","6,099","1,881","1,208",780,"1,217","1,491",745,956,569,893,"1,466","1,388","1,555","1,408","1,056"
2021년01월_여_연령구간인구수,"32,917","10,205","6,099","1,881","1,208",780,"1,217","1,491",745,956,569,893,"1,466","1,388","1,555","1,408","1,056"
2021년01월_여_0~9세,"1,359",491,453,45,25,22,23,41,10,20,9,14,57,29,51,47,22
2021년01월_여_10~19세,"2,194",901,568,109,39,22,74,74,32,36,7,21,62,46,57,102,44
2021년01월_여_20~29세,"2,270",879,636,80,37,21,53,86,29,38,19,32,68,77,76,94,45
2021년01월_여_30~39세,"2,005",764,617,72,41,35,47,55,15,32,20,23,52,57,69,57,49
2021년01월_여_40~49세,"3,248","1,300",830,148,84,44,81,121,48,54,19,51,105,69,99,135,60
2021년01월_여_50~59세,"5,138","1,809",901,303,184,129,193,209,95,115,80,101,170,205,261,227,156
2021년01월_여_60~69세,"6,591","1,884",891,461,316,171,234,331,182,208,161,223,320,282,362,304,261
2021년01월_여_70~79세,"5,205","1,235",630,319,267,165,249,320,161,219,115,195,334,287,302,209,198
2021년01월_여_80~89세,"4,115",775,482,293,175,147,217,215,141,201,119,187,244,289,240,205,185
2021년01월_여_90~99세,745,153,86,42,37,24,43,35,31,32,20,45,51,47,37,27,35
2021년01월_여_100세 이상,47,14,5,9,3,0,3,4,1,1,0,1,3,0,1,1,1
