,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년12월_계_총인구수,"844,993","190,034","2,260","5,030","3,951","6,870","4,020","6,029","6,911","8,866","10,761","30,156","13,550","54,190","37,440","194,720","10,118","3,350","7,735","14,367","14,863","14,698","26,782","30,829","13,639","13,551","44,788","265,866","23,602","10,859","18,018","17,187","51,429","16,183","52,634","9,828","24,344","28,414","13,368","194,373","19,527","70,066","4,644","12,345","8,604","13,035","47,747","18,405"
2020년12월_계_연령구간인구수,"844,993","190,034","2,260","5,030","3,951","6,870","4,020","6,029","6,911","8,866","10,761","30,156","13,550","54,190","37,440","194,720","10,118","3,350","7,735","14,367","14,863","14,698","26,782","30,829","13,639","13,551","44,788","265,866","23,602","10,859","18,018","17,187","51,429","16,183","52,634","9,828","24,344","28,414","13,368","194,373","19,527","70,066","4,644","12,345","8,604","13,035","47,747","18,405"
2020년12월_계_0~9세,"74,249","16,082",49,114,109,418,96,247,223,410,629,"2,528","1,556","5,505","4,198","13,842",624,88,309,"1,395",671,688,"2,420","2,564",563,690,"3,830","24,206","2,325",685,"2,290",914,"6,015",645,"4,515",490,"1,768","2,046","2,513","20,119","1,509","10,048",101,539,340,839,"4,290","2,453"
2020년12월_계_10~19세,"86,167","19,792",64,204,123,435,195,438,397,693,919,"3,735","1,993","6,421","4,175","20,371",666,124,534,"1,420",989,"1,000","4,038","4,165",971,"1,104","5,360","26,526","2,282","1,050","1,280","1,525","6,561","1,085","6,566",587,"2,337","2,339",914,"19,478","1,893","7,507",168,735,566,"1,033","5,224","2,352"
2020년12월_계_20~29세,"120,028","24,502",166,318,320,745,313,891,988,"1,053","1,341","3,967","1,514","7,586","5,300","28,330","1,146",202,934,"1,714","3,460","2,300","3,624","4,525","2,066","1,714","6,645","41,122","3,144","1,431","1,978","2,537","7,371","3,418","7,707","2,020","4,263","5,342","1,911","26,074","2,346","8,990",364,"2,067","1,083","1,991","7,316","1,917"
2020년12월_계_30~39세,"118,377","22,877",126,291,244,686,230,622,678,834,"1,158","3,303","1,585","7,575","5,545","22,663","1,058",213,768,"1,924","1,985","1,603","3,198","3,437","1,325","1,273","5,879","41,249","3,895","1,140","3,534","1,904","8,585","1,883","6,466","1,661","3,954","4,672","3,555","31,588","2,115","15,520",286,"1,472",813,"1,537","6,834","3,011"
2020년12월_계_40~49세,"136,530","30,305",173,415,362,824,415,813,847,"1,218","1,585","5,338","2,574","9,490","6,251","30,681","1,268",340,"1,017","2,086","1,887","1,893","5,189","5,608","1,785","1,686","7,922","43,173","4,106","1,561","2,597","2,493","10,025","2,026","8,933","1,355","3,909","4,326","1,842","32,371","3,096","12,574",437,"1,583","1,168","1,989","7,974","3,550"
2020년12월_계_50~59세,"137,967","32,973",457,950,877,"1,338",759,"1,017","1,175","1,629","1,897","5,095","2,143","9,127","6,509","34,235","2,212",619,"1,549","2,371","2,169","2,695","4,506","5,593","2,546","2,778","7,197","43,084","3,286","2,087","2,738","3,521","7,278","2,941","9,823","1,582","4,046","4,545","1,237","27,675","3,539","7,362",904,"2,050","1,561","2,207","7,772","2,280"
2020년12월_계_60~69세,"97,151","23,895",598,"1,267",937,"1,268",864,964,"1,291","1,519","1,726","3,467","1,211","5,328","3,455","25,187","1,755",773,"1,392","2,015","2,001","2,578","2,242","2,743","2,342","2,401","4,945","27,649","2,459","1,536","2,008","2,556","3,497","2,440","5,597","1,261","2,525","3,001",769,"20,420","2,605","4,669","1,114","1,925","1,577","1,782","5,163","1,585"
2020년12월_계_70~79세,"47,351","12,310",339,820,581,633,606,645,807,970,"1,019","1,865",641,"2,061","1,323","12,447",826,547,771,921,"1,186","1,276",997,"1,343","1,356","1,209","2,015","12,171","1,326",832,966,"1,096","1,371","1,237","2,020",611,"1,024","1,335",353,"10,423","1,463","2,119",702,"1,250",984,"1,100","2,034",771
