카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년12월_계_총인구수,"28,039","7,841","1,892","1,673","2,357","1,338","1,921","1,176","4,226","2,480","1,701","1,434"
2020년12월_계_연령구간인구수,"28,039","7,841","1,892","1,673","2,357","1,338","1,921","1,176","4,226","2,480","1,701","1,434"
2020년12월_계_0~9세,"1,085",474,66,25,65,19,39,31,205,69,51,41
2020년12월_계_10~19세,"1,928",669,130,88,126,41,94,52,381,211,82,54
2020년12월_계_20~29세,"2,387",769,111,103,157,84,140,78,516,206,112,111
2020년12월_계_30~39세,"1,718",625,97,66,113,62,83,45,350,109,96,72
2020년12월_계_40~49세,"3,025","1,051",175,147,203,93,167,90,508,321,154,116
2020년12월_계_50~59세,"4,897","1,295",312,283,429,254,349,201,745,461,297,271
2020년12월_계_60~69세,"5,004","1,241",385,347,430,267,399,229,651,396,317,342
2020년12월_계_70~79세,"4,285",998,329,315,403,265,364,237,492,352,315,215
2020년12월_계_80~89세,"3,190",611,257,249,374,223,238,188,324,306,236,184
2020년12월_계_90~99세,506,103,29,50,56,27,48,25,52,49,40,27
2020년12월_계_100세 이상,14,5,1,0,1,3,0,0,2,0,1,1
2020년12월_남_총인구수,"13,707","3,793",930,822,"1,123",644,941,572,"2,084","1,234",839,725
2020년12월_남_연령구간인구수,"13,707","3,793",930,822,"1,123",644,941,572,"2,084","1,234",839,725
2020년12월_남_0~9세,556,247,30,10,38,11,26,18,94,37,22,23
2020년12월_남_10~19세,"1,017",351,72,52,69,17,53,19,199,114,44,27
2020년12월_남_20~29세,"1,294",405,67,63,86,54,75,49,264,112,58,61
2020년12월_남_30~39세,918,302,60,45,62,39,44,27,184,60,56,39
2020년12월_남_40~49세,"1,699",554,100,93,114,57,93,57,269,184,109,69
2020년12월_남_50~59세,"2,698",687,174,150,242,139,189,116,401,281,170,149
2020년12월_남_60~69세,"2,620",614,206,192,214,141,211,122,336,213,173,198
2020년12월_남_70~79세,"1,813",417,129,129,176,112,166,103,222,138,125,96
2020년12월_남_80~89세,993,199,85,77,113,69,77,58,100,85,73,57
2020년12월_남_90~99세,96,17,7,11,8,5,7,3,14,10,8,6
2020년12월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년12월_여_총인구수,"14,332","4,048",962,851,"1,234",694,980,604,"2,142","1,246",862,709
2020년12월_여_연령구간인구수,"14,332","4,048",962,851,"1,234",694,980,604,"2,142","1,246",862,709
2020년12월_여_0~9세,529,227,36,15,27,8,13,13,111,32,29,18
2020년12월_여_10~19세,911,318,58,36,57,24,41,33,182,97,38,27
2020년12월_여_20~29세,"1,093",364,44,40,71,30,65,29,252,94,54,50
2020년12월_여_30~39세,800,323,37,21,51,23,39,18,166,49,40,33
2020년12월_여_40~49세,"1,326",497,75,54,89,36,74,33,239,137,45,47
2020년12월_여_50~59세,"2,199",608,138,133,187,115,160,85,344,180,127,122
2020년12월_여_60~69세,"2,384",627,179,155,216,126,188,107,315,183,144,144
2020년12월_여_70~79세,"2,472",581,200,186,227,153,198,134,270,214,190,119
2020년12월_여_80~89세,"2,197",412,172,172,261,154,161,130,224,221,163,127
2020년12월_여_90~99세,410,86,22,39,48,22,41,22,38,39,32,21
2020년12월_여_100세 이상,11,5,1,0,0,3,0,0,1,0,0,1
