카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년04월_계_총인구수,"345,216","345,216"
2020년04월_계_연령구간인구수,"345,216","345,216"
2020년04월_계_0~9세,"47,399","47,399"
2020년04월_계_10~19세,"40,875","40,875"
2020년04월_계_20~29세,"36,323","36,323"
2020년04월_계_30~39세,"61,266","61,266"
2020년04월_계_40~49세,"66,124","66,124"
2020년04월_계_50~59세,"43,283","43,283"
2020년04월_계_60~69세,"28,173","28,173"
2020년04월_계_70~79세,"13,673","13,673"
2020년04월_계_80~89세,"6,922","6,922"
2020년04월_계_90~99세,"1,121","1,121"
2020년04월_계_100세 이상,57,57
2020년04월_남_총인구수,"172,176","172,176"
2020년04월_남_연령구간인구수,"172,176","172,176"
2020년04월_남_0~9세,"24,291","24,291"
2020년04월_남_10~19세,"20,538","20,538"
2020년04월_남_20~29세,"18,359","18,359"
2020년04월_남_30~39세,"29,831","29,831"
2020년04월_남_40~49세,"33,941","33,941"
2020년04월_남_50~59세,"22,421","22,421"
2020년04월_남_60~69세,"13,984","13,984"
2020년04월_남_70~79세,"6,226","6,226"
2020년04월_남_80~89세,"2,316","2,316"
2020년04월_남_90~99세,259,259
2020년04월_남_100세 이상,10,10
2020년04월_여_총인구수,"173,040","173,040"
2020년04월_여_연령구간인구수,"173,040","173,040"
2020년04월_여_0~9세,"23,108","23,108"
2020년04월_여_10~19세,"20,337","20,337"
2020년04월_여_20~29세,"17,964","17,964"
2020년04월_여_30~39세,"31,435","31,435"
2020년04월_여_40~49세,"32,183","32,183"
2020년04월_여_50~59세,"20,862","20,862"
2020년04월_여_60~69세,"14,189","14,189"
2020년04월_여_70~79세,"7,447","7,447"
2020년04월_여_80~89세,"4,606","4,606"
2020년04월_여_90~99세,862,862
2020년04월_여_100세 이상,47,47
