카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년07월_계_총인구수,"52,223","11,113","13,840","4,987","2,316","1,692","2,567","1,518","1,285","1,284","2,132","2,047","3,009","4,433"
2020년07월_계_연령구간인구수,"52,223","11,113","13,840","4,987","2,316","1,692","2,567","1,518","1,285","1,284","2,132","2,047","3,009","4,433"
2020년07월_계_0~9세,"2,393",574,"1,039",173,59,34,57,56,27,34,42,46,52,200
2020년07월_계_10~19세,"3,537",882,"1,523",219,63,58,115,71,58,29,70,84,107,258
2020년07월_계_20~29세,"3,950","1,053","1,370",305,99,89,146,83,57,36,97,102,212,301
2020년07월_계_30~39세,"3,549",880,"1,161",318,121,64,114,76,66,58,90,105,164,332
2020년07월_계_40~49세,"5,987","1,567","2,032",506,170,141,238,105,77,100,157,151,248,495
2020년07월_계_50~59세,"8,624","1,926","2,283",819,315,263,368,225,189,197,344,314,563,818
2020년07월_계_60~69세,"10,076","1,942","2,068","1,044",518,358,529,340,286,311,518,495,694,973
2020년07월_계_70~79세,"8,032","1,471","1,396",936,476,346,517,294,251,288,427,402,566,662
2020년07월_계_80~89세,"5,236",725,821,571,433,286,414,237,243,202,332,291,332,349
2020년07월_계_90~99세,796,88,138,91,58,52,66,30,30,27,52,54,67,43
2020년07월_계_100세 이상,43,5,9,5,4,1,3,1,1,2,3,3,4,2
2020년07월_남_총인구수,"25,834","5,577","6,756","2,493","1,120",831,"1,202",727,627,657,"1,037",990,"1,487","2,330"
2020년07월_남_연령구간인구수,"25,834","5,577","6,756","2,493","1,120",831,"1,202",727,627,657,"1,037",990,"1,487","2,330"
2020년07월_남_0~9세,"1,187",274,519,92,34,15,24,25,14,22,16,23,30,99
2020년07월_남_10~19세,"1,829",460,794,112,38,28,53,37,31,17,36,41,55,127
2020년07월_남_20~29세,"2,324",617,772,163,64,56,85,52,34,27,58,67,145,184
2020년07월_남_30~39세,"1,990",468,570,195,75,39,69,47,43,31,60,66,103,224
2020년07월_남_40~49세,"3,280",828,978,312,108,96,133,61,44,69,92,83,150,326
2020년07월_남_50~59세,"4,657","1,081","1,165",470,165,141,194,120,106,117,182,183,292,441
2020년07월_남_60~69세,"4,937",927,"1,002",524,251,180,255,171,151,146,252,246,332,500
2020년07월_남_70~79세,"3,559",623,627,400,218,160,225,135,110,140,207,181,258,275
2020년07월_남_80~89세,"1,878",275,292,206,152,105,146,72,83,85,126,84,109,143
2020년07월_남_90~99세,184,24,34,18,13,11,18,7,11,3,8,14,13,10
2020년07월_남_100세 이상,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020년07월_여_총인구수,"26,389","5,536","7,084","2,494","1,196",861,"1,365",791,658,627,"1,095","1,057","1,522","2,103"
2020년07월_여_연령구간인구수,"26,389","5,536","7,084","2,494","1,196",861,"1,365",791,658,627,"1,095","1,057","1,522","2,103"
2020년07월_여_0~9세,"1,206",300,520,81,25,19,33,31,13,12,26,23,22,101
2020년07월_여_10~19세,"1,708",422,729,107,25,30,62,34,27,12,34,43,52,131
2020년07월_여_20~29세,"1,626",436,598,142,35,33,61,31,23,9,39,35,67,117
2020년07월_여_30~39세,"1,559",412,591,123,46,25,45,29,23,27,30,39,61,108
2020년07월_여_40~49세,"2,707",739,"1,054",194,62,45,105,44,33,31,65,68,98,169
2020년07월_여_50~59세,"3,967",845,"1,118",349,150,122,174,105,83,80,162,131,271,377
2020년07월_여_60~69세,"5,139","1,015","1,066",520,267,178,274,169,135,165,266,249,362,473
2020년07월_여_70~79세,"4,473",848,769,536,258,186,292,159,141,148,220,221,308,387
2020년07월_여_80~89세,"3,358",450,529,365,281,181,268,165,160,117,206,207,223,206
2020년07월_여_90~99세,612,64,104,73,45,41,48,23,19,24,44,40,54,33
2020년07월_여_100세 이상,34,5,6,4,2,1,3,1,1,2,3,1,4,1
