카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년02월_계_총인구수,"64,728","12,472","9,967",620,226,"3,223","2,983","4,449","3,947","5,036","1,912","2,672","3,394","2,349","3,155","2,336","3,142","1,321","1,524"
2020년02월_계_연령구간인구수,"64,728","12,472","9,967",620,226,"3,223","2,983","4,449","3,947","5,036","1,912","2,672","3,394","2,349","3,155","2,336","3,142","1,321","1,524"
2020년02월_계_0~9세,"2,681","1,040",544,15,4,72,72,129,94,118,57,48,86,68,111,69,79,28,47
2020년02월_계_10~19세,"4,096","1,515",804,19,15,101,141,203,179,239,94,96,150,98,130,74,107,59,72
2020년02월_계_20~29세,"4,448","1,232",845,12,8,168,138,264,219,292,92,127,237,140,218,140,152,73,91
2020년02월_계_30~39세,"3,882","1,200",772,20,14,142,153,206,160,227,76,105,149,125,172,110,126,48,77
2020년02월_계_40~49세,"6,624","1,943","1,240",29,36,240,234,395,355,454,161,194,285,165,267,154,232,102,138
2020년02월_계_50~59세,"10,629","1,937","1,723",51,46,503,507,716,675,850,306,443,626,391,517,421,458,196,263
2020년02월_계_60~69세,"12,353","1,693","1,814",103,27,714,625,914,813,"1,034",417,563,708,549,660,488,621,273,337
2020년02월_계_70~79세,"11,516","1,182","1,444",182,48,730,571,959,838,"1,065",407,596,616,455,578,485,749,313,298
2020년02월_계_80~89세,"7,276",600,670,163,27,467,468,605,528,662,254,403,446,310,432,343,524,193,181
2020년02월_계_90~99세,"1,175",125,107,26,1,86,71,56,79,88,46,96,86,46,67,50,90,35,20
2020년02월_계_100세 이상,48,5,4,0,0,0,3,2,7,7,2,1,5,2,3,2,4,1,0
2020년02월_남_총인구수,"31,368","6,117","4,860",313,117,"1,601","1,413","2,178","1,897","2,417",928,"1,252","1,614","1,106","1,540","1,129","1,468",639,779
2020년02월_남_연령구간인구수,"31,368","6,117","4,860",313,117,"1,601","1,413","2,178","1,897","2,417",928,"1,252","1,614","1,106","1,540","1,129","1,468",639,779
2020년02월_남_0~9세,"1,332",518,269,7,0,34,37,65,36,60,27,19,42,34,62,34,44,14,30
2020년02월_남_10~19세,"2,173",803,423,9,6,61,69,112,80,122,43,59,87,61,69,47,53,34,35
2020년02월_남_20~29세,"2,540",692,445,4,7,108,69,154,136,168,52,79,129,82,130,88,86,51,60
2020년02월_남_30~39세,"2,117",555,418,7,11,94,95,122,98,129,45,65,90,60,97,75,80,31,45
2020년02월_남_40~49세,"3,890",995,659,17,29,169,145,247,225,290,105,132,184,103,169,103,154,70,94
2020년02월_남_50~59세,"5,827","1,014",916,26,24,308,300,384,360,474,189,247,330,209,302,229,259,107,149
2020년02월_남_60~69세,"6,073",794,854,59,16,360,325,452,389,482,208,286,360,280,318,256,299,152,183
2020년02월_남_70~79세,"4,901",532,632,98,16,301,228,414,399,452,170,249,239,180,241,192,311,114,133
2020년02월_남_80~89세,"2,256",195,225,78,8,147,128,212,159,217,76,99,129,91,127,98,165,57,45
2020년02월_남_90~99세,252,17,18,8,0,19,17,15,15,22,12,17,24,6,25,6,17,9,5
2020년02월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년02월_여_총인구수,"33,360","6,355","5,107",307,109,"1,622","1,570","2,271","2,050","2,619",984,"1,420","1,780","1,243","1,615","1,207","1,674",682,745
2020년02월_여_연령구간인구수,"33,360","6,355","5,107",307,109,"1,622","1,570","2,271","2,050","2,619",984,"1,420","1,780","1,243","1,615","1,207","1,674",682,745
2020년02월_여_0~9세,"1,349",522,275,8,4,38,35,64,58,58,30,29,44,34,49,35,35,14,17
2020년02월_여_10~19세,"1,923",712,381,10,9,40,72,91,99,117,51,37,63,37,61,27,54,25,37
2020년02월_여_20~29세,"1,908",540,400,8,1,60,69,110,83,124,40,48,108,58,88,52,66,22,31
2020년02월_여_30~39세,"1,765",645,354,13,3,48,58,84,62,98,31,40,59,65,75,35,46,17,32
2020년02월_여_40~49세,"2,734",948,581,12,7,71,89,148,130,164,56,62,101,62,98,51,78,32,44
2020년02월_여_50~59세,"4,802",923,807,25,22,195,207,332,315,376,117,196,296,182,215,192,199,89,114
2020년02월_여_60~69세,"6,280",899,960,44,11,354,300,462,424,552,209,277,348,269,342,232,322,121,154
2020년02월_여_70~79세,"6,615",650,812,84,32,429,343,545,439,613,237,347,377,275,337,293,438,199,165
2020년02월_여_80~89세,"5,020",405,445,85,19,320,340,393,369,445,178,304,317,219,305,245,359,136,136
2020년02월_여_90~99세,923,108,89,18,1,67,54,41,64,66,34,79,62,40,42,44,73,26,15
2020년02월_여_100세 이상,41,3,3,0,0,0,3,1,7,6,1,1,5,2,3,1,4,1,0
