카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년01월_계_총인구수,"245,492","7,966","3,133","1,617","7,291","2,973","12,129","1,138","8,289","3,639","1,101","3,155","1,410","6,271","9,429","27,365","7,370","26,563","20,523","35,695","34,650","23,785"
2021년01월_계_연령구간인구수,"245,492","7,966","3,133","1,617","7,291","2,973","12,129","1,138","8,289","3,639","1,101","3,155","1,410","6,271","9,429","27,365","7,370","26,563","20,523","35,695","34,650","23,785"
2021년01월_계_0~9세,"26,466",558,79,29,413,65,"1,445",44,508,191,31,80,56,410,529,"4,537",606,"2,542","1,572","3,502","5,773","3,496"
2021년01월_계_10~19세,"27,954",640,125,62,587,156,"1,120",58,668,272,28,109,67,634,968,"3,426",648,"3,066","2,247","4,328","5,007","3,738"
2021년01월_계_20~29세,"24,270",677,233,90,560,220,934,66,790,297,49,205,77,684,"1,013","2,366",858,"2,901","2,788","4,154","3,029","2,279"
2021년01월_계_30~39세,"36,340",834,221,85,630,154,"1,819",85,883,309,64,179,101,667,907,"5,935","1,093","3,684","3,308","5,054","6,651","3,677"
2021년01월_계_40~49세,"47,650","1,244",358,158,995,319,"2,210",112,"1,392",463,110,387,175,"1,220","1,615","6,080","1,335","4,999","4,430","7,015","7,580","5,453"
2021년01월_계_50~59세,"39,273","1,596",632,341,"1,297",590,"1,896",236,"1,694",670,211,585,263,"1,240","1,937","2,939","1,361","4,873","3,758","6,044","4,051","3,059"
2021년01월_계_60~69세,"26,853","1,405",713,393,"1,387",724,"1,472",296,"1,338",720,275,712,319,864,"1,621","1,471","1,043","3,262","1,791","3,910","1,739","1,398"
2021년01월_계_70~79세,"10,842",625,490,285,812,451,817,162,609,423,201,518,211,362,595,415,303,883,443,"1,194",591,452
2021년01월_계_80~89세,"4,992",338,250,154,498,252,362,67,352,248,109,329,120,164,212,169,106,303,152,424,183,200
2021년01월_계_90~99세,807,45,31,20,102,40,51,12,54,45,23,50,20,18,28,27,17,48,32,69,44,31
2021년01월_계_100세 이상,45,4,1,0,10,2,3,0,1,1,0,1,1,8,4,0,0,2,2,1,2,2
2021년01월_남_총인구수,"128,819","4,060","1,625",808,"3,593","1,538","6,309",579,"4,552","1,885",550,"1,603",707,"3,460","5,106","14,678","3,996","13,819","11,737","18,404","17,642","12,168"
2021년01월_남_연령구간인구수,"128,819","4,060","1,625",808,"3,593","1,538","6,309",579,"4,552","1,885",550,"1,603",707,"3,460","5,106","14,678","3,996","13,819","11,737","18,404","17,642","12,168"
2021년01월_남_0~9세,"13,701",282,47,14,218,38,736,23,278,98,19,44,31,224,283,"2,335",317,"1,294",824,"1,842","2,919","1,835"
2021년01월_남_10~19세,"14,645",336,69,34,293,86,580,34,351,148,14,64,31,328,535,"1,773",351,"1,657","1,172","2,252","2,585","1,952"
2021년01월_남_20~29세,"13,708",379,129,52,310,144,536,38,472,154,24,123,46,399,573,"1,349",537,"1,579","1,695","2,304","1,592","1,273"
2021년01월_남_30~39세,"19,173",433,139,49,331,91,909,52,515,180,35,106,53,397,508,"3,146",613,"1,946","2,088","2,647","3,221","1,714"
2021년01월_남_40~49세,"25,944",662,214,92,546,187,"1,243",65,819,283,70,247,107,736,915,"3,425",766,"2,654","2,662","3,618","3,938","2,695"
2021년01월_남_50~59세,"20,978",840,344,198,656,303,"1,041",121,973,358,120,319,144,710,"1,052","1,641",706,"2,434","2,106","3,079","2,149","1,684"
2021년01월_남_60~69세,"13,869",728,349,208,715,386,749,163,717,362,145,362,167,456,869,771,524,"1,724",920,"1,937",894,723
2021년01월_남_70~79세,"5,144",289,240,112,362,215,399,65,302,212,90,234,90,162,294,194,152,435,227,577,273,220
2021년01월_남_80~89세,"1,515",102,88,46,150,79,103,14,114,85,31,97,36,43,69,39,28,91,38,131,65,66
2021년01월_남_90~99세,133,7,5,3,10,9,13,4,11,5,2,7,2,5,6,5,2,5,5,16,5,6
2021년01월_남_100세 이상,9,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
2021년01월_여_총인구수,"116,673","3,906","1,508",809,"3,698","1,435","5,820",559,"3,737","1,754",551,"1,552",703,"2,811","4,323","12,687","3,374","12,744","8,786","17,291","17,008","11,617"
2021년01월_여_연령구간인구수,"116,673","3,906","1,508",809,"3,698","1,435","5,820",559,"3,737","1,754",551,"1,552",703,"2,811","4,323","12,687","3,374","12,744","8,786","17,291","17,008","11,617"
2021년01월_여_0~9세,"12,765",276,32,15,195,27,709,21,230,93,12,36,25,186,246,"2,202",289,"1,248",748,"1,660","2,854","1,661"
2021년01월_여_10~19세,"13,309",304,56,28,294,70,540,24,317,124,14,45,36,306,433,"1,653",297,"1,409","1,075","2,076","2,422","1,786"
2021년01월_여_20~29세,"10,562",298,104,38,250,76,398,28,318,143,25,82,31,285,440,"1,017",321,"1,322","1,093","1,850","1,437","1,006"
2021년01월_여_30~39세,"17,167",401,82,36,299,63,910,33,368,129,29,73,48,270,399,"2,789",480,"1,738","1,220","2,407","3,430","1,963"
2021년01월_여_40~49세,"21,706",582,144,66,449,132,967,47,573,180,40,140,68,484,700,"2,655",569,"2,345","1,768","3,397","3,642","2,758"
2021년01월_여_50~59세,"18,295",756,288,143,641,287,855,115,721,312,91,266,119,530,885,"1,298",655,"2,439","1,652","2,965","1,902","1,375"
2021년01월_여_60~69세,"12,984",677,364,185,672,338,723,133,621,358,130,350,152,408,752,700,519,"1,538",871,"1,973",845,675
2021년01월_여_70~79세,"5,698",336,250,173,450,236,418,97,307,211,111,284,121,200,301,221,151,448,216,617,318,232
2021년01월_여_80~89세,"3,477",236,162,108,348,173,259,53,238,163,78,232,84,121,143,130,78,212,114,293,118,134
2021년01월_여_90~99세,674,38,26,17,92,31,38,8,43,40,21,43,18,13,22,22,15,43,27,53,39,25
2021년01월_여_100세 이상,36,2,0,0,8,2,3,0,1,1,0,1,1,8,2,0,0,2,2,0,1,2
