,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년03월_계_총인구수,"304,078","24,196","21,974","29,933","27,040","31,503","18,706","16,213","17,209","20,963","21,441","23,276","20,691","30,933"
2021년03월_계_연령구간인구수,"304,078","24,196","21,974","29,933","27,040","31,503","18,706","16,213","17,209","20,963","21,441","23,276","20,691","30,933"
2021년03월_계_0~9세,"15,190","1,268",748,"1,514","1,031","2,908",669,655,927,"1,018","1,052",796,"1,074","1,530"
2021년03월_계_10~19세,"21,580","1,932","1,336","2,003","1,609","3,953","1,073","1,062","1,291","1,315","1,433","1,103","1,387","2,083"
2021년03월_계_20~29세,"42,420","3,145","3,840","4,241","3,612","3,341","3,204","2,212","1,886","3,052","2,960","4,249","2,648","4,030"
2021년03월_계_30~39세,"38,018","2,940","2,840","4,052","3,222","3,740","2,714","1,762","1,707","2,796","2,543","3,353","2,567","3,782"
2021년03월_계_40~49세,"45,863","3,608","3,057","4,508","3,856","6,404","2,879","2,369","2,574","2,948","3,049","3,255","2,926","4,430"
2021년03월_계_50~59세,"52,171","4,346","3,795","5,160","5,005","4,950","3,111","2,739","2,789","3,588","3,783","3,995","3,565","5,345"
2021년03월_계_60~69세,"46,133","3,784","3,342","4,594","4,618","3,333","2,626","2,658","2,691","3,346","3,375","3,449","3,296","5,021"
2021년03월_계_70~79세,"29,570","2,205","2,071","2,760","2,840","1,970","1,737","1,983","2,474","1,940","2,133","2,126","2,150","3,181"
2021년03월_계_80~89세,"11,672",848,849,987,"1,108",808,623,693,786,844,982,856,944,"1,344"
2021년03월_계_90~99세,"1,414",115,95,107,130,91,70,78,81,113,129,94,128,183
2021년03월_계_100세 이상,47,5,1,7,9,5,0,2,3,3,2,0,6,4
2021년03월_남_총인구수,"148,306","12,057","10,626","14,402","13,445","15,134","9,432","7,846","8,079","10,399","10,279","11,565","10,058","14,984"
2021년03월_남_연령구간인구수,"148,306","12,057","10,626","14,402","13,445","15,134","9,432","7,846","8,079","10,399","10,279","11,565","10,058","14,984"
2021년03월_남_0~9세,"7,873",667,399,787,524,"1,505",352,345,472,517,545,402,567,791
2021년03월_남_10~19세,"11,070","1,007",700,976,816,"2,003",564,556,654,666,767,592,731,"1,038"
2021년03월_남_20~29세,"20,852","1,627","1,690","2,070","1,847","1,662","1,587","1,151",963,"1,541","1,424","2,026","1,238","2,026"
2021년03월_남_30~39세,"19,953","1,562","1,510","2,039","1,729","1,721","1,463",979,882,"1,533","1,337","1,835","1,370","1,993"
2021년03월_남_40~49세,"23,546","1,846","1,603","2,303","2,032","3,096","1,534","1,203","1,304","1,576","1,531","1,731","1,506","2,281"
2021년03월_남_50~59세,"25,653","2,196","1,844","2,442","2,534","2,484","1,619","1,339","1,346","1,753","1,792","2,034","1,734","2,536"
2021년03월_남_60~69세,"21,516","1,782","1,630","2,116","2,256","1,515","1,248","1,211","1,195","1,564","1,554","1,591","1,529","2,325"
2021년03월_남_70~79세,"12,817","1,009",891,"1,219","1,242",842,784,792,942,875,909,961,943,"1,408"
2021년03월_남_80~89세,"4,632",327,336,422,424,283,261,252,304,340,380,358,402,543
2021년03월_남_90~99세,380,31,23,26,39,22,20,18,16,34,39,35,36,41
2021년03월_남_100세 이상,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021년03월_여_총인구수,"155,772","12,139","11,348","15,531","13,595","16,369","9,274","8,367","9,130","10,564","11,162","11,711","10,633","15,949"
2021년03월_여_연령구간인구수,"155,772","12,139","11,348","15,531","13,595","16,369","9,274","8,367","9,130","10,564","11,162","11,711","10,633","15,949"
2021년03월_여_0~9세,"7,317",601,349,727,507,"1,403",317,310,455,501,507,394,507,739
2021년03월_여_10~19세,"10,510",925,636,"1,027",793,"1,950",509,506,637,649,666,511,656,"1,045"
2021년03월_여_20~29세,"21,568","1,518","2,150","2,171","1,765","1,679","1,617","1,061",923,"1,511","1,536","2,223","1,410","2,004"
2021년03월_여_30~39세,"18,065","1,378","1,330","2,013","1,493","2,019","1,251",783,825,"1,263","1,206","1,518","1,197","1,789"
2021년03월_여_40~49세,"22,317","1,762","1,454","2,205","1,824","3,308","1,345","1,166","1,270","1,372","1,518","1,524","1,420","2,149"
2021년03월_여_50~59세,"26,518","2,150","1,951","2,718","2,471","2,466","1,492","1,400","1,443","1,835","1,991","1,961","1,831","2,809"
2021년03월_여_60~69세,"24,617","2,002","1,712","2,478","2,362","1,818","1,378","1,447","1,496","1,782","1,821","1,858","1,767","2,696"
2021년03월_여_70~79세,"16,753","1,196","1,180","1,541","1,598","1,128",953,"1,191","1,532","1,065","1,224","1,165","1,207","1,773"
2021년03월_여_80~89세,"7,040",521,513,565,684,525,362,441,482,504,602,498,542,801
2021년03월_여_90~99세,"1,034",84,72,81,91,69,50,60,65,79,90,59,92,142
2021년03월_여_100세 이상,33,2,1,5,7,4,0,2,2,3,1,0,4,2
