카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년06월_계_총인구수,"38,840","21,224","1,103","1,484","1,751","2,159","2,272","1,272","1,749","3,806","2,020"
2020년06월_계_연령구간인구수,"38,840","21,224","1,103","1,484","1,751","2,159","2,272","1,272","1,749","3,806","2,020"
2020년06월_계_0~9세,"1,720","1,331",20,24,30,35,51,40,47,97,45
2020년06월_계_10~19세,"3,008","2,240",31,57,80,81,96,54,78,206,85
2020년06월_계_20~29세,"3,290","2,322",43,69,95,135,116,103,104,220,83
2020년06월_계_30~39세,"2,867","1,964",52,63,60,105,125,86,108,201,103
2020년06월_계_40~49세,"4,745","3,041",105,122,171,210,228,147,177,358,186
2020년06월_계_50~59세,"7,451","3,777",240,357,419,458,448,273,337,741,401
2020년06월_계_60~69세,"7,866","3,260",267,370,464,548,622,298,421,998,618
2020년06월_계_70~79세,"4,896","2,099",211,269,263,349,342,162,292,556,353
2020년06월_계_80~89세,"2,602","1,032",118,137,144,209,207,96,157,377,125
2020년06월_계_90~99세,345,139,14,15,22,23,32,12,27,42,19
2020년06월_계_100세 이상,50,19,2,1,3,6,5,1,1,10,2
2020년06월_남_총인구수,"20,054","10,852",568,777,905,"1,129","1,190",714,945,"1,955","1,019"
2020년06월_남_연령구간인구수,"20,054","10,852",568,777,905,"1,129","1,190",714,945,"1,955","1,019"
2020년06월_남_0~9세,919,722,14,12,17,16,22,22,25,47,22
2020년06월_남_10~19세,"1,622","1,224",16,25,41,35,54,28,35,123,41
2020년06월_남_20~29세,"1,878","1,312",25,44,56,82,70,67,59,120,43
2020년06월_남_30~39세,"1,562","1,017",28,43,32,63,81,49,79,121,49
2020년06월_남_40~49세,"2,628","1,577",70,79,96,130,144,90,119,208,115
2020년06월_남_50~59세,"4,091","2,047",140,202,226,260,250,167,202,395,202
2020년06월_남_60~69세,"4,088","1,631",134,211,248,303,342,165,221,524,309
2020년06월_남_70~79세,"2,230",913,92,112,135,154,155,84,135,269,181
2020년06월_남_80~89세,926,370,44,44,49,78,61,39,60,131,50
2020년06월_남_90~99세,96,34,4,4,5,5,9,3,10,15,7
2020년06월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년06월_여_총인구수,"18,786","10,372",535,707,846,"1,030","1,082",558,804,"1,851","1,001"
2020년06월_여_연령구간인구수,"18,786","10,372",535,707,846,"1,030","1,082",558,804,"1,851","1,001"
2020년06월_여_0~9세,801,609,6,12,13,19,29,18,22,50,23
2020년06월_여_10~19세,"1,386","1,016",15,32,39,46,42,26,43,83,44
2020년06월_여_20~29세,"1,412","1,010",18,25,39,53,46,36,45,100,40
2020년06월_여_30~39세,"1,305",947,24,20,28,42,44,37,29,80,54
2020년06월_여_40~49세,"2,117","1,464",35,43,75,80,84,57,58,150,71
2020년06월_여_50~59세,"3,360","1,730",100,155,193,198,198,106,135,346,199
2020년06월_여_60~69세,"3,778","1,629",133,159,216,245,280,133,200,474,309
2020년06월_여_70~79세,"2,666","1,186",119,157,128,195,187,78,157,287,172
2020년06월_여_80~89세,"1,676",662,74,93,95,131,146,57,97,246,75
2020년06월_여_90~99세,249,105,10,11,17,18,23,9,17,27,12
2020년06월_여_100세 이상,36,14,1,0,3,3,3,1,1,8,2
