카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년09월_계_총인구수,"62,965","12,405","9,663",598,223,"3,096","2,922","4,299","3,823","4,867","1,866","2,624","3,292","2,285","3,078","2,232","2,982","1,246","1,464"
2021년09월_계_연령구간인구수,"62,965","12,405","9,663",598,223,"3,096","2,922","4,299","3,823","4,867","1,866","2,624","3,292","2,285","3,078","2,232","2,982","1,246","1,464"
2021년09월_계_0~9세,"2,463",976,503,22,1,63,75,116,83,120,52,37,86,57,99,58,57,28,30
2021년09월_계_10~19세,"3,691","1,403",738,23,12,91,114,187,159,212,86,92,106,101,114,69,93,36,55
2021년09월_계_20~29세,"3,932","1,217",723,16,9,122,148,212,191,230,73,108,207,119,194,104,123,56,80
2021년09월_계_30~39세,"3,443","1,109",670,23,15,128,132,160,144,194,59,85,144,112,162,91,96,49,70
2021년09월_계_40~49세,"6,022","1,824","1,126",32,31,226,220,325,294,416,148,196,236,147,257,130,205,83,126
2021년09월_계_50~59세,"9,930","1,985","1,649",31,42,454,462,665,624,799,283,398,552,340,449,357,419,195,226
2021년09월_계_60~69세,"12,982","1,847","1,931",94,33,700,618,948,861,"1,061",431,620,747,588,710,541,612,275,365
2021년09월_계_70~79세,"11,314","1,241","1,480",173,41,720,586,939,791,"1,001",392,563,615,462,568,434,713,302,293
2021년09월_계_80~89세,"7,838",665,731,154,36,502,480,662,573,724,296,424,504,306,442,404,555,184,196
2021년09월_계_90~99세,"1,300",129,108,30,3,87,86,83,96,103,44,101,89,53,79,44,105,37,23
2021년09월_계_100세 이상,50,9,4,0,0,3,1,2,7,7,2,0,6,0,4,0,4,1,0
2021년09월_남_총인구수,"30,600","6,100","4,730",302,118,"1,531","1,402","2,085","1,843","2,347",915,"1,248","1,566","1,082","1,496","1,095","1,411",588,741
2021년09월_남_연령구간인구수,"30,600","6,100","4,730",302,118,"1,531","1,402","2,085","1,843","2,347",915,"1,248","1,566","1,082","1,496","1,095","1,411",588,741
2021년09월_남_0~9세,"1,221",491,243,10,1,34,31,60,31,53,28,14,45,30,50,37,33,13,17
2021년09월_남_10~19세,"1,976",750,388,11,4,46,58,99,78,115,40,49,65,58,63,40,53,24,35
2021년09월_남_20~29세,"2,303",685,412,6,8,83,80,135,112,145,43,77,113,73,111,69,70,31,50
2021년09월_남_30~39세,"1,871",532,349,14,12,81,87,89,88,111,33,47,85,54,95,59,62,32,41
2021년09월_남_40~49세,"3,475",909,590,16,26,161,132,190,191,260,104,131,154,88,159,98,131,50,85
2021년09월_남_50~59세,"5,610","1,067",898,17,26,291,269,385,344,453,171,232,302,204,267,198,249,110,127
2021년09월_남_60~69세,"6,465",848,932,53,18,361,341,460,425,521,217,318,382,299,355,290,314,137,194
2021년09월_남_70~79세,"4,940",575,649,90,15,295,242,409,381,416,174,251,251,183,254,190,302,128,135
2021년09월_남_80~89세,"2,460",220,251,75,8,158,145,235,178,246,91,117,147,90,115,108,175,52,49
2021년09월_남_90~99세,274,21,18,10,0,20,17,22,15,27,13,12,22,3,27,6,22,11,8
2021년09월_남_100세 이상,5,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"32,365","6,305","4,933",296,105,"1,565","1,520","2,214","1,980","2,520",951,"1,376","1,726","1,203","1,582","1,137","1,571",658,723
2021년09월_여_연령구간인구수,"32,365","6,305","4,933",296,105,"1,565","1,520","2,214","1,980","2,520",951,"1,376","1,726","1,203","1,582","1,137","1,571",658,723
2021년09월_여_0~9세,"1,242",485,260,12,0,29,44,56,52,67,24,23,41,27,49,21,24,15,13
2021년09월_여_10~19세,"1,715",653,350,12,8,45,56,88,81,97,46,43,41,43,51,29,40,12,20
2021년09월_여_20~29세,"1,629",532,311,10,1,39,68,77,79,85,30,31,94,46,83,35,53,25,30
2021년09월_여_30~39세,"1,572",577,321,9,3,47,45,71,56,83,26,38,59,58,67,32,34,17,29
2021년09월_여_40~49세,"2,547",915,536,16,5,65,88,135,103,156,44,65,82,59,98,32,74,33,41
2021년09월_여_50~59세,"4,320",918,751,14,16,163,193,280,280,346,112,166,250,136,182,159,170,85,99
2021년09월_여_60~69세,"6,517",999,999,41,15,339,277,488,436,540,214,302,365,289,355,251,298,138,171
2021년09월_여_70~79세,"6,374",666,831,83,26,425,344,530,410,585,218,312,364,279,314,244,411,174,158
2021년09월_여_80~89세,"5,378",445,480,79,28,344,335,427,395,478,205,307,357,216,327,296,380,132,147
2021년09월_여_90~99세,"1,026",108,90,20,3,67,69,61,81,76,31,89,67,50,52,38,83,26,15
2021년09월_여_100세 이상,45,7,4,0,0,2,1,1,7,7,1,0,6,0,4,0,4,1,0
