,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년06월_계_총인구수,"577,519","42,006","24,243","20,537","31,002","51,977","18,106","21,443","20,783","34,466","24,897","24,640","34,099","14,192","15,242","36,352","43,228","30,716","43,300","23,221","23,069"
2021년06월_계_연령구간인구수,"577,519","42,006","24,243","20,537","31,002","51,977","18,106","21,443","20,783","34,466","24,897","24,640","34,099","14,192","15,242","36,352","43,228","30,716","43,300","23,221","23,069"
2021년06월_계_0~9세,"38,228","4,034","1,257","1,272","1,679","2,569","1,131","1,234","1,097","2,110","1,189","1,243","1,624",477,693,"3,155","3,612","3,450","3,937","1,180","1,285"
2021년06월_계_10~19세,"44,017","4,507","1,299","1,540","1,959","2,418","1,403","1,625","1,342","2,369","1,625","1,560","1,859",461,552,"4,857","5,459","2,132","4,181","1,396","1,473"
2021년06월_계_20~29세,"86,728","5,682","5,037","3,177","3,966","9,543","2,595","3,072","2,938","6,027","4,363","3,867","8,337","1,639","1,743","4,542","5,255","4,009","5,164","3,319","2,453"
2021년06월_계_30~39세,"98,479","7,341","6,122","3,508","4,640","10,402","2,852","3,115","3,276","6,377","4,232","4,037","8,462","2,332","3,038","4,132","5,334","5,720","6,218","3,714","3,627"
2021년06월_계_40~49세,"90,187","7,611","3,244","3,016","3,897","7,452","3,028","3,214","3,236","5,468","3,607","3,918","4,585","1,453","1,890","7,039","8,418","4,999","7,502","3,204","3,406"
2021년06월_계_50~59세,"84,710","5,930","3,042","3,282","5,145","7,308","2,836","3,219","3,320","4,830","3,891","3,664","4,151","2,073","2,224","5,663","6,578","4,119","6,391","3,563","3,481"
2021년06월_계_60~69세,"78,490","4,344","2,309","2,877","5,405","7,132","2,480","3,482","3,227","4,353","3,701","3,587","3,316","3,270","2,753","3,937","5,097","3,648","5,832","3,772","3,968"
2021년06월_계_70~79세,"38,903","1,762","1,122","1,315","2,545","3,762","1,331","1,778","1,661","2,102","1,618","2,057","1,172","1,572","1,557","2,116","2,577","1,805","2,819","2,053","2,179"
2021년06월_계_80~89세,"15,187",695,672,461,"1,459","1,221",391,604,598,711,576,621,506,776,674,765,767,713,"1,090",890,997
2021년06월_계_90~99세,"2,498",96,133,89,296,161,59,92,87,115,93,83,84,134,116,140,126,117,161,126,190
