,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년05월_계_총인구수,"31,633","9,958",518,"3,737","8,129","4,902","2,573","1,816"
2021년05월_계_연령구간인구수,"31,633","9,958",518,"3,737","8,129","4,902","2,573","1,816"
2021년05월_계_0~9세,"2,448",933,16,271,580,354,189,105
2021년05월_계_10~19세,"2,244",840,33,230,604,311,137,89
2021년05월_계_20~29세,"4,124","1,256",30,484,"1,027",555,541,231
2021년05월_계_30~39세,"3,863","1,348",30,475,864,612,376,158
2021년05월_계_40~49세,"3,907","1,426",54,376,"1,028",604,235,184
2021년05월_계_50~59세,"5,126","1,523",122,579,"1,446",814,327,315
2021년05월_계_60~69세,"5,484","1,467",121,732,"1,435",923,402,404
2021년05월_계_70~79세,"2,629",701,74,325,670,425,229,205
2021년05월_계_80~89세,"1,550",393,34,221,415,257,123,107
2021년05월_계_90~99세,251,68,4,43,58,47,14,17
2021년05월_계_100세 이상,7,3,0,1,2,0,0,1
2021년05월_남_총인구수,"17,116","5,249",273,"2,010","4,349","2,670","1,552","1,013"
2021년05월_남_연령구간인구수,"17,116","5,249",273,"2,010","4,349","2,670","1,552","1,013"
2021년05월_남_0~9세,"1,241",464,8,129,294,186,103,57
2021년05월_남_10~19세,"1,177",458,16,112,313,157,71,50
2021년05월_남_20~29세,"2,743",771,17,334,657,366,435,163
2021년05월_남_30~39세,"2,231",739,19,283,475,370,246,99
2021년05월_남_40~49세,"2,167",765,33,212,571,336,145,105
2021년05월_남_50~59세,"2,740",795,68,308,784,426,190,169
2021년05월_남_60~69세,"2,944",763,59,391,782,523,203,223
2021년05월_남_70~79세,"1,251",337,39,153,306,203,113,100
2021년05월_남_80~89세,553,140,12,76,151,93,42,39
2021년05월_남_90~99세,65,15,2,12,14,10,4,8
2021년05월_남_100세 이상,4,2,0,0,2,0,0,0
2021년05월_여_총인구수,"14,517","4,709",245,"1,727","3,780","2,232","1,021",803
2021년05월_여_연령구간인구수,"14,517","4,709",245,"1,727","3,780","2,232","1,021",803
2021년05월_여_0~9세,"1,207",469,8,142,286,168,86,48
2021년05월_여_10~19세,"1,067",382,17,118,291,154,66,39
2021년05월_여_20~29세,"1,381",485,13,150,370,189,106,68
2021년05월_여_30~39세,"1,632",609,11,192,389,242,130,59
2021년05월_여_40~49세,"1,740",661,21,164,457,268,90,79
2021년05월_여_50~59세,"2,386",728,54,271,662,388,137,146
2021년05월_여_60~69세,"2,540",704,62,341,653,400,199,181
2021년05월_여_70~79세,"1,378",364,35,172,364,222,116,105
2021년05월_여_80~89세,997,253,22,145,264,164,81,68
2021년05월_여_90~99세,186,53,2,31,44,37,10,9
2021년05월_여_100세 이상,3,1,0,1,0,0,0,1
