,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년10월_계_총인구수,"314,552","6,529","74,915","4,225","21,148","19,780","21,585","5,566","6,503","3,142","4,464","19,917","9,454","10,795","36,805","18,919","21,717","29,088"
2020년10월_계_연령구간인구수,"314,552","6,529","74,915","4,225","21,148","19,780","21,585","5,566","6,503","3,142","4,464","19,917","9,454","10,795","36,805","18,919","21,717","29,088"
2020년10월_계_0~9세,"33,279",375,"9,565",209,"3,026","2,618","2,482",154,296,65,112,"1,631",916,446,"4,118","1,595","2,327","3,344"
2020년10월_계_10~19세,"34,338",499,"9,239",354,"2,926","1,699","1,443",271,400,115,184,"2,060",725,813,"4,826","2,478","2,755","3,551"
2020년10월_계_20~29세,"36,143",571,"9,371",308,"2,524","2,013","2,402",431,567,192,358,"2,369","1,068","1,693","4,440","2,171","2,773","2,892"
2020년10월_계_30~39세,"48,460",632,"13,806",258,"3,969","3,623","4,620",385,636,173,307,"2,393","1,767","1,202","5,224","2,200","3,024","4,241"
2020년10월_계_40~49세,"55,915",875,"14,347",559,"4,499","3,383","3,463",600,945,270,398,"3,415","1,510","1,471","6,994","3,516","4,076","5,594"
2020년10월_계_50~59세,"46,001","1,151","9,539",755,"2,294","2,736","3,093","1,018","1,279",527,858,"3,220","1,327","2,036","5,269","3,201","3,327","4,371"
2020년10월_계_60~69세,"31,372","1,151","5,161",801,"1,013","2,084","2,227","1,207","1,096",761,967,"2,416","1,098","1,622","3,223","1,986","1,854","2,705"
2020년10월_계_70~79세,"17,978",719,"2,537",577,550,987,"1,134",833,709,575,732,"1,510",670,"1,009","1,775","1,132","1,031","1,498"
