,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년08월_계_총인구수,"46,314","15,161","2,745","3,116","1,216","3,666","1,890","2,675","2,615","1,824","2,433","4,597","4,376"
2021년08월_계_연령구간인구수,"46,314","15,161","2,745","3,116","1,216","3,666","1,890","2,675","2,615","1,824","2,433","4,597","4,376"
2021년08월_계_0~9세,"2,280","1,138",122,102,28,127,52,58,87,62,100,204,200
2021년08월_계_10~19세,"2,980","1,251",100,159,50,254,106,97,113,74,117,315,344
2021년08월_계_20~29세,"4,646","1,739",215,269,83,299,163,520,204,153,175,425,401
2021년08월_계_30~39세,"3,600","1,592",198,205,68,239,109,133,183,110,178,290,295
2021년08월_계_40~49세,"5,156","2,048",290,295,103,336,170,198,243,176,240,558,499
2021년08월_계_50~59세,"8,193","2,462",508,585,246,683,387,420,451,321,439,876,815
2021년08월_계_60~69세,"8,636","2,263",586,696,290,745,409,513,535,409,521,896,773
2021년08월_계_70~79세,"6,201","1,595",431,493,177,550,279,403,430,312,400,559,572
2021년08월_계_80~89세,"3,993",918,248,272,144,389,184,289,311,180,233,404,421
2021년08월_계_90~99세,605,148,47,37,26,42,30,43,54,25,28,69,56
2021년08월_계_100세 이상,24,7,0,3,1,2,1,1,4,2,2,1,0
2021년08월_남_총인구수,"23,497","7,652","1,404","1,575",609,"1,857",983,"1,488","1,329",909,"1,226","2,299","2,166"
2021년08월_남_연령구간인구수,"23,497","7,652","1,404","1,575",609,"1,857",983,"1,488","1,329",909,"1,226","2,299","2,166"
2021년08월_남_0~9세,"1,125",543,58,47,9,70,27,29,41,37,48,112,104
2021년08월_남_10~19세,"1,551",667,55,83,24,120,66,49,59,34,57,175,162
2021년08월_남_20~29세,"2,751","1,001",117,148,45,174,91,436,112,79,96,226,226
2021년08월_남_30~39세,"1,846",804,105,112,31,126,58,75,106,50,82,154,143
2021년08월_남_40~49세,"2,957","1,117",194,172,61,202,95,114,161,111,144,301,285
2021년08월_남_50~59세,"4,531","1,304",285,315,140,380,214,239,267,173,254,483,477
2021년08월_남_60~69세,"4,498","1,152",298,376,165,398,240,260,262,206,269,466,406
2021년08월_남_70~79세,"2,795",711,187,227,79,242,127,187,206,147,198,247,237
2021년08월_남_80~89세,"1,306",321,95,85,49,134,60,88,105,63,74,114,118
2021년08월_남_90~99세,136,31,10,10,6,11,5,11,10,9,4,21,8
2021년08월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"22,817","7,509","1,341","1,541",607,"1,809",907,"1,187","1,286",915,"1,207","2,298","2,210"
2021년08월_여_연령구간인구수,"22,817","7,509","1,341","1,541",607,"1,809",907,"1,187","1,286",915,"1,207","2,298","2,210"
2021년08월_여_0~9세,"1,155",595,64,55,19,57,25,29,46,25,52,92,96
2021년08월_여_10~19세,"1,429",584,45,76,26,134,40,48,54,40,60,140,182
2021년08월_여_20~29세,"1,895",738,98,121,38,125,72,84,92,74,79,199,175
2021년08월_여_30~39세,"1,754",788,93,93,37,113,51,58,77,60,96,136,152
2021년08월_여_40~49세,"2,199",931,96,123,42,134,75,84,82,65,96,257,214
2021년08월_여_50~59세,"3,662","1,158",223,270,106,303,173,181,184,148,185,393,338
2021년08월_여_60~69세,"4,138","1,111",288,320,125,347,169,253,273,203,252,430,367
2021년08월_여_70~79세,"3,406",884,244,266,98,308,152,216,224,165,202,312,335
2021년08월_여_80~89세,"2,687",597,153,187,95,255,124,201,206,117,159,290,303
2021년08월_여_90~99세,469,117,37,27,20,31,25,32,44,16,24,48,48
2021년08월_여_100세 이상,23,6,0,3,1,2,1,1,4,2,2,1,0
