카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년07월_계_총인구수,"1,597,501","847,642","193,640","193,127","267,095","193,780","209,602","132,269","32,062","50,312","46,261","36,470","84,845","37,229","92,231","28,578"
2021년07월_계_연령구간인구수,"1,597,501","847,642","193,640","193,127","267,095","193,780","209,602","132,269","32,062","50,312","46,261","36,470","84,845","37,229","92,231","28,578"
2021년07월_계_0~9세,"119,553","72,434","16,134","13,122","23,837","19,341","14,074","8,381","1,380","2,491","2,196","3,030","7,576","1,250","5,604","1,137"
2021년07월_계_10~19세,"147,224","85,036","19,709","19,682","26,342","19,303","18,550","11,492","2,046","3,808","3,240","3,345","8,401","1,913","7,483","1,910"
2021년07월_계_20~29세,"196,710","119,652","24,766","28,133","40,824","25,929","24,057","14,626","2,323","4,213","4,043","4,456","9,278","2,717","9,241","2,104"
2021년07월_계_30~39세,"192,127","118,131","23,495","22,152","41,417","31,067","23,059","12,626","2,066","3,781","3,069","4,483","11,490","2,290","9,252","1,880"
2021년07월_계_40~49세,"238,200","136,086","30,601","30,072","43,210","32,203","30,350","17,922","3,205","6,123","5,057","5,518","13,727","3,668","13,407","3,137"
2021년07월_계_50~59세,"269,459","136,934","33,176","33,602","42,735","27,421","36,959","23,521","5,669","8,764","8,102","5,990","13,721","7,024","17,362","5,413"
2021년07월_계_60~69세,"236,905","103,759","25,844","26,617","29,584","21,714","33,679","23,923","7,191","10,350","9,648","5,268","11,099","9,101","16,198","6,689"
2021년07월_계_70~79세,"119,913","47,621","12,401","12,544","12,260","10,416","17,209","12,361","4,510","6,328","6,400","2,667","5,508","5,342","8,141","3,826"
2021년07월_계_80~89세,"67,734","24,432","6,493","6,296","6,038","5,605","10,300","6,537","3,156","3,828","3,964","1,532","3,552","3,453","4,798","2,182"
2021년07월_계_90~99세,"9,360","3,443",990,882,830,741,"1,332",822,502,613,528,177,480,452,725,286
2021년07월_계_100세 이상,316,114,31,25,18,40,33,58,14,13,14,4,13,19,20,14
2021년07월_남_총인구수,"810,258","427,187","96,225","95,945","135,468","99,549","106,069","66,444","16,170","25,350","23,068","19,031","44,526","19,136","48,802","14,475"
2021년07월_남_연령구간인구수,"810,258","427,187","96,225","95,945","135,468","99,549","106,069","66,444","16,170","25,350","23,068","19,031","44,526","19,136","48,802","14,475"
2021년07월_남_0~9세,"61,074","36,935","8,179","6,701","12,143","9,912","7,094","4,296",705,"1,277","1,119","1,579","3,917",631,"2,923",598
2021년07월_남_10~19세,"76,456","44,072","10,213","10,208","13,644","10,007","9,642","5,960","1,085","2,016","1,684","1,753","4,353",976,"3,896","1,019"
2021년07월_남_20~29세,"109,450","65,199","13,355","15,306","22,087","14,451","13,857","8,142","1,382","2,412","2,288","2,633","5,370","1,604","5,344","1,219"
2021년07월_남_30~39세,"102,288","62,030","12,019","11,475","21,792","16,744","12,530","6,669","1,135","1,947","1,627","2,494","6,338","1,311","5,196","1,011"
2021년07월_남_40~49세,"123,456","69,022","15,200","14,867","21,964","16,991","15,604","9,219","1,780","3,290","2,738","2,978","7,473","2,124","7,502","1,726"
2021년07월_남_50~59세,"138,752","68,577","16,510","16,538","21,415","14,114","18,895","12,007","3,155","4,720","4,325","3,172","7,523","3,828","9,656","2,894"
2021년07월_남_60~69세,"118,942","50,850","12,765","12,847","14,611","10,627","16,895","11,965","3,697","5,299","4,974","2,654","5,703","4,836","8,616","3,453"
2021년07월_남_70~79세,"54,341","21,433","5,564","5,584","5,595","4,690","7,692","5,602","2,047","2,934","2,822","1,204","2,539","2,498","3,861","1,709"
2021년07월_남_80~89세,"23,384","8,349","2,195","2,243","2,057","1,854","3,535","2,388","1,072","1,300","1,369",520,"1,216","1,227","1,639",769
2021년07월_남_90~99세,"2,047",700,222,170,158,150,317,180,112,154,118,42,91,96,163,74
2021년07월_남_100세 이상,68,20,3,6,2,9,8,16,0,1,4,2,3,5,6,3
2021년07월_여_총인구수,"787,243","420,455","97,415","97,182","131,627","94,231","103,533","65,825","15,892","24,962","23,193","17,439","40,319","18,093","43,429","14,103"
2021년07월_여_연령구간인구수,"787,243","420,455","97,415","97,182","131,627","94,231","103,533","65,825","15,892","24,962","23,193","17,439","40,319","18,093","43,429","14,103"
2021년07월_여_0~9세,"58,479","35,499","7,955","6,421","11,694","9,429","6,980","4,085",675,"1,214","1,077","1,451","3,659",619,"2,681",539
2021년07월_여_10~19세,"70,768","40,964","9,496","9,474","12,698","9,296","8,908","5,532",961,"1,792","1,556","1,592","4,048",937,"3,587",891
2021년07월_여_20~29세,"87,260","54,453","11,411","12,827","18,737","11,478","10,200","6,484",941,"1,801","1,755","1,823","3,908","1,113","3,897",885
2021년07월_여_30~39세,"89,839","56,101","11,476","10,677","19,625","14,323","10,529","5,957",931,"1,834","1,442","1,989","5,152",979,"4,056",869
2021년07월_여_40~49세,"114,744","67,064","15,401","15,205","21,246","15,212","14,746","8,703","1,425","2,833","2,319","2,540","6,254","1,544","5,905","1,411"
2021년07월_여_50~59세,"130,707","68,357","16,666","17,064","21,320","13,307","18,064","11,514","2,514","4,044","3,777","2,818","6,198","3,196","7,706","2,519"
2021년07월_여_60~69세,"117,963","52,909","13,079","13,770","14,973","11,087","16,784","11,958","3,494","5,051","4,674","2,614","5,396","4,265","7,582","3,236"
2021년07월_여_70~79세,"65,572","26,188","6,837","6,960","6,665","5,726","9,517","6,759","2,463","3,394","3,578","1,463","2,969","2,844","4,280","2,117"
2021년07월_여_80~89세,"44,350","16,083","4,298","4,053","3,981","3,751","6,765","4,149","2,084","2,528","2,595","1,012","2,336","2,226","3,159","1,413"
2021년07월_여_90~99세,"7,313","2,743",768,712,672,591,"1,015",642,390,459,410,135,389,356,562,212
2021년07월_여_100세 이상,248,94,28,19,16,31,25,42,14,12,10,2,10,14,14,11
