,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년10월_계_총인구수,"850,050","81,114","17,423","85,481","41,246","7,200","5,825","6,902","10,931","7,113","9,899","10,254","4,008","11,347","21,433","43,720","28,213","24,526","32,556","13,743","23,253","51,356","35,994","42,271","53,621","40,677","31,014","82,453","26,477"
2020년10월_계_연령구간인구수,"850,050","81,114","17,423","85,481","41,246","7,200","5,825","6,902","10,931","7,113","9,899","10,254","4,008","11,347","21,433","43,720","28,213","24,526","32,556","13,743","23,253","51,356","35,994","42,271","53,621","40,677","31,014","82,453","26,477"
2020년10월_계_0~9세,"105,151","8,429",947,"10,746","4,152",307,218,265,462,174,307,392,104,425,"3,974","4,504","2,676","2,580","4,431","1,371","1,843","6,495","4,431","5,963","9,480","6,218","4,568","14,902","4,787"
2020년10월_계_10~19세,"96,248","9,843","1,462","9,985","3,508",480,343,412,792,309,472,613,158,799,"2,066","3,955","3,130","4,018","3,988","1,814","2,255","6,946","6,601","5,382","8,793","4,097","2,892","8,874","2,261"
2020년10월_계_20~29세,"103,300","10,091","1,785","10,224","5,584",826,584,724,999,553,979,989,395,"1,319","2,430","7,045","4,750","2,906","4,145","1,709","3,129","7,735","3,737","6,126","4,226","4,785","4,432","8,254","2,839"
2020년10월_계_30~39세,"151,165","11,433","1,621","15,849","7,138",662,509,733,883,519,999,890,376,"1,142","4,837","8,893","4,491","3,180","5,949","1,608","3,016","9,782","4,367","8,393","9,585","9,943","7,681","19,446","7,240"
2020년10월_계_40~49세,"162,766","15,725","2,789","17,111","6,713",960,685,"1,009","1,428",834,"1,460","1,336",481,"1,652","4,011","7,803","5,104","5,432","6,016","2,697","3,955","10,414","8,758","8,541","13,208","7,810","5,721","16,411","4,702"
2020년10월_계_50~59세,"114,656","12,434","3,513","10,812","6,507","1,531","1,243","1,438","2,191","1,614","2,351","2,213",929,"2,432","2,640","5,899","4,027","3,261","4,540","2,242","4,181","6,300","4,676","4,158","5,303","4,007","3,279","8,450","2,485"
2020년10월_계_60~69세,"68,410","7,755","2,723","6,236","4,479","1,292","1,129","1,214","2,045","1,649","1,890","2,006",838,"1,910","1,085","3,389","2,359","1,690","2,376","1,350","2,921","2,325","1,987","2,050","1,980","2,388","1,597","4,232","1,515"
2020년10월_계_70~79세,"31,875","3,696","1,621","2,940","2,062",730,646,712,"1,254",847,840,"1,098",429,"1,024",252,"1,529","1,164",991,747,679,"1,323",948,"1,025","1,190",737,"1,024",577,"1,346",444
