,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년06월_계_총인구수,"32,360","8,503","3,431","1,891","3,927","1,938","3,146","2,904","2,878","3,742"
2020년06월_계_연령구간인구수,"32,360","8,503","3,431","1,891","3,927","1,938","3,146","2,904","2,878","3,742"
2020년06월_계_0~9세,"1,447",544,147,72,148,48,112,113,100,163
2020년06월_계_10~19세,"2,093",764,191,65,225,100,232,150,133,233
2020년06월_계_20~29세,"2,567",816,196,137,275,136,263,198,265,281
2020년06월_계_30~39세,"2,183",732,183,123,235,104,194,188,184,240
2020년06월_계_40~49세,"3,589","1,173",360,187,392,174,301,273,328,401
2020년06월_계_50~59세,"5,596","1,388",584,298,680,371,580,511,523,661
2020년06월_계_60~69세,"5,810","1,253",645,411,761,360,547,616,552,665
2020년06월_계_70~79세,"5,200","1,062",671,330,678,348,523,469,456,663
2020년06월_계_80~89세,"3,369",674,407,229,459,262,339,336,287,376
2020년06월_계_90~99세,480,92,46,38,71,34,54,48,43,54
2020년06월_계_100세 이상,26,5,1,1,3,1,1,2,7,5
2020년06월_남_총인구수,"16,181","4,182","1,703",936,"1,956",931,"1,618","1,432","1,448","1,975"
2020년06월_남_연령구간인구수,"16,181","4,182","1,703",936,"1,956",931,"1,618","1,432","1,448","1,975"
2020년06월_남_0~9세,755,280,61,38,85,20,66,58,50,97
2020년06월_남_10~19세,"1,111",417,95,35,112,55,127,73,70,127
2020년06월_남_20~29세,"1,495",432,127,73,170,88,163,112,153,177
2020년06월_남_30~39세,"1,175",365,98,72,129,58,111,109,94,139
2020년06월_남_40~49세,"2,130",644,237,117,241,99,168,162,185,277
2020년06월_남_50~59세,"3,245",765,341,167,379,208,364,302,307,412
2020년06월_남_60~69세,"2,989",611,337,206,409,191,269,330,290,346
2020년06월_남_70~79세,"2,162",439,265,149,279,131,234,190,195,280
2020년06월_남_80~89세,"1,001",203,129,71,137,72,104,91,89,105
2020년06월_남_90~99세,115,24,13,8,15,9,12,5,15,14
2020년06월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년06월_여_총인구수,"16,179","4,321","1,728",955,"1,971","1,007","1,528","1,472","1,430","1,767"
2020년06월_여_연령구간인구수,"16,179","4,321","1,728",955,"1,971","1,007","1,528","1,472","1,430","1,767"
2020년06월_여_0~9세,692,264,86,34,63,28,46,55,50,66
2020년06월_여_10~19세,982,347,96,30,113,45,105,77,63,106
2020년06월_여_20~29세,"1,072",384,69,64,105,48,100,86,112,104
2020년06월_여_30~39세,"1,008",367,85,51,106,46,83,79,90,101
2020년06월_여_40~49세,"1,459",529,123,70,151,75,133,111,143,124
2020년06월_여_50~59세,"2,351",623,243,131,301,163,216,209,216,249
2020년06월_여_60~69세,"2,821",642,308,205,352,169,278,286,262,319
2020년06월_여_70~79세,"3,038",623,406,181,399,217,289,279,261,383
2020년06월_여_80~89세,"2,368",471,278,158,322,190,235,245,198,271
2020년06월_여_90~99세,365,68,33,30,56,25,42,43,28,40
2020년06월_여_100세 이상,23,3,1,1,3,1,1,2,7,4
