카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년02월_계_총인구수,"22,035","7,377","2,080","2,312","4,423","2,109","2,157","1,577"
2021년02월_계_연령구간인구수,"22,035","7,377","2,080","2,312","4,423","2,109","2,157","1,577"
2021년02월_계_0~9세,"1,130",545,74,66,251,49,79,66
2021년02월_계_10~19세,"1,650",746,113,121,351,95,140,84
2021년02월_계_20~29세,"1,633",635,130,145,363,126,148,86
2021년02월_계_30~39세,"1,535",674,111,114,307,121,125,83
2021년02월_계_40~49세,"2,552","1,016",191,209,577,188,226,145
2021년02월_계_50~59세,"3,675","1,138",338,376,774,377,404,268
2021년02월_계_60~69세,"4,253","1,204",396,544,801,499,434,375
2021년02월_계_70~79세,"3,124",848,374,429,551,360,324,238
2021년02월_계_80~89세,"2,159",498,306,263,390,252,249,201
2021년02월_계_90~99세,301,69,46,43,49,39,26,29
2021년02월_계_100세 이상,23,4,1,2,9,3,2,2
2021년02월_남_총인구수,"10,987","3,644","1,033","1,167","2,239","1,048","1,070",786
2021년02월_남_연령구간인구수,"10,987","3,644","1,033","1,167","2,239","1,048","1,070",786
2021년02월_남_0~9세,592,281,43,42,130,24,44,28
2021년02월_남_10~19세,844,361,62,65,201,48,63,44
2021년02월_남_20~29세,925,346,80,76,212,77,86,48
2021년02월_남_30~39세,804,333,65,69,157,73,70,37
2021년02월_남_40~49세,"1,438",553,114,128,307,109,128,99
2021년02월_남_50~59세,"2,067",637,192,206,442,216,230,144
2021년02월_남_60~69세,"2,168",580,196,291,411,257,226,207
2021년02월_남_70~79세,"1,368",361,173,194,251,150,134,105
2021년02월_남_80~89세,706,176,90,89,118,85,83,65
2021년02월_남_90~99세,70,14,18,7,9,9,5,8
2021년02월_남_100세 이상,5,2,0,0,1,0,1,1
2021년02월_여_총인구수,"11,048","3,733","1,047","1,145","2,184","1,061","1,087",791
2021년02월_여_연령구간인구수,"11,048","3,733","1,047","1,145","2,184","1,061","1,087",791
2021년02월_여_0~9세,538,264,31,24,121,25,35,38
2021년02월_여_10~19세,806,385,51,56,150,47,77,40
2021년02월_여_20~29세,708,289,50,69,151,49,62,38
2021년02월_여_30~39세,731,341,46,45,150,48,55,46
2021년02월_여_40~49세,"1,114",463,77,81,270,79,98,46
2021년02월_여_50~59세,"1,608",501,146,170,332,161,174,124
2021년02월_여_60~69세,"2,085",624,200,253,390,242,208,168
2021년02월_여_70~79세,"1,756",487,201,235,300,210,190,133
2021년02월_여_80~89세,"1,453",322,216,174,272,167,166,136
2021년02월_여_90~99세,231,55,28,36,40,30,21,21
2021년02월_여_100세 이상,18,2,1,2,8,3,1,1
