카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년02월_계_총인구수,"1,043,874","261,904","20,638","42,448","7,388","48,923","36,819","43,895","30,970","30,823","218,885","42,755","23,270","28,750","46,824","42,094","27,048","8,144","176,334","4,423","12,633","3,694","4,071","14,564",665,"32,476","11,689","15,520","9,662","11,333","14,788","20,442","7,180","13,194","193,780","66,547","11,092","7,788","16,691","6,606","11,684","32,435","9,726","8,156","9,531","9,980","3,544","192,971","17,812","8,988","5,319","11,558","7,708","17,486","8,657","21,743","10,334","26,353","12,349","6,588","38,076"
2020년02월_계_연령구간인구수,"1,043,874","261,904","20,638","42,448","7,388","48,923","36,819","43,895","30,970","30,823","218,885","42,755","23,270","28,750","46,824","42,094","27,048","8,144","176,334","4,423","12,633","3,694","4,071","14,564",665,"32,476","11,689","15,520","9,662","11,333","14,788","20,442","7,180","13,194","193,780","66,547","11,092","7,788","16,691","6,606","11,684","32,435","9,726","8,156","9,531","9,980","3,544","192,971","17,812","8,988","5,319","11,558","7,708","17,486","8,657","21,743","10,334","26,353","12,349","6,588","38,076"
2020년02월_계_0~9세,"87,219","22,065","1,338","6,608",277,"4,259","3,003","2,638","1,681","2,261","17,653","3,409","1,334","2,258","3,905","3,923","2,284",540,"12,955",127,"1,251",90,76,"2,349",29,"2,825",592,"1,058",462,567,"1,069","1,250",375,835,"14,112","5,707",475,350,"1,140",179,682,"3,297",692,331,501,584,174,"20,434","1,660",400,219,"1,126",610,"1,616",431,"2,616","1,158","3,802","1,782",590,"4,424"
2020년02월_계_10~19세,"102,696","24,305","2,039","3,440",444,"4,633","3,972","4,441","2,389","2,947","24,316","5,569","1,549","3,595","5,108","4,351","3,324",820,"14,095",180,"1,022",181,149,"1,184",30,"3,288",849,"1,434",865,"1,003","1,224","1,211",449,"1,026","18,969","8,566",686,635,"1,238",393,889,"3,573",667,530,693,856,243,"21,011","1,921",724,328,"1,057",752,"2,429",575,"2,263","1,239","3,137",891,726,"4,969"
2020년02월_계_20~29세,"133,068","36,431","2,396","4,050",709,"6,913","5,531","7,016","4,900","4,916","33,522","5,991","4,484","4,359","6,826","6,472","4,325","1,065","19,511",321,"1,142",313,288,"1,298",73,"4,257","1,673","1,742","1,197","1,302","1,495","2,124",689,"1,597","23,117","8,600","1,082",802,"1,851",689,"1,393","3,617","1,206","1,073","1,088","1,358",358,"20,487","2,206",885,542,"1,169",828,"2,204","1,001","2,479","1,130","2,361","1,273",602,"3,807"
2020년02월_계_30~39세,"138,985","35,823","1,978","8,357",683,"6,963","5,130","4,558","3,947","4,207","30,413","4,766","4,383","3,637","6,764","6,304","3,489","1,070","21,347",350,"1,684",233,192,"2,832",72,"4,129","1,299","1,698",939,"1,118","1,726","2,631",831,"1,613","22,781","7,305","1,119",736,"2,201",592,"1,448","4,346","1,449",898,"1,011","1,226",450,"28,621","2,433",774,438,"1,731",907,"2,266","1,115","3,481","1,450","4,443","2,516",766,"6,301"
2020년02월_계_40~49세,"170,342","41,452","3,387","6,698",871,"7,627","6,246","7,099","4,565","4,959","37,302","7,783","3,727","4,968","8,100","6,900","4,530","1,294","25,788",405,"1,994",363,343,"2,383",73,"5,080","1,518","2,381","1,320","1,568","2,205","3,133","1,029","1,993","31,048","12,084","1,504","1,065","2,316",803,"1,725","5,667","1,344","1,177","1,290","1,482",591,"34,752","3,021","1,292",635,"1,764","1,279","3,474","1,305","3,750","1,745","4,875","1,923","1,131","8,558"
2020년02월_계_50~59세,"188,727","50,758","4,007","6,154","1,422","9,472","7,376","9,571","6,452","6,304","44,185","8,517","4,287","6,170","9,275","8,564","5,898","1,474","30,089",848,"2,086",778,752,"1,936",121,"5,673","1,985","2,640","1,848","2,082","2,402","3,408","1,264","2,266","35,358","12,450","1,954","1,402","2,959","1,311","2,059","5,568","1,739","1,502","1,933","1,793",688,"28,337","2,301","1,447",974,"1,876","1,239","2,640","1,562","3,431","1,428","3,536","1,708","1,128","5,067"
2020년02월_계_60~69세,"133,266","31,951","2,980","4,347","1,505","5,803","3,835","5,555","4,544","3,382","21,586","4,553","2,406","2,628","4,662","3,853","2,351","1,133","28,866","1,116","1,936",850,973,"1,573",152,"4,382","2,009","2,350","1,678","2,075","2,586","3,635","1,358","2,193","28,636","7,095","2,276","1,577","2,862","1,409","2,129","4,046","1,509","1,606","1,839","1,662",626,"22,227","2,103","1,550","1,025","1,593","1,100","1,848","1,563","2,338","1,217","2,625","1,283",934,"3,048"
2020년02월_계_70~79세,"60,992","12,820","1,632","1,770",911,"2,272","1,173","2,092","1,711","1,259","6,608","1,500",756,718,"1,434","1,142",556,502,"15,981",688,992,513,723,698,69,"2,038","1,173","1,477",887,"1,155","1,455","2,114",785,"1,214","14,168","3,302","1,389",868,"1,593",827,"1,011","1,673",826,790,834,763,292,"11,415","1,405","1,232",747,850,659,709,769,915,641,"1,066",610,440,"1,372"
