,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년08월_계_총인구수,"32,522","14,855","1,902","1,483","2,235","1,693","2,322","1,955",767,"1,795","1,721","1,794"
2020년08월_계_연령구간인구수,"32,522","14,855","1,902","1,483","2,235","1,693","2,322","1,955",767,"1,795","1,721","1,794"
2020년08월_계_0~9세,"1,498","1,026",36,78,49,31,63,54,27,58,34,42
2020년08월_계_10~19세,"2,147","1,334",85,80,102,59,148,93,23,67,71,85
2020년08월_계_20~29세,"2,397","1,395",111,112,92,89,158,111,28,91,108,102
2020년08월_계_30~39세,"2,269","1,331",85,146,98,73,165,103,26,66,87,89
2020년08월_계_40~49세,"3,368","1,929",171,164,168,116,201,171,58,120,118,152
2020년08월_계_50~59세,"5,970","2,675",405,258,399,269,400,353,139,351,355,366
2020년08월_계_60~69세,"6,668","2,488",470,260,556,417,506,489,230,439,386,427
2020년08월_계_70~79세,"4,583","1,543",337,209,429,346,388,296,139,316,303,277
2020년08월_계_80~89세,"3,102",984,161,148,297,260,271,232,84,245,209,211
2020년08월_계_90~99세,493,140,38,26,43,30,21,51,13,41,49,41
2020년08월_계_100세 이상,27,10,3,2,2,3,1,2,0,1,1,2
2020년08월_남_총인구수,"16,370","7,409",979,767,"1,080",824,"1,184",980,411,902,885,949
2020년08월_남_연령구간인구수,"16,370","7,409",979,767,"1,080",824,"1,184",980,411,902,885,949
2020년08월_남_0~9세,780,526,21,36,23,21,32,27,16,31,17,30
2020년08월_남_10~19세,"1,145",722,41,34,55,33,78,48,13,35,41,45
2020년08월_남_20~29세,"1,414",793,68,74,53,52,105,62,12,61,64,70
2020년08월_남_30~39세,"1,249",665,57,100,55,45,113,62,12,35,51,54
2020년08월_남_40~49세,"1,888","1,019",106,95,107,70,121,99,35,85,70,81
2020년08월_남_50~59세,"3,285","1,421",216,151,216,158,217,201,86,200,213,206
2020년08월_남_60~69세,"3,409","1,232",253,126,275,194,256,263,129,225,212,244
2020년08월_남_70~79세,"2,027",672,142,93,189,149,162,136,75,142,129,138
2020년08월_남_80~89세,"1,064",330,68,51,96,90,97,78,33,79,72,70
2020년08월_남_90~99세,108,29,6,7,11,12,3,4,0,9,16,11
2020년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"16,152","7,446",923,716,"1,155",869,"1,138",975,356,893,836,845
2020년08월_여_연령구간인구수,"16,152","7,446",923,716,"1,155",869,"1,138",975,356,893,836,845
2020년08월_여_0~9세,718,500,15,42,26,10,31,27,11,27,17,12
2020년08월_여_10~19세,"1,002",612,44,46,47,26,70,45,10,32,30,40
2020년08월_여_20~29세,983,602,43,38,39,37,53,49,16,30,44,32
2020년08월_여_30~39세,"1,020",666,28,46,43,28,52,41,14,31,36,35
2020년08월_여_40~49세,"1,480",910,65,69,61,46,80,72,23,35,48,71
2020년08월_여_50~59세,"2,685","1,254",189,107,183,111,183,152,53,151,142,160
2020년08월_여_60~69세,"3,259","1,256",217,134,281,223,250,226,101,214,174,183
2020년08월_여_70~79세,"2,556",871,195,116,240,197,226,160,64,174,174,139
2020년08월_여_80~89세,"2,038",654,93,97,201,170,174,154,51,166,137,141
2020년08월_여_90~99세,385,111,32,19,32,18,18,47,13,32,33,30
2020년08월_여_100세 이상,26,10,2,2,2,3,1,2,0,1,1,2
