카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년09월_계_총인구수,"294,668","24,481","29,274","19,435","15,855","19,242","23,231","28,048","20,062","35,091","20,961","33,363","25,625"
2021년09월_계_연령구간인구수,"294,668","24,481","29,274","19,435","15,855","19,242","23,231","28,048","20,062","35,091","20,961","33,363","25,625"
2021년09월_계_0~9세,"17,434","1,205","1,799",752,598,841,"1,440","1,698",975,"2,601","1,358","1,585","2,582"
2021년09월_계_10~19세,"25,737","2,170","2,646","1,190",909,"1,444","2,501","2,681","1,387","3,607","1,737","2,595","2,870"
2021년09월_계_20~29세,"42,600","3,410","4,143","2,882","2,409","3,247","3,762","4,134","2,836","5,200","2,901","4,892","2,784"
2021년09월_계_30~39세,"37,470","2,689","3,424","2,465","2,152","2,819","2,568","3,444","2,782","4,766","2,524","4,301","3,536"
2021년09월_계_40~49세,"44,617","3,458","4,323","2,661","1,973","2,459","3,833","4,318","2,658","5,843","3,105","4,831","5,155"
2021년09월_계_50~59세,"59,524","4,993","5,865","4,181","3,350","4,150","5,157","5,627","4,030","7,028","4,172","6,998","3,973"
2021년09월_계_60~69세,"42,646","4,093","4,529","3,328","2,878","2,999","2,706","4,014","3,379","3,856","3,121","4,782","2,961"
2021년09월_계_70~79세,"15,677","1,585","1,731","1,303","1,056",762,655,"1,365","1,322","1,313","1,289","2,105","1,191"
2021년09월_계_80~89세,"7,727",765,721,596,448,450,492,672,602,744,644,"1,106",487
2021년09월_계_90~99세,"1,204",108,89,75,81,70,113,94,89,128,109,162,86
2021년09월_계_100세 이상,32,5,4,2,1,1,4,1,2,5,1,6,0
2021년09월_남_총인구수,"146,737","12,279","14,792","10,241","7,886","9,203","11,749","13,767","9,922","17,480","10,356","16,459","12,603"
2021년09월_남_연령구간인구수,"146,737","12,279","14,792","10,241","7,886","9,203","11,749","13,767","9,922","17,480","10,356","16,459","12,603"
2021년09월_남_0~9세,"8,846",610,916,409,292,425,730,856,480,"1,317",719,797,"1,295"
2021년09월_남_10~19세,"13,157","1,143","1,366",618,475,754,"1,266","1,360",706,"1,790",883,"1,302","1,494"
2021년09월_남_20~29세,"22,367","1,836","2,267","1,557","1,216","1,655","1,972","2,177","1,479","2,758","1,473","2,595","1,382"
2021년09월_남_30~39세,"19,590","1,390","1,829","1,400","1,180","1,439","1,331","1,745","1,501","2,499","1,284","2,280","1,712"
2021년09월_남_40~49세,"22,275","1,719","2,164","1,460","1,020","1,110","1,883","2,101","1,377","2,837","1,557","2,373","2,674"
2021년09월_남_50~59세,"28,932","2,467","2,844","2,235","1,595","1,838","2,551","2,691","1,908","3,437","2,019","3,424","1,923"
2021년09월_남_60~69세,"21,700","2,080","2,309","1,738","1,445","1,505","1,543","1,996","1,647","2,032","1,591","2,434","1,380"
2021년09월_남_70~79세,"7,101",748,829,615,494,335,311,616,588,557,578,886,544
2021년09월_남_80~89세,"2,504",257,253,192,151,126,142,199,216,227,235,331,175
2021년09월_남_90~99세,257,28,15,17,18,15,19,25,19,25,17,35,24
2021년09월_남_100세 이상,8,1,0,0,0,1,1,1,1,1,0,2,0
2021년09월_여_총인구수,"147,931","12,202","14,482","9,194","7,969","10,039","11,482","14,281","10,140","17,611","10,605","16,904","13,022"
2021년09월_여_연령구간인구수,"147,931","12,202","14,482","9,194","7,969","10,039","11,482","14,281","10,140","17,611","10,605","16,904","13,022"
2021년09월_여_0~9세,"8,588",595,883,343,306,416,710,842,495,"1,284",639,788,"1,287"
2021년09월_여_10~19세,"12,580","1,027","1,280",572,434,690,"1,235","1,321",681,"1,817",854,"1,293","1,376"
2021년09월_여_20~29세,"20,233","1,574","1,876","1,325","1,193","1,592","1,790","1,957","1,357","2,442","1,428","2,297","1,402"
2021년09월_여_30~39세,"17,880","1,299","1,595","1,065",972,"1,380","1,237","1,699","1,281","2,267","1,240","2,021","1,824"
2021년09월_여_40~49세,"22,342","1,739","2,159","1,201",953,"1,349","1,950","2,217","1,281","3,006","1,548","2,458","2,481"
2021년09월_여_50~59세,"30,592","2,526","3,021","1,946","1,755","2,312","2,606","2,936","2,122","3,591","2,153","3,574","2,050"
2021년09월_여_60~69세,"20,946","2,013","2,220","1,590","1,433","1,494","1,163","2,018","1,732","1,824","1,530","2,348","1,581"
2021년09월_여_70~79세,"8,576",837,902,688,562,427,344,749,734,756,711,"1,219",647
2021년09월_여_80~89세,"5,223",508,468,404,297,324,350,473,386,517,409,775,312
2021년09월_여_90~99세,947,80,74,58,63,55,94,69,70,103,92,127,62
2021년09월_여_100세 이상,24,4,4,2,1,0,3,0,1,4,1,4,0
