카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년06월_계_총인구수,"49,404","18,117","3,726","4,360",787,"3,192","3,430","4,216","2,331","2,064",227,"2,479",993,"2,661",821
2021년06월_계_연령구간인구수,"49,404","18,117","3,726","4,360",787,"3,192","3,430","4,216","2,331","2,064",227,"2,479",993,"2,661",821
2021년06월_계_0~9세,"3,032","1,411",209,309,51,86,132,176,115,62,5,143,44,246,43
2021년06월_계_10~19세,"3,548","1,706",197,390,48,122,197,267,94,91,10,132,51,217,26
2021년06월_계_20~29세,"3,772","1,855",223,283,43,185,210,267,133,133,10,137,61,163,69
2021년06월_계_30~39세,"3,808","1,710",284,359,73,163,217,230,115,130,5,168,63,239,52
2021년06월_계_40~49세,"6,095","2,662",415,581,114,318,370,417,202,176,27,283,102,338,90
2021년06월_계_50~59세,"7,972","3,069",586,644,126,532,579,624,395,344,37,333,162,408,133
2021년06월_계_60~69세,"8,700","2,889",743,641,157,714,652,704,488,430,38,461,173,450,160
2021년06월_계_70~79세,"7,344","1,819",615,650,135,629,593,876,466,369,46,473,178,350,145
2021년06월_계_80~89세,"4,504",869,406,446,37,391,425,579,283,279,41,302,139,219,88
2021년06월_계_90~99세,613,122,48,56,2,52,54,74,39,49,7,46,19,31,14
2021년06월_계_100세 이상,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021년06월_남_총인구수,"24,895","9,143","1,896","2,176",434,"1,599","1,751","2,075","1,187","1,009",118,"1,220",497,"1,353",437
2021년06월_남_연령구간인구수,"24,895","9,143","1,896","2,176",434,"1,599","1,751","2,075","1,187","1,009",118,"1,220",497,"1,353",437
2021년06월_남_0~9세,"1,556",753,104,147,23,52,58,81,72,29,3,67,20,126,21
2021년06월_남_10~19세,"1,843",879,98,214,27,60,96,137,43,50,5,68,32,117,17
2021년06월_남_20~29세,"2,214","1,070",134,163,27,99,139,163,83,78,10,81,33,91,43
2021년06월_남_30~39세,"2,075",865,167,207,50,102,119,131,63,82,2,94,36,126,31
2021년06월_남_40~49세,"3,568","1,386",274,338,83,202,236,253,137,104,19,190,67,210,69
2021년06월_남_50~59세,"4,479","1,637",342,357,70,312,339,373,233,204,23,191,96,225,77
2021년06월_남_60~69세,"4,342","1,409",378,331,75,349,342,344,242,222,23,224,92,231,80
2021년06월_남_70~79세,"3,266",836,270,273,67,299,261,376,214,148,23,185,79,164,71
2021년06월_남_80~89세,"1,432",283,121,140,12,118,147,201,92,80,10,107,38,57,26
2021년06월_남_90~99세,118,25,8,6,0,6,14,16,8,11,0,12,4,6,2
2021년06월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년06월_여_총인구수,"24,509","8,974","1,830","2,184",353,"1,593","1,679","2,141","1,144","1,055",109,"1,259",496,"1,308",384
2021년06월_여_연령구간인구수,"24,509","8,974","1,830","2,184",353,"1,593","1,679","2,141","1,144","1,055",109,"1,259",496,"1,308",384
2021년06월_여_0~9세,"1,476",658,105,162,28,34,74,95,43,33,2,76,24,120,22
2021년06월_여_10~19세,"1,705",827,99,176,21,62,101,130,51,41,5,64,19,100,9
2021년06월_여_20~29세,"1,558",785,89,120,16,86,71,104,50,55,0,56,28,72,26
2021년06월_여_30~39세,"1,733",845,117,152,23,61,98,99,52,48,3,74,27,113,21
2021년06월_여_40~49세,"2,527","1,276",141,243,31,116,134,164,65,72,8,93,35,128,21
2021년06월_여_50~59세,"3,493","1,432",244,287,56,220,240,251,162,140,14,142,66,183,56
2021년06월_여_60~69세,"4,358","1,480",365,310,82,365,310,360,246,208,15,237,81,219,80
2021년06월_여_70~79세,"4,078",983,345,377,68,330,332,500,252,221,23,288,99,186,74
2021년06월_여_80~89세,"3,072",586,285,306,25,273,278,378,191,199,31,195,101,162,62
2021년06월_여_90~99세,495,97,40,50,2,46,40,58,31,38,7,34,15,25,12
2021년06월_여_100세 이상,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
