,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년09월_계_총인구수,"351,874","119,472","35,422","3,393","13,043","8,503","11,620","33,781","22,348","9,129","28,735","20,208","31,031","15,189"
2020년09월_계_연령구간인구수,"351,874","119,472","35,422","3,393","13,043","8,503","11,620","33,781","22,348","9,129","28,735","20,208","31,031","15,189"
2020년09월_계_0~9세,"35,212","16,307","4,968",85,552,197,472,"2,686","1,425",769,"2,474","1,468","2,576","1,233"
2020년09월_계_10~19세,"34,297","12,302","2,810",107,874,604,645,"4,308","1,824","1,027","3,328","1,813","3,302","1,353"
2020년09월_계_20~29세,"40,762","14,293","3,359",162,"1,368",903,"1,467","4,615","3,265","1,022","3,228","2,174","3,197","1,709"
2020년09월_계_30~39세,"50,129","21,533","6,685",211,"1,102",602,"1,273","3,492","3,090","1,136","3,465","2,370","3,267","1,903"
2020년09월_계_40~49세,"60,494","21,561","6,320",290,"1,703",956,"1,483","6,253","3,528","1,675","5,448","3,388","5,520","2,369"
2020년09월_계_50~59세,"58,586","16,730","4,822",626,"2,800","1,945","2,498","6,187","4,641","1,560","4,927","3,824","5,190","2,836"
2020년09월_계_60~69세,"41,829","10,459","3,928",926,"2,553","1,851","2,302","3,373","2,892","1,127","3,472","2,832","4,019","2,095"
2020년09월_계_70~79세,"20,822","4,379","1,824",632,"1,393",896,"1,008","1,984","1,146",555,"1,676","1,534","2,678","1,117"
2020년09월_계_80~89세,"8,635","1,679",618,304,607,465,409,802,467,232,629,733,"1,173",517
2020년09월_계_90~99세,"1,049",221,86,48,82,76,55,79,67,26,77,70,105,57
2020년09월_계_100세 이상,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2020년09월_남_총인구수,"176,549","59,086","17,961","1,755","6,641","4,475","6,166","16,392","11,693","4,591","14,970","10,075","15,141","7,603"
2020년09월_남_연령구간인구수,"176,549","59,086","17,961","1,755","6,641","4,475","6,166","16,392","11,693","4,591","14,970","10,075","15,141","7,603"
2020년09월_남_0~9세,"18,004","8,303","2,559",48,271,99,243,"1,381",730,383,"1,287",742,"1,311",647
2020년09월_남_10~19세,"17,645","6,335","1,408",51,440,335,369,"2,246",965,473,"1,708",928,"1,692",695
2020년09월_남_20~29세,"21,832","7,072","1,841",96,804,542,880,"2,442","1,886",547,"1,847","1,191","1,735",949
2020년09월_남_30~39세,"25,709","10,651","3,364",138,629,348,743,"1,709","1,769",626,"1,867","1,250","1,621",994
2020년09월_남_40~49세,"30,741","10,841","3,411",178,902,512,829,"2,849","1,858",848,"2,853","1,710","2,785","1,165"
2020년09월_남_50~59세,"29,547","8,182","2,390",334,"1,442","1,034","1,305","3,068","2,302",825,"2,676","1,962","2,610","1,417"
2020년09월_남_60~69세,"20,533","5,119","1,868",484,"1,321","1,004","1,173","1,536","1,529",563,"1,729","1,387","1,787","1,033"
2020년09월_남_70~79세,"9,334","2,016",893,314,607,430,471,827,504,252,764,643,"1,118",495
2020년09월_남_80~89세,"2,972",530,208,101,205,152,136,318,130,73,226,243,454,196
2020년09월_남_90~99세,221,36,19,11,17,19,16,15,18,1,12,19,26,12
2020년09월_남_100세 이상,11,1,0,0,3,0,1,1,2,0,1,0,2,0
2020년09월_여_총인구수,"175,325","60,386","17,461","1,638","6,402","4,028","5,454","17,389","10,655","4,538","13,765","10,133","15,890","7,586"
2020년09월_여_연령구간인구수,"175,325","60,386","17,461","1,638","6,402","4,028","5,454","17,389","10,655","4,538","13,765","10,133","15,890","7,586"
2020년09월_여_0~9세,"17,208","8,004","2,409",37,281,98,229,"1,305",695,386,"1,187",726,"1,265",586
2020년09월_여_10~19세,"16,652","5,967","1,402",56,434,269,276,"2,062",859,554,"1,620",885,"1,610",658
2020년09월_여_20~29세,"18,930","7,221","1,518",66,564,361,587,"2,173","1,379",475,"1,381",983,"1,462",760
2020년09월_여_30~39세,"24,420","10,882","3,321",73,473,254,530,"1,783","1,321",510,"1,598","1,120","1,646",909
2020년09월_여_40~49세,"29,753","10,720","2,909",112,801,444,654,"3,404","1,670",827,"2,595","1,678","2,735","1,204"
2020년09월_여_50~59세,"29,039","8,548","2,432",292,"1,358",911,"1,193","3,119","2,339",735,"2,251","1,862","2,580","1,419"
2020년09월_여_60~69세,"21,296","5,340","2,060",442,"1,232",847,"1,129","1,837","1,363",564,"1,743","1,445","2,232","1,062"
2020년09월_여_70~79세,"11,488","2,363",931,318,786,466,537,"1,157",642,303,912,891,"1,560",622
2020년09월_여_80~89세,"5,663","1,149",410,203,402,313,273,484,337,159,403,490,719,321
2020년09월_여_90~99세,828,185,67,37,65,57,39,64,49,25,65,51,79,45
2020년09월_여_100세 이상,48,7,2,2,6,8,7,1,1,0,10,2,2,0
