카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년06월_계_총인구수,"322,883","19,205","25,109","16,304","22,336","8,852","27,528","48,944","21,532","32,585","26,832","30,806","17,029","14,847","10,974"
2020년06월_계_연령구간인구수,"322,883","19,205","25,109","16,304","22,336","8,852","27,528","48,944","21,532","32,585","26,832","30,806","17,029","14,847","10,974"
2020년06월_계_0~9세,"24,576",869,"2,060","1,310","1,889",482,"1,689","3,676","1,271","2,284","2,081","3,587","1,593","1,261",524
2020년06월_계_10~19세,"31,309","1,142","3,174","1,225","2,415",596,"2,199","4,526","1,845","3,677","3,370","3,301","1,880","1,350",609
2020년06월_계_20~29세,"46,444","2,696","3,386","2,142","3,070","1,404","4,149","7,830","3,365","5,819","3,784","3,492","2,330","1,866","1,111"
2020년06월_계_30~39세,"43,135","2,310","2,955","2,059","2,912","1,258","3,984","7,833","2,350","3,667","3,152","4,853","2,390","2,087","1,325"
2020년06월_계_40~49세,"52,518","2,532","4,442","2,504","3,795","1,366","4,228","8,539","3,225","5,440","4,368","5,486","2,692","2,432","1,469"
2020년06월_계_50~59세,"62,377","3,886","4,802","3,286","3,951","1,772","5,423","9,289","4,795","6,670","5,489","4,929","3,272","2,732","2,081"
2020년06월_계_60~69세,"40,221","3,524","2,687","2,365","2,711","1,219","3,776","5,134","2,931","3,211","3,138","3,305","1,997","2,033","2,190"
2020년06월_계_70~79세,"16,115","1,662","1,186","1,012","1,154",568,"1,425","1,555","1,222","1,276","1,056","1,377",627,772,"1,223"
2020년06월_계_80~89세,"5,489",524,354,344,383,165,585,492,475,476,353,434,222,284,398
2020년06월_계_90~99세,666,54,61,54,53,22,66,66,53,64,41,39,26,27,40
2020년06월_계_100세 이상,33,6,2,3,3,0,4,4,0,1,0,3,0,3,4
2020년06월_남_총인구수,"164,689","9,784","12,888","8,299","11,271","4,697","13,905","25,257","11,000","16,689","13,454","15,412","8,557","7,630","5,846"
2020년06월_남_연령구간인구수,"164,689","9,784","12,888","8,299","11,271","4,697","13,905","25,257","11,000","16,689","13,454","15,412","8,557","7,630","5,846"
2020년06월_남_0~9세,"12,664",444,"1,093",691,972,255,879,"1,860",719,"1,176","1,059","1,792",806,648,270
2020년06월_남_10~19세,"16,513",580,"1,725",664,"1,250",307,"1,170","2,346",971,"1,906","1,842","1,709","1,004",707,332
2020년06월_남_20~29세,"25,931","1,547","1,919","1,162","1,697",820,"2,311","4,295","1,896","3,336","2,167","1,863","1,261","1,013",644
2020년06월_남_30~39세,"22,860","1,322","1,521","1,064","1,511",715,"2,161","4,241","1,296","1,969","1,574","2,378","1,202","1,119",787
2020년06월_남_40~49세,"25,622","1,349","2,063","1,273","1,838",732,"2,107","4,149","1,558","2,508","1,902","2,756","1,249","1,255",883
2020년06월_남_50~59세,"31,440","1,929","2,496","1,675","2,002",912,"2,596","4,724","2,412","3,368","2,677","2,483","1,636","1,370","1,160"
2020년06월_남_60~69세,"20,004","1,667","1,343","1,141","1,319",614,"1,832","2,652","1,449","1,653","1,604","1,611","1,022","1,036","1,061"
2020년06월_남_70~79세,"7,682",758,593,484,530,279,652,814,542,603,514,659,305,381,568
2020년06월_남_80~89세,"1,849",181,125,133,138,60,183,163,147,160,108,153,69,95,134
2020년06월_남_90~99세,114,6,9,10,13,3,13,12,10,10,7,8,3,3,7
2020년06월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년06월_여_총인구수,"158,194","9,421","12,221","8,005","11,065","4,155","13,623","23,687","10,532","15,896","13,378","15,394","8,472","7,217","5,128"
2020년06월_여_연령구간인구수,"158,194","9,421","12,221","8,005","11,065","4,155","13,623","23,687","10,532","15,896","13,378","15,394","8,472","7,217","5,128"
2020년06월_여_0~9세,"11,912",425,967,619,917,227,810,"1,816",552,"1,108","1,022","1,795",787,613,254
2020년06월_여_10~19세,"14,796",562,"1,449",561,"1,165",289,"1,029","2,180",874,"1,771","1,528","1,592",876,643,277
2020년06월_여_20~29세,"20,513","1,149","1,467",980,"1,373",584,"1,838","3,535","1,469","2,483","1,617","1,629","1,069",853,467
2020년06월_여_30~39세,"20,275",988,"1,434",995,"1,401",543,"1,823","3,592","1,054","1,698","1,578","2,475","1,188",968,538
2020년06월_여_40~49세,"26,896","1,183","2,379","1,231","1,957",634,"2,121","4,390","1,667","2,932","2,466","2,730","1,443","1,177",586
2020년06월_여_50~59세,"30,937","1,957","2,306","1,611","1,949",860,"2,827","4,565","2,383","3,302","2,812","2,446","1,636","1,362",921
2020년06월_여_60~69세,"20,217","1,857","1,344","1,224","1,392",605,"1,944","2,482","1,482","1,558","1,534","1,694",975,997,"1,129"
2020년06월_여_70~79세,"8,433",904,593,528,624,289,773,741,680,673,542,718,322,391,655
2020년06월_여_80~89세,"3,640",343,229,211,245,105,402,329,328,316,245,281,153,189,264
2020년06월_여_90~99세,552,48,52,44,40,19,53,54,43,54,34,31,23,24,33
2020년06월_여_100세 이상,23,5,1,1,2,0,3,3,0,1,0,3,0,0,4
