카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년02월_계_총인구수,"111,666","18,856","10,762","16,002","7,883","1,688","3,558","2,940","3,575","6,452","5,320","6,154","15,715","6,971","5,510",280
2020년02월_계_연령구간인구수,"111,666","18,856","10,762","16,002","7,883","1,688","3,558","2,940","3,575","6,452","5,320","6,154","15,715","6,971","5,510",280
2020년02월_계_0~9세,"8,616","1,603","1,101","2,162",729,49,115,78,70,201,240,408,"1,154",368,331,7
2020년02월_계_10~19세,"10,467","1,987","1,317","2,009",641,60,175,102,159,340,337,469,"1,744",682,436,9
2020년02월_계_20~29세,"10,991","2,449","1,137","1,626",555,134,297,184,268,440,513,540,"1,655",689,495,9
2020년02월_계_30~39세,"12,525","2,610","1,360","2,655",991,104,206,163,164,495,499,651,"1,488",625,494,20
2020년02월_계_40~49세,"17,965","3,408","1,969","3,058","1,258",188,377,295,358,779,740,961,"2,604","1,172",763,35
2020년02월_계_50~59세,"18,585","3,082","1,656","1,870","1,282",318,640,561,707,"1,179","1,011","1,080","2,916","1,310",926,47
2020년02월_계_60~69세,"15,662","1,879","1,065","1,265","1,180",381,711,652,754,"1,430",993,"1,043","2,186","1,072",986,65
2020년02월_계_70~79세,"10,541","1,114",692,832,764,245,611,521,651,"1,057",648,691,"1,314",669,669,63
2020년02월_계_80~89세,"5,520",627,403,460,420,187,377,345,376,463,300,272,590,332,344,24
2020년02월_계_90~99세,770,91,62,64,62,22,47,37,67,66,39,34,63,51,64,1
2020년02월_계_100세 이상,24,6,0,1,1,0,2,2,1,2,0,5,1,1,2,0
2020년02월_남_총인구수,"56,318","9,812","5,360","8,369","3,927",886,"1,813","1,448","1,778","3,142","2,641","3,026","7,674","3,584","2,715",143
2020년02월_남_연령구간인구수,"56,318","9,812","5,360","8,369","3,927",886,"1,813","1,448","1,778","3,142","2,641","3,026","7,674","3,584","2,715",143
2020년02월_남_0~9세,"4,465",824,565,"1,164",352,28,70,44,38,106,122,207,602,174,165,4
2020년02월_남_10~19세,"5,409",982,679,"1,035",341,34,95,54,83,178,184,243,906,361,230,4
2020년02월_남_20~29세,"6,578","1,448",640,"1,029",322,84,185,110,167,260,324,333,956,424,288,8
2020년02월_남_30~39세,"6,678","1,459",676,"1,398",503,60,120,93,98,297,276,340,744,336,267,11
2020년02월_남_40~49세,"9,613","1,829",995,"1,637",710,117,220,190,236,454,410,521,"1,238",616,413,27
2020년02월_남_50~59세,"9,715","1,636",874,"1,030",639,195,363,312,395,601,498,520,"1,451",709,464,28
2020년02월_남_60~69세,"7,582",952,523,591,585,194,357,320,365,650,470,462,"1,043",554,486,30
2020년02월_남_70~79세,"4,445",469,272,352,329,109,268,218,290,438,258,298,536,293,289,26
2020년02월_남_80~89세,"1,705",197,125,123,134,60,123,99,100,149,93,95,189,108,105,5
2020년02월_남_90~99세,122,16,11,10,12,5,11,7,5,9,6,5,9,8,8,0
2020년02월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년02월_여_총인구수,"55,348","9,044","5,402","7,633","3,956",802,"1,745","1,492","1,797","3,310","2,679","3,128","8,041","3,387","2,795",137
2020년02월_여_연령구간인구수,"55,348","9,044","5,402","7,633","3,956",802,"1,745","1,492","1,797","3,310","2,679","3,128","8,041","3,387","2,795",137
2020년02월_여_0~9세,"4,151",779,536,998,377,21,45,34,32,95,118,201,552,194,166,3
2020년02월_여_10~19세,"5,058","1,005",638,974,300,26,80,48,76,162,153,226,838,321,206,5
2020년02월_여_20~29세,"4,413","1,001",497,597,233,50,112,74,101,180,189,207,699,265,207,1
2020년02월_여_30~39세,"5,847","1,151",684,"1,257",488,44,86,70,66,198,223,311,744,289,227,9
2020년02월_여_40~49세,"8,352","1,579",974,"1,421",548,71,157,105,122,325,330,440,"1,366",556,350,8
2020년02월_여_50~59세,"8,870","1,446",782,840,643,123,277,249,312,578,513,560,"1,465",601,462,19
2020년02월_여_60~69세,"8,080",927,542,674,595,187,354,332,389,780,523,581,"1,143",518,500,35
2020년02월_여_70~79세,"6,096",645,420,480,435,136,343,303,361,619,390,393,778,376,380,37
2020년02월_여_80~89세,"3,815",430,278,337,286,127,254,246,276,314,207,177,401,224,239,19
2020년02월_여_90~99세,648,75,51,54,50,17,36,30,62,57,33,29,54,43,56,1
2020년02월_여_100세 이상,18,6,0,1,1,0,1,1,0,2,0,3,1,0,2,0
