카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년09월_계_총인구수,"16,669","7,289","2,141","1,729","1,777","1,681","2,052"
2020년09월_계_연령구간인구수,"16,669","7,289","2,141","1,729","1,777","1,681","2,052"
2020년09월_계_0~9세,743,450,78,57,44,50,64
2020년09월_계_10~19세,945,556,82,56,83,92,76
2020년09월_계_20~29세,"1,136",653,101,72,109,90,111
2020년09월_계_30~39세,"1,045",637,108,66,73,66,95
2020년09월_계_40~49세,"1,746",967,180,130,137,164,168
2020년09월_계_50~59세,"2,986","1,237",383,291,352,322,401
2020년09월_계_60~69세,"3,392","1,264",504,412,375,372,465
2020년09월_계_70~79세,"2,698",902,411,377,313,291,404
2020년09월_계_80~89세,"1,706",523,257,234,262,193,237
2020년09월_계_90~99세,246,92,35,30,27,36,26
2020년09월_계_100세 이상,26,8,2,4,2,5,5
2020년09월_남_총인구수,"8,239","3,580","1,030",879,878,843,"1,029"
2020년09월_남_연령구간인구수,"8,239","3,580","1,030",879,878,843,"1,029"
2020년09월_남_0~9세,392,246,37,31,22,29,27
2020년09월_남_10~19세,487,278,48,29,42,47,43
2020년09월_남_20~29세,658,368,59,42,64,56,69
2020년09월_남_30~39세,560,327,57,43,45,38,50
2020년09월_남_40~49세,"1,031",543,118,85,78,104,103
2020년09월_남_50~59세,"1,625",637,205,182,196,177,228
2020년09월_남_60~69세,"1,690",617,244,196,193,189,251
2020년09월_남_70~79세,"1,168",377,173,192,137,119,170
2020년09월_남_80~89세,562,169,79,70,92,70,82
2020년09월_남_90~99세,60,16,8,8,9,13,6
2020년09월_남_100세 이상,6,2,2,1,0,1,0
2020년09월_여_총인구수,"8,430","3,709","1,111",850,899,838,"1,023"
2020년09월_여_연령구간인구수,"8,430","3,709","1,111",850,899,838,"1,023"
2020년09월_여_0~9세,351,204,41,26,22,21,37
2020년09월_여_10~19세,458,278,34,27,41,45,33
2020년09월_여_20~29세,478,285,42,30,45,34,42
2020년09월_여_30~39세,485,310,51,23,28,28,45
2020년09월_여_40~49세,715,424,62,45,59,60,65
2020년09월_여_50~59세,"1,361",600,178,109,156,145,173
2020년09월_여_60~69세,"1,702",647,260,216,182,183,214
2020년09월_여_70~79세,"1,530",525,238,185,176,172,234
2020년09월_여_80~89세,"1,144",354,178,164,170,123,155
2020년09월_여_90~99세,186,76,27,22,18,23,20
2020년09월_여_100세 이상,20,6,0,3,2,4,5
