카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년09월_계_총인구수,"36,880","9,599","2,080","1,895","2,257","3,086","2,142","5,073","3,316","2,709","2,044","2,679"
2021년09월_계_연령구간인구수,"36,880","9,599","2,080","1,895","2,257","3,086","2,142","5,073","3,316","2,709","2,044","2,679"
2021년09월_계_0~9세,"1,225",581,58,49,38,77,51,110,79,69,50,63
2021년09월_계_10~19세,"1,871",847,117,57,74,127,91,190,114,102,56,96
2021년09월_계_20~29세,"2,538","1,083",107,96,112,201,118,233,170,194,101,123
2021년09월_계_30~39세,"2,232",930,106,69,98,180,118,217,153,136,113,112
2021년09월_계_40~49세,"3,610","1,393",168,151,180,280,184,371,261,254,162,206
2021년09월_계_50~59세,"6,996","1,652",406,404,405,653,409,"1,036",659,506,361,505
2021년09월_계_60~69세,"9,149","1,591",557,546,672,767,552,"1,473",939,663,617,772
2021년09월_계_70~79세,"5,306",937,295,281,372,467,359,842,517,456,342,438
2021년09월_계_80~89세,"3,470",531,230,216,271,293,224,515,364,295,202,329
2021년09월_계_90~99세,466,52,36,26,33,41,34,80,59,33,37,35
2021년09월_계_100세 이상,17,2,0,0,2,0,2,6,1,1,3,0
2021년09월_남_총인구수,"18,963","4,906","1,093",964,"1,165","1,561","1,090","2,641","1,696","1,396","1,052","1,399"
2021년09월_남_연령구간인구수,"18,963","4,906","1,093",964,"1,165","1,561","1,090","2,641","1,696","1,396","1,052","1,399"
2021년09월_남_0~9세,624,300,29,28,16,31,28,57,37,38,24,36
2021년09월_남_10~19세,952,425,57,29,42,61,40,108,57,48,28,57
2021년09월_남_20~29세,"1,509",624,61,60,68,107,77,158,100,115,56,83
2021년09월_남_30~39세,"1,281",496,66,38,61,107,69,125,94,80,74,71
2021년09월_남_40~49세,"2,083",745,108,80,112,164,108,216,160,153,103,134
2021년09월_남_50~59세,"3,807",910,229,226,207,364,222,557,364,287,180,261
2021년09월_남_60~69세,"4,876",792,306,302,371,419,279,802,508,353,337,407
2021년09월_남_70~79세,"2,491",406,137,117,177,212,193,412,240,210,173,214
2021년09월_남_80~89세,"1,234",196,92,80,104,85,68,187,122,104,67,129
2021년09월_남_90~99세,102,11,8,4,6,11,6,18,14,7,10,7
2021년09월_남_100세 이상,4,1,0,0,1,0,0,1,0,1,0,0
2021년09월_여_총인구수,"17,917","4,693",987,931,"1,092","1,525","1,052","2,432","1,620","1,313",992,"1,280"
2021년09월_여_연령구간인구수,"17,917","4,693",987,931,"1,092","1,525","1,052","2,432","1,620","1,313",992,"1,280"
2021년09월_여_0~9세,601,281,29,21,22,46,23,53,42,31,26,27
2021년09월_여_10~19세,919,422,60,28,32,66,51,82,57,54,28,39
2021년09월_여_20~29세,"1,029",459,46,36,44,94,41,75,70,79,45,40
2021년09월_여_30~39세,951,434,40,31,37,73,49,92,59,56,39,41
2021년09월_여_40~49세,"1,527",648,60,71,68,116,76,155,101,101,59,72
2021년09월_여_50~59세,"3,189",742,177,178,198,289,187,479,295,219,181,244
2021년09월_여_60~69세,"4,273",799,251,244,301,348,273,671,431,310,280,365
2021년09월_여_70~79세,"2,815",531,158,164,195,255,166,430,277,246,169,224
2021년09월_여_80~89세,"2,236",335,138,136,167,208,156,328,242,191,135,200
2021년09월_여_90~99세,364,41,28,22,27,30,28,62,45,26,27,28
2021년09월_여_100세 이상,13,1,0,0,1,0,2,5,1,0,3,0
