,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년02월_계_총인구수,"352,682","121,010","35,216","3,378","12,897","8,300","11,521","33,465","22,287","9,107","28,705","20,348","31,058","15,390"
2021년02월_계_연령구간인구수,"352,682","121,010","35,216","3,378","12,897","8,300","11,521","33,465","22,287","9,107","28,705","20,348","31,058","15,390"
2021년02월_계_0~9세,"34,275","16,037","4,807",80,541,191,451,"2,520","1,373",752,"2,368","1,382","2,511","1,262"
2021년02월_계_10~19세,"34,402","12,690","2,828",112,832,485,642,"4,249","1,808",995,"3,302","1,813","3,266","1,380"
2021년02월_계_20~29세,"40,561","14,326","3,247",164,"1,315",815,"1,435","4,563","3,202","1,046","3,261","2,221","3,226","1,740"
2021년02월_계_30~39세,"48,575","21,122","6,410",202,"1,077",581,"1,249","3,343","3,018","1,090","3,265","2,254","3,103","1,861"
2021년02월_계_40~49세,"61,106","22,324","6,454",279,"1,643",938,"1,470","6,101","3,472","1,650","5,425","3,425","5,516","2,409"
2021년02월_계_50~59세,"58,826","17,051","4,747",601,"2,738","1,897","2,437","6,229","4,618","1,546","4,986","3,910","5,243","2,823"
2021년02월_계_60~69세,"43,552","10,984","4,131",952,"2,629","1,918","2,336","3,498","3,038","1,202","3,623","2,932","4,144","2,165"
2021년02월_계_70~79세,"21,235","4,485","1,854",623,"1,404",910,"1,018","2,030","1,182",557,"1,730","1,569","2,725","1,148"
2021년02월_계_80~89세,"8,963","1,745",645,314,619,474,413,842,501,238,652,764,"1,216",540
2021년02월_계_90~99세,"1,126",238,91,49,90,83,62,88,71,31,82,76,104,61
2021년02월_계_100세 이상,61,8,2,2,9,8,8,2,4,0,11,2,4,1
2021년02월_남_총인구수,"176,863","59,797","17,876","1,742","6,543","4,344","6,118","16,226","11,704","4,585","14,957","10,183","15,137","7,651"
2021년02월_남_연령구간인구수,"176,863","59,797","17,876","1,742","6,543","4,344","6,118","16,226","11,704","4,585","14,957","10,183","15,137","7,651"
2021년02월_남_0~9세,"17,498","8,136","2,489",45,270,100,227,"1,287",710,365,"1,220",707,"1,273",669
2021년02월_남_10~19세,"17,689","6,501","1,431",59,412,256,373,"2,224",955,471,"1,698",921,"1,683",705
2021년02월_남_20~29세,"21,683","7,069","1,759",97,770,495,849,"2,413","1,874",559,"1,874","1,232","1,749",943
2021년02월_남_30~39세,"24,990","10,460","3,239",127,616,337,749,"1,648","1,747",598,"1,765","1,188","1,540",976
2021년02월_남_40~49세,"31,009","11,205","3,480",167,869,497,818,"2,762","1,840",837,"2,842","1,738","2,788","1,166"
2021년02월_남_50~59세,"29,698","8,358","2,355",322,"1,416","1,000","1,282","3,073","2,275",818,"2,718","2,020","2,643","1,418"
2021년02월_남_60~69세,"21,360","5,373","1,967",496,"1,351","1,044","1,175","1,614","1,611",603,"1,805","1,440","1,830","1,051"
2021년02월_남_70~79세,"9,569","2,089",920,312,605,444,477,848,526,254,789,657,"1,137",511
2021년02월_남_80~89세,"3,112",562,219,106,208,151,147,340,148,77,232,260,464,198
2021년02월_남_90~99세,244,43,17,11,23,20,20,16,16,3,13,20,28,14
2021년02월_남_100세 이상,11,1,0,0,3,0,1,1,2,0,1,0,2,0
2021년02월_여_총인구수,"175,819","61,213","17,340","1,636","6,354","3,956","5,403","17,239","10,583","4,522","13,748","10,165","15,921","7,739"
2021년02월_여_연령구간인구수,"175,819","61,213","17,340","1,636","6,354","3,956","5,403","17,239","10,583","4,522","13,748","10,165","15,921","7,739"
2021년02월_여_0~9세,"16,777","7,901","2,318",35,271,91,224,"1,233",663,387,"1,148",675,"1,238",593
2021년02월_여_10~19세,"16,713","6,189","1,397",53,420,229,269,"2,025",853,524,"1,604",892,"1,583",675
2021년02월_여_20~29세,"18,878","7,257","1,488",67,545,320,586,"2,150","1,328",487,"1,387",989,"1,477",797
2021년02월_여_30~39세,"23,585","10,662","3,171",75,461,244,500,"1,695","1,271",492,"1,500","1,066","1,563",885
2021년02월_여_40~49세,"30,097","11,119","2,974",112,774,441,652,"3,339","1,632",813,"2,583","1,687","2,728","1,243"
2021년02월_여_50~59세,"29,128","8,693","2,392",279,"1,322",897,"1,155","3,156","2,343",728,"2,268","1,890","2,600","1,405"
2021년02월_여_60~69세,"22,192","5,611","2,164",456,"1,278",874,"1,161","1,884","1,427",599,"1,818","1,492","2,314","1,114"
2021년02월_여_70~79세,"11,666","2,396",934,311,799,466,541,"1,182",656,303,941,912,"1,588",637
2021년02월_여_80~89세,"5,851","1,183",426,208,411,323,266,502,353,161,420,504,752,342
2021년02월_여_90~99세,882,195,74,38,67,63,42,72,55,28,69,56,76,47
2021년02월_여_100세 이상,50,7,2,2,6,8,7,1,2,0,10,2,2,1
