카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년05월_계_총인구수,"2,118,510","655,192","258,857","396,335","105,611","100,602","313,761","174,801","117,812","42,696","166,098","51,746","66,086","52,247","31,034","100,013","78,618","62,193"
2020년05월_계_연령구간인구수,"2,118,510","655,192","258,857","396,335","105,611","100,602","313,761","174,801","117,812","42,696","166,098","51,746","66,086","52,247","31,034","100,013","78,618","62,193"
2020년05월_계_0~9세,"178,041","63,588","21,265","42,323","6,095","6,378","34,131","15,728","7,510","4,037","16,113","2,711","3,075","2,414","1,332","7,959","3,787","3,183"
2020년05월_계_10~19세,"204,790","69,274","26,774","42,500","8,489","8,486","34,192","17,419","10,030","6,456","15,667","4,400","4,845","3,548","2,043","9,644","5,806","4,491"
2020년05월_계_20~29세,"242,676","95,552","35,457","60,095","11,508","9,618","35,915","19,181","11,666","4,846","16,266","4,040","5,549","4,007","2,697","9,722","6,975","5,134"
2020년05월_계_30~39세,"273,689","106,271","34,034","72,237","9,884","9,719","49,427","22,434","11,099","4,701","23,443","3,984","4,584","3,599","2,145","10,760","6,328","5,311"
2020년05월_계_40~49세,"328,422","111,527","43,292","68,235","13,613","14,166","55,450","27,795","15,792","8,436","26,491","6,359","7,438","6,009","3,215","14,607","9,743","7,781"
2020년05월_계_50~59세,"340,033","102,401","44,099","58,302","18,775","17,338","45,546","28,158","20,093","6,850","25,754","9,241","11,160","8,624","5,358","15,930","13,936","10,869"
2020년05월_계_60~69세,"268,081","60,133","29,672","30,461","17,719","16,565","30,406","21,073","19,434","4,166","20,260","9,435","12,681","9,985","5,973","14,256","14,298","11,697"
2020년05월_계_70~79세,"169,133","29,487","15,244","14,243","11,416","11,138","17,782","13,686","12,885","1,957","13,038","6,804","9,439","7,983","4,532","9,941","10,383","8,662"
2020년05월_계_80~89세,"98,993","14,674","7,800","6,874","7,076","6,249","9,537","8,097","8,057","1,068","7,902","4,214","6,296","5,250","3,294","6,311","6,516","4,452"
2020년05월_계_90~99세,"13,753","2,119","1,137",982,976,886,"1,260","1,167","1,158",169,"1,096",527,962,785,426,824,809,589
2020년05월_계_100세 이상,899,166,83,83,60,59,115,63,88,10,68,31,57,43,19,59,37,24
2020년05월_남_총인구수,"1,080,425","333,991","131,186","202,805","52,952","50,917","162,712","90,756","58,911","21,272","87,974","26,057","32,746","25,843","15,712","49,731","39,497","31,354"
2020년05월_남_연령구간인구수,"1,080,425","333,991","131,186","202,805","52,952","50,917","162,712","90,756","58,911","21,272","87,974","26,057","32,746","25,843","15,712","49,731","39,497","31,354"
2020년05월_남_0~9세,"91,181","32,412","10,914","21,498","3,174","3,215","17,551","8,096","3,860","2,053","8,238","1,380","1,646","1,210",678,"4,142","1,955","1,571"
