,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년09월_계_총인구수,"53,606","21,163","2,238","2,609","2,745","2,490","2,389","2,712","1,776","3,218","2,461","3,122","1,911","2,205","2,567"
2021년09월_계_연령구간인구수,"53,606","21,163","2,238","2,609","2,745","2,490","2,389","2,712","1,776","3,218","2,461","3,122","1,911","2,205","2,567"
2021년09월_계_0~9세,"2,508","1,734",41,78,82,53,59,73,35,68,60,78,39,46,62
2021년09월_계_10~19세,"4,134","2,648",95,97,211,116,147,103,49,143,102,151,60,104,108
2021년09월_계_20~29세,"4,065","2,258",141,145,154,123,150,133,68,171,142,208,111,139,122
2021년09월_계_30~39세,"3,637","2,034",113,140,122,130,106,126,84,141,147,161,95,107,131
2021년09월_계_40~49세,"5,883","3,066",194,223,235,210,221,217,131,259,234,309,174,194,216
2021년09월_계_50~59세,"8,782","3,421",400,465,441,394,414,386,290,544,476,527,280,350,394
2021년09월_계_60~69세,"10,064","2,954",496,587,546,564,483,640,412,719,541,688,436,460,538
2021년09월_계_70~79세,"8,173","1,823",416,491,549,483,468,599,344,650,426,531,392,427,574
2021년09월_계_80~89세,"5,462","1,039",291,332,363,360,300,378,310,462,287,403,276,314,347
2021년09월_계_90~99세,866,177,49,49,40,54,41,56,52,59,45,63,48,62,71
2021년09월_계_100세 이상,32,9,2,2,2,3,0,1,1,2,1,3,0,2,4
2021년09월_남_총인구수,"26,602","10,529","1,150","1,323","1,356","1,216","1,171","1,334",868,"1,600","1,232","1,535",981,"1,058","1,249"
2021년09월_남_연령구간인구수,"26,602","10,529","1,150","1,323","1,356","1,216","1,171","1,334",868,"1,600","1,232","1,535",981,"1,058","1,249"
2021년09월_남_0~9세,"1,333",908,21,38,46,31,34,44,17,43,37,42,17,24,31
2021년09월_남_10~19세,"2,281","1,472",58,57,124,51,91,48,30,78,48,71,43,49,61
2021년09월_남_20~29세,"2,334","1,255",84,82,94,79,86,73,48,107,74,129,73,76,74
2021년09월_남_30~39세,"1,960","1,018",70,83,61,78,57,76,52,87,86,94,55,56,87
2021년09월_남_40~49세,"3,329","1,529",123,142,152,126,138,151,76,172,164,177,120,120,139
2021년09월_남_50~59세,"4,850","1,708",243,290,265,230,231,236,187,296,264,292,164,202,242
2021년09월_남_60~69세,"5,041","1,432",280,291,257,281,238,298,200,388,271,364,234,241,266
2021년09월_남_70~79세,"3,581",791,181,218,232,220,207,290,155,273,186,229,177,183,239
2021년09월_남_80~89세,"1,742",383,87,114,118,110,79,109,91,142,94,127,90,100,98
2021년09월_남_90~99세,149,32,3,7,7,10,10,9,12,14,8,10,8,7,12
2021년09월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"27,004","10,634","1,088","1,286","1,389","1,274","1,218","1,378",908,"1,618","1,229","1,587",930,"1,147","1,318"
2021년09월_여_연령구간인구수,"27,004","10,634","1,088","1,286","1,389","1,274","1,218","1,378",908,"1,618","1,229","1,587",930,"1,147","1,318"
2021년09월_여_0~9세,"1,175",826,20,40,36,22,25,29,18,25,23,36,22,22,31
2021년09월_여_10~19세,"1,853","1,176",37,40,87,65,56,55,19,65,54,80,17,55,47
2021년09월_여_20~29세,"1,731","1,003",57,63,60,44,64,60,20,64,68,79,38,63,48
2021년09월_여_30~39세,"1,677","1,016",43,57,61,52,49,50,32,54,61,67,40,51,44
2021년09월_여_40~49세,"2,554","1,537",71,81,83,84,83,66,55,87,70,132,54,74,77
2021년09월_여_50~59세,"3,932","1,713",157,175,176,164,183,150,103,248,212,235,116,148,152
2021년09월_여_60~69세,"5,023","1,522",216,296,289,283,245,342,212,331,270,324,202,219,272
2021년09월_여_70~79세,"4,592","1,032",235,273,317,263,261,309,189,377,240,302,215,244,335
2021년09월_여_80~89세,"3,720",656,204,218,245,250,221,269,219,320,193,276,186,214,249
2021년09월_여_90~99세,717,145,46,42,33,44,31,47,40,45,37,53,40,55,59
2021년09월_여_100세 이상,30,8,2,1,2,3,0,1,1,2,1,3,0,2,4
