,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년09월_계_총인구수,"542,435","55,816","18,164","6,638","7,749","3,826","3,252","6,221","9,984","9,493","10,115","74,074","80,450","9,593","40,966","33,937","7,830","56,462","36,557","71,308"
2020년09월_계_연령구간인구수,"542,435","55,816","18,164","6,638","7,749","3,826","3,252","6,221","9,984","9,493","10,115","74,074","80,450","9,593","40,966","33,937","7,830","56,462","36,557","71,308"
2020년09월_계_0~9세,"50,136","6,586","2,793",227,210,78,89,181,585,645,615,"4,896","7,441",553,"2,673","1,660",560,"5,542","3,751","11,051"
2020년09월_계_10~19세,"61,675","6,003","1,261",340,361,125,161,219,710,586,679,"7,925","10,666",718,"3,922","3,221",786,"8,111","5,210","10,671"
2020년09월_계_20~29세,"68,980","5,414","2,234",621,660,320,283,466,"1,318","1,137","1,450","12,398","10,856","1,269","6,224","5,798","1,019","6,844","4,336","6,333"
2020년09월_계_30~39세,"70,518","9,027","4,110",556,603,252,243,441,"1,286","1,245","1,237","8,333","9,621",998,"4,498","3,080",809,"7,033","4,748","12,398"
2020년09월_계_40~49세,"98,936","10,744","2,848",830,743,351,356,601,"1,407","1,278","1,458","12,126","15,555","1,348","6,590","5,157","1,279","12,057","7,833","16,375"
2020년09월_계_50~59세,"96,275","8,279","2,705","1,513","1,647",854,741,"1,155","2,026","1,778","2,116","16,166","14,567","2,029","8,739","7,659","1,549","9,021","5,907","7,824"
2020년09월_계_60~69세,"57,028","5,811","1,441","1,347","1,820",929,800,"1,689","1,578","1,565","1,555","7,443","7,250","1,577","5,123","4,494","1,114","4,501","2,836","4,155"
2020년09월_계_70~79세,"26,146","2,620",464,753,"1,029",592,391,957,727,873,703,"3,149","3,053",745,"2,235","1,913",496,"2,282","1,356","1,808"
