카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년04월_계_총인구수,"13,311,254","1,192,622","276,611","370,955","175,446","369,610","941,527","234,653","219,155","487,719","454,222","561,069","241,999","319,070","826,845","315,745","520,649","94,191","653,575","348,512","305,063","1,074,853","472,467","299,276","303,110","59,687","199,018","706,069","227,550","478,464","275,954","164,701","279,621","1,068,519","254,483","439,725","374,311","455,262","216,844","184,211","445,425","831,888","375,561","224,524","148,144","111,198","43,618","62,397","117,301"
2020년04월_계_연령구간인구수,"13,311,254","1,192,622","276,611","370,955","175,446","369,610","941,527","234,653","219,155","487,719","454,222","561,069","241,999","319,070","826,845","315,745","520,649","94,191","653,575","348,512","305,063","1,074,853","472,467","299,276","303,110","59,687","199,018","706,069","227,550","478,464","275,954","164,701","279,621","1,068,519","254,483","439,725","374,311","455,262","216,844","184,211","445,425","831,888","375,561","224,524","148,144","111,198","43,618","62,397","117,301"
2020년04월_계_0~9세,"1,172,865","101,861","19,420","33,924","10,039","38,478","71,055","15,666","13,935","41,454","34,872","41,516","16,305","25,211","60,305","25,226","48,432","6,663","46,083","24,223","21,860","84,519","39,203","21,622","23,694","4,760","15,900","66,785","24,690","46,774","21,951","13,545","30,049","104,429","21,861","44,819","37,749","44,712","19,602","14,584","52,281","105,995","35,890","19,771","9,062","7,636","2,877","3,531","7,509"
2020년04월_계_10~19세,"1,342,695","121,597","29,702","34,225","14,487","43,183","89,813","17,625","17,316","54,872","43,152","54,416","19,563","34,853","73,010","32,333","52,932","8,841","66,514","35,299","31,215","107,691","42,319","30,504","34,868","6,349","18,780","77,566","24,903","49,540","27,547","15,092","24,179","122,169","25,019","51,347","45,803","48,379","22,247","18,141","45,555","94,360","33,422","23,875","12,789","9,801","3,251","4,798","9,653"
2020년04월_계_20~29세,"1,786,677","186,996","44,253","55,079","28,501","59,163","132,418","34,086","31,498","66,834","63,094","80,063","35,071","44,992","119,179","40,981","70,582","11,164","105,981","57,363","48,618","150,832","62,821","44,917","43,094","8,188","27,529","83,564","30,832","66,812","38,524","23,268","33,514","134,919","33,624","55,330","45,965","55,550","29,380","21,842","48,465","99,910","44,313","26,696","17,932","12,089","5,418","6,182","10,460"
2020년04월_계_30~39세,"1,917,619","182,876","33,731","59,934","24,975","64,236","138,600","34,845","31,715","72,040","59,717","79,223","33,896","45,327","119,289","44,766","77,768","10,402","86,083","44,134","41,949","142,505","67,039","38,647","36,819","8,145","27,312","91,123","39,570","73,826","39,427","22,905","47,935","148,801","34,374","61,691","52,736","66,859","30,758","23,294","71,403","150,694","58,885","27,496","14,942","11,782","4,300","5,898","11,035"
2020년04월_계_40~49세,"2,296,203","205,273","46,751","61,825","27,943","68,754","159,265","36,953","34,028","88,284","74,593","90,620","35,965","54,655","131,906","54,610","91,173","14,615","110,400","58,855","51,545","185,089","79,096","52,371","53,622","9,287","33,306","129,598","42,475","87,224","45,495","25,318","48,885","200,923","43,342","84,701","72,880","79,157","34,948","29,993","82,474","158,774","65,267","38,867","21,109","16,130","5,028","8,018","16,383"
2020년04월_계_50~59세,"2,212,849","196,352","49,400","62,559","30,771","53,622","155,970","40,411","39,405","76,154","79,153","99,747","44,317","55,430","149,988","52,484","84,715","16,379","126,955","67,863","59,092","193,448","82,236","55,519","55,693","10,468","35,924","114,802","32,654","84,006","48,380","29,980","40,785","160,852","42,670","64,463","53,719","70,386","35,081","30,984","63,934","110,682","62,235","37,114","29,557","20,127","7,304","11,501","20,902"
2020년04월_계_60~69세,"1,445,636","114,007","29,336","37,810","21,534","25,327","108,729","31,360","29,666","47,703","53,819","68,228","32,980","35,248","105,335","37,969","51,443","12,617","66,476","35,122","31,354","113,332","53,405","30,577","29,350","6,753","23,287","78,723","18,645","42,179","31,430","20,637","32,640","101,577","29,496","39,652","32,429","46,363","24,434","23,711","45,393","64,693","45,157","27,134","23,060","17,544","7,228","11,525","21,568"
2020년04월_계_70~79세,"748,404","55,388","15,479","17,091","11,701","11,117","57,015","16,574","15,046","25,395","30,510","31,158","16,102","15,056","45,370","18,417","27,931","8,697","29,003","16,439","12,564","60,969","29,879","15,322","15,768","3,536","11,557","43,561","9,439","18,409","14,712","9,012","15,165","64,420","15,688","25,796","22,936","28,253","12,856","13,336","24,543","30,860","21,240","15,843","12,428","10,144","5,047","6,817","12,768"
2020년04월_계_80~89세,"334,613","24,169","7,263","7,288","4,699","4,919","24,148","6,022","5,506","12,620","13,320","13,865","6,778","7,087","19,238","7,693","13,547","4,155","13,960","7,983","5,977","31,649","14,290","8,453","8,906","1,793","4,687","17,650","3,826","8,387","7,278","4,181","5,396","26,252","7,239","10,279","8,734","13,455","6,545","7,318","9,895","13,890","7,867","6,725","6,250","5,138","2,722","3,577","6,037"
2020년04월_계_90~99세,"49,584","3,800","1,189","1,126",709,776,"4,046",911,861,"2,274","1,786","2,064",941,"1,123","2,983","1,127","1,887",577,"2,007","1,172",835,"4,500","1,975","1,285","1,240",358,659,"2,487",468,"1,213","1,138",711,958,"3,990","1,101","1,583","1,306","1,958",927,953,"1,414","1,922","1,190",936,940,765,396,504,920
2020년04월_계_100세 이상,"4,109",303,87,94,87,35,468,200,179,89,206,169,81,88,242,139,239,81,113,59,54,319,204,59,56,50,77,210,48,94,72,52,115,187,69,64,54,190,66,55,68,108,95,67,75,42,47,46,66
