카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년01월_계_총인구수,"367,321","20,370","21,516","17,906","21,018","22,158","17,299","25,906","26,139","19,231","19,284","36,538","36,711","48,221","35,024"
2020년01월_계_연령구간인구수,"367,321","20,370","21,516","17,906","21,018","22,158","17,299","25,906","26,139","19,231","19,284","36,538","36,711","48,221","35,024"
2020년01월_계_0~9세,"36,220","1,532","1,668",997,"1,148","1,545","1,167","1,443","2,382","1,572","1,690","3,233","4,869","7,347","5,627"
2020년01월_계_10~19세,"41,539","2,048","2,371","1,165","1,752","1,875","1,408","1,915","2,821","2,135","2,927","5,509","6,334","5,770","3,509"
2020년01월_계_20~29세,"50,898","2,904","3,180","2,755","3,416","3,577","2,401","3,724","3,790","2,858","2,680","5,905","3,736","5,929","4,043"
2020년01월_계_30~39세,"54,414","2,484","2,625","2,436","2,876","3,346","2,462","3,218","4,025","2,670","1,918","4,173","4,649","9,773","7,759"
2020년01월_계_40~49세,"65,220","3,314","3,513","2,408","3,488","3,225","2,410","3,958","4,332","3,223","3,541","6,748","8,532","9,739","6,789"
2020년01월_계_50~59세,"62,135","3,911","4,118","3,613","4,212","4,115","3,224","5,445","4,765","3,602","3,399","6,169","5,358","5,772","4,432"
2020년01월_계_60~69세,"34,000","2,245","2,266","2,697","2,427","2,583","2,279","3,572","2,578","1,929","1,826","3,069","2,031","2,514","1,984"
2020년01월_계_70~79세,"14,766","1,287","1,147","1,220","1,154","1,135","1,113","1,696",886,785,838,"1,137",776,987,605
2020년01월_계_80~89세,"6,911",570,532,522,471,655,687,812,458,400,380,491,361,337,235
2020년01월_계_90~99세,"1,166",72,91,89,70,100,141,114,91,55,83,104,64,53,39
2020년01월_계_100세 이상,52,3,5,4,4,2,7,9,11,2,2,0,1,0,2
2020년01월_남_총인구수,"182,794","10,114","10,670","9,239","11,384","10,866","8,250","13,393","12,877","9,430","9,394","18,050","18,013","23,770","17,344"
2020년01월_남_연령구간인구수,"182,794","10,114","10,670","9,239","11,384","10,866","8,250","13,393","12,877","9,430","9,394","18,050","18,013","23,770","17,344"
2020년01월_남_0~9세,"18,544",800,847,515,609,803,595,748,"1,210",814,840,"1,686","2,484","3,752","2,841"
2020년01월_남_10~19세,"21,348","1,076","1,217",600,941,953,732,998,"1,422","1,088","1,506","2,821","3,248","2,956","1,790"
2020년01월_남_20~29세,"26,430","1,564","1,677","1,534","1,893","1,872","1,179","2,056","1,949","1,472","1,388","3,006","1,920","2,911","2,009"
2020년01월_남_30~39세,"26,893","1,241","1,315","1,393","1,691","1,743","1,273","1,851","2,023","1,359",843,"1,935","1,944","4,580","3,702"
2020년01월_남_40~49세,"31,986","1,632","1,695","1,333","1,975","1,557","1,165","2,084","2,054","1,485","1,621","3,110","3,998","4,834","3,443"
2020년01월_남_50~59세,"30,891","1,916","2,014","1,711","2,242","1,950","1,491","2,773","2,288","1,731","1,695","3,125","2,881","2,902","2,172"
2020년01월_남_60~69세,"17,544","1,115","1,156","1,403","1,316","1,317","1,143","1,830","1,340",999,960,"1,636","1,055","1,264","1,010"
2020년01월_남_70~79세,"6,683",558,545,549,548,463,459,755,418,343,396,553,356,443,297
2020년01월_남_80~89세,"2,192",191,180,182,153,183,189,265,148,125,125,155,113,109,74
2020년01월_남_90~99세,268,21,22,19,16,24,21,28,22,13,20,23,14,19,6
2020년01월_남_100세 이상,15,0,2,0,0,1,3,5,3,1,0,0,0,0,0
2020년01월_여_총인구수,"184,527","10,256","10,846","8,667","9,634","11,292","9,049","12,513","13,262","9,801","9,890","18,488","18,698","24,451","17,680"
2020년01월_여_연령구간인구수,"184,527","10,256","10,846","8,667","9,634","11,292","9,049","12,513","13,262","9,801","9,890","18,488","18,698","24,451","17,680"
2020년01월_여_0~9세,"17,676",732,821,482,539,742,572,695,"1,172",758,850,"1,547","2,385","3,595","2,786"
2020년01월_여_10~19세,"20,191",972,"1,154",565,811,922,676,917,"1,399","1,047","1,421","2,688","3,086","2,814","1,719"
2020년01월_여_20~29세,"24,468","1,340","1,503","1,221","1,523","1,705","1,222","1,668","1,841","1,386","1,292","2,899","1,816","3,018","2,034"
2020년01월_여_30~39세,"27,521","1,243","1,310","1,043","1,185","1,603","1,189","1,367","2,002","1,311","1,075","2,238","2,705","5,193","4,057"
2020년01월_여_40~49세,"33,234","1,682","1,818","1,075","1,513","1,668","1,245","1,874","2,278","1,738","1,920","3,638","4,534","4,905","3,346"
2020년01월_여_50~59세,"31,244","1,995","2,104","1,902","1,970","2,165","1,733","2,672","2,477","1,871","1,704","3,044","2,477","2,870","2,260"
2020년01월_여_60~69세,"16,456","1,130","1,110","1,294","1,111","1,266","1,136","1,742","1,238",930,866,"1,433",976,"1,250",974
2020년01월_여_70~79세,"8,083",729,602,671,606,672,654,941,468,442,442,584,420,544,308
2020년01월_여_80~89세,"4,719",379,352,340,318,472,498,547,310,275,255,336,248,228,161
2020년01월_여_90~99세,898,51,69,70,54,76,120,86,69,42,63,81,50,34,33
2020년01월_여_100세 이상,37,3,3,4,4,1,4,4,8,1,2,0,1,0,2
