,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년12월_계_총인구수,"16,692","7,305","2,141","1,739","1,772","1,693","2,042"
2020년12월_계_연령구간인구수,"16,692","7,305","2,141","1,739","1,772","1,693","2,042"
2020년12월_계_0~9세,726,444,71,56,40,53,62
2020년12월_계_10~19세,938,552,81,55,82,92,76
2020년12월_계_20~29세,"1,145",652,99,77,110,92,115
2020년12월_계_30~39세,"1,032",644,110,57,68,66,87
2020년12월_계_40~49세,"1,729",954,175,125,140,168,167
2020년12월_계_50~59세,"2,987","1,247",386,300,342,317,395
2020년12월_계_60~69세,"3,456","1,287",503,426,388,381,471
2020년12월_계_70~79세,"2,684",900,418,370,310,291,395
2020년12월_계_80~89세,"1,715",518,259,240,262,196,240
2020년12월_계_90~99세,252,99,36,29,28,31,29
2020년12월_계_100세 이상,28,8,3,4,2,6,5
2020년12월_남_총인구수,"8,263","3,594","1,037",884,872,852,"1,024"
2020년12월_남_연령구간인구수,"8,263","3,594","1,037",884,872,852,"1,024"
2020년12월_남_0~9세,385,244,34,30,19,33,25
2020년12월_남_10~19세,479,272,47,28,42,46,44
2020년12월_남_20~29세,675,377,59,43,65,58,73
2020년12월_남_30~39세,557,338,60,35,41,37,46
2020년12월_남_40~49세,"1,020",526,119,87,79,105,104
2020년12월_남_50~59세,"1,636",652,209,185,191,177,222
2020년12월_남_60~69세,"1,721",625,242,206,200,196,252
2020년12월_남_70~79세,"1,163",378,174,188,135,119,169
2020년12월_남_80~89세,559,161,83,74,91,68,82
2020년12월_남_90~99세,61,19,7,7,9,12,7
2020년12월_남_100세 이상,7,2,3,1,0,1,0
2020년12월_여_총인구수,"8,429","3,711","1,104",855,900,841,"1,018"
2020년12월_여_연령구간인구수,"8,429","3,711","1,104",855,900,841,"1,018"
2020년12월_여_0~9세,341,200,37,26,21,20,37
2020년12월_여_10~19세,459,280,34,27,40,46,32
2020년12월_여_20~29세,470,275,40,34,45,34,42
2020년12월_여_30~39세,475,306,50,22,27,29,41
2020년12월_여_40~49세,709,428,56,38,61,63,63
2020년12월_여_50~59세,"1,351",595,177,115,151,140,173
2020년12월_여_60~69세,"1,735",662,261,220,188,185,219
2020년12월_여_70~79세,"1,521",522,244,182,175,172,226
2020년12월_여_80~89세,"1,156",357,176,166,171,128,158
2020년12월_여_90~99세,191,80,29,22,19,19,22
2020년12월_여_100세 이상,21,6,0,3,2,5,5
