,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년06월_계_총인구수,"62,654","39,136",939,432,"1,814","1,037","1,814","3,276","2,859","1,454",992,"1,591","1,641","2,194","3,475"
2020년06월_계_연령구간인구수,"62,654","39,136",939,432,"1,814","1,037","1,814","3,276","2,859","1,454",992,"1,591","1,641","2,194","3,475"
2020년06월_계_0~9세,"3,579","2,965",13,14,39,26,42,121,82,31,18,36,37,49,106
2020년06월_계_10~19세,"5,854","4,813",43,13,77,23,56,210,136,56,37,61,70,68,191
2020년06월_계_20~29세,"6,772","5,095",61,11,117,54,103,300,216,77,86,80,114,152,306
2020년06월_계_30~39세,"4,867","3,607",51,22,87,34,93,236,184,57,53,61,65,121,196
2020년06월_계_40~49세,"8,511","6,407",103,39,129,65,154,343,284,114,81,132,126,183,351
2020년06월_계_50~59세,"11,290","6,902",160,69,333,204,326,584,560,257,197,300,291,419,688
2020년06월_계_60~69세,"9,092","4,367",193,93,350,190,350,651,605,312,198,322,326,456,679
2020년06월_계_70~79세,"7,472","3,157",190,110,353,203,366,503,423,319,183,355,338,434,538
2020년06월_계_80~89세,"4,548","1,603",113,51,291,215,274,283,315,202,122,211,229,264,375
2020년06월_계_90~99세,634,207,11,10,38,22,46,45,53,27,15,32,42,46,40
2020년06월_계_100세 이상,35,13,1,0,0,1,4,0,1,2,2,1,3,2,5
2020년06월_남_총인구수,"30,997","19,260",483,206,917,504,876,"1,625","1,418",760,511,793,767,"1,110","1,767"
2020년06월_남_연령구간인구수,"30,997","19,260",483,206,917,504,876,"1,625","1,418",760,511,793,767,"1,110","1,767"
2020년06월_남_0~9세,"1,817","1,520",4,8,22,13,19,61,31,14,8,24,16,27,50
2020년06월_남_10~19세,"3,049","2,496",25,8,43,11,26,100,74,31,19,30,34,39,113
2020년06월_남_20~29세,"3,672","2,719",37,5,54,30,54,181,120,54,52,54,64,84,164
2020년06월_남_30~39세,"2,482","1,761",38,11,55,14,52,131,112,33,32,30,42,69,102
2020년06월_남_40~49세,"4,449","3,144",65,26,88,52,96,192,173,76,53,92,71,117,204
2020년06월_남_50~59세,"6,175","3,562",98,43,212,126,211,323,311,157,110,192,168,250,412
2020년06월_남_60~69세,"4,732","2,157",97,46,205,111,186,342,326,179,113,173,174,249,374
2020년06월_남_70~79세,"3,075","1,311",82,39,147,82,149,201,188,133,75,133,128,178,229
2020년06월_남_80~89세,"1,399",540,37,17,81,60,71,87,73,74,43,57,65,83,111
2020년06월_남_90~99세,145,49,0,3,10,5,11,7,10,9,6,8,5,14,8
2020년06월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"31,657","19,876",456,226,897,533,938,"1,651","1,441",694,481,798,874,"1,084","1,708"
2020년06월_여_연령구간인구수,"31,657","19,876",456,226,897,533,938,"1,651","1,441",694,481,798,874,"1,084","1,708"
2020년06월_여_0~9세,"1,762","1,445",9,6,17,13,23,60,51,17,10,12,21,22,56
2020년06월_여_10~19세,"2,805","2,317",18,5,34,12,30,110,62,25,18,31,36,29,78
2020년06월_여_20~29세,"3,100","2,376",24,6,63,24,49,119,96,23,34,26,50,68,142
2020년06월_여_30~39세,"2,385","1,846",13,11,32,20,41,105,72,24,21,31,23,52,94
2020년06월_여_40~49세,"4,062","3,263",38,13,41,13,58,151,111,38,28,40,55,66,147
2020년06월_여_50~59세,"5,115","3,340",62,26,121,78,115,261,249,100,87,108,123,169,276
2020년06월_여_60~69세,"4,360","2,210",96,47,145,79,164,309,279,133,85,149,152,207,305
2020년06월_여_70~79세,"4,397","1,846",108,71,206,121,217,302,235,186,108,222,210,256,309
2020년06월_여_80~89세,"3,149","1,063",76,34,210,155,203,196,242,128,79,154,164,181,264
2020년06월_여_90~99세,489,158,11,7,28,17,35,38,43,18,9,24,37,32,32
2020년06월_여_100세 이상,33,12,1,0,0,1,3,0,1,2,2,1,3,2,5
