카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년04월_계_총인구수,"221,125","10,293","17,570","8,973","4,949","11,460","13,806","20,301","34,241","23,598","22,879","20,701","11,079","21,275"
2020년04월_계_연령구간인구수,"221,125","10,293","17,570","8,973","4,949","11,460","13,806","20,301","34,241","23,598","22,879","20,701","11,079","21,275"
2020년04월_계_0~9세,"17,519",468,"1,439",438,244,955,507,"1,436","3,682","1,186","1,527","2,117","1,346","2,174"
2020년04월_계_10~19세,"20,655",653,"1,350",655,330,"1,149",715,"1,662","3,631","2,240","2,394","1,927","1,334","2,615"
2020년04월_계_20~29세,"27,868","1,095","2,273","1,362",626,"1,538","1,685","2,564","4,023","3,326","3,115","2,408","1,394","2,459"
2020년04월_계_30~39세,"27,621","1,062","2,586","1,045",529,"1,672","1,402","2,555","4,647","2,208","2,386","2,940","1,734","2,855"
2020년04월_계_40~49세,"35,113","1,420","2,677","1,199",613,"1,804","1,754","2,996","6,030","3,688","3,437","3,369","1,851","4,275"
2020년04월_계_50~59세,"42,150","1,940","3,558","1,803","1,026","2,090","2,720","3,800","5,961","5,096","4,933","3,777","1,982","3,464"
2020년04월_계_60~69세,"30,641","1,982","2,357","1,460",946,"1,356","2,816","3,156","4,066","3,445","3,271","2,677",957,"2,152"
2020년04월_계_70~79세,"13,877","1,194",959,742,460,623,"1,533","1,469","1,594","1,683","1,327","1,058",344,891
2020년04월_계_80~89세,"5,004",425,324,235,146,234,586,604,531,658,428,382,125,326
2020년04월_계_90~99세,621,50,45,32,23,36,64,56,75,66,57,44,11,62
2020년04월_계_100세 이상,56,4,2,2,6,3,24,3,1,2,4,2,1,2
2020년04월_남_총인구수,"112,157","5,262","9,136","4,583","2,469","5,743","7,113","10,228","17,129","11,968","11,609","10,519","5,584","10,814"
2020년04월_남_연령구간인구수,"112,157","5,262","9,136","4,583","2,469","5,743","7,113","10,228","17,129","11,968","11,609","10,519","5,584","10,814"
2020년04월_남_0~9세,"9,052",240,741,233,137,468,266,772,"1,954",581,770,"1,067",701,"1,122"
2020년04월_남_10~19세,"11,066",335,713,344,165,637,375,889,"1,928","1,249","1,319","1,051",690,"1,371"
2020년04월_남_20~29세,"15,505",615,"1,253",742,345,824,956,"1,429","2,279","1,871","1,752","1,349",745,"1,345"
2020년04월_남_30~39세,"14,482",609,"1,414",585,297,902,847,"1,312","2,261","1,206","1,256","1,502",852,"1,439"
2020년04월_남_40~49세,"17,828",818,"1,439",617,313,886,967,"1,521","2,972","1,825","1,668","1,760",876,"2,166"
2020년04월_남_50~59세,"21,033","1,024","1,814",910,493,"1,016","1,377","1,894","2,822","2,550","2,455","1,854","1,023","1,801"
2020년04월_남_60~69세,"14,976",938,"1,177",707,455,635,"1,418","1,532","1,971","1,691","1,590","1,319",494,"1,049"
2020년04월_남_70~79세,"6,365",522,466,356,198,296,674,642,760,770,631,481,156,413
2020년04월_남_80~89세,"1,737",155,112,82,55,73,214,223,172,211,162,129,45,104
2020년04월_남_90~99세,103,5,7,7,8,6,15,14,10,13,6,6,2,4
2020년04월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년04월_여_총인구수,"108,968","5,031","8,434","4,390","2,480","5,717","6,693","10,073","17,112","11,630","11,270","10,182","5,495","10,461"
2020년04월_여_연령구간인구수,"108,968","5,031","8,434","4,390","2,480","5,717","6,693","10,073","17,112","11,630","11,270","10,182","5,495","10,461"
2020년04월_여_0~9세,"8,467",228,698,205,107,487,241,664,"1,728",605,757,"1,050",645,"1,052"
2020년04월_여_10~19세,"9,589",318,637,311,165,512,340,773,"1,703",991,"1,075",876,644,"1,244"
2020년04월_여_20~29세,"12,363",480,"1,020",620,281,714,729,"1,135","1,744","1,455","1,363","1,059",649,"1,114"
2020년04월_여_30~39세,"13,139",453,"1,172",460,232,770,555,"1,243","2,386","1,002","1,130","1,438",882,"1,416"
2020년04월_여_40~49세,"17,285",602,"1,238",582,300,918,787,"1,475","3,058","1,863","1,769","1,609",975,"2,109"
2020년04월_여_50~59세,"21,117",916,"1,744",893,533,"1,074","1,343","1,906","3,139","2,546","2,478","1,923",959,"1,663"
2020년04월_여_60~69세,"15,665","1,044","1,180",753,491,721,"1,398","1,624","2,095","1,754","1,681","1,358",463,"1,103"
2020년04월_여_70~79세,"7,512",672,493,386,262,327,859,827,834,913,696,577,188,478
2020년04월_여_80~89세,"3,267",270,212,153,91,161,372,381,359,447,266,253,80,222
2020년04월_여_90~99세,518,45,38,25,15,30,49,42,65,53,51,38,9,58
2020년04월_여_100세 이상,46,3,2,2,3,3,20,3,1,1,4,1,1,2
