,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년04월_계_총인구수,"44,078","13,461","3,691","3,730","1,830","3,234","6,107","4,035","1,544","1,390","2,872","2,184"
2021년04월_계_연령구간인구수,"44,078","13,461","3,691","3,730","1,830","3,234","6,107","4,035","1,544","1,390","2,872","2,184"
2021년04월_계_0~9세,"2,691",993,314,158,48,149,647,160,56,34,78,54
2021년04월_계_10~19세,"3,234","1,225",300,176,69,182,613,251,89,59,171,99
2021년04월_계_20~29세,"4,169","1,301",304,371,146,294,822,388,130,104,186,123
2021년04월_계_30~39세,"3,554","1,139",274,325,124,176,792,266,103,74,148,133
2021년04월_계_40~49세,"5,446","1,934",463,417,177,376,858,505,157,105,256,198
2021년04월_계_50~59세,"7,426","2,142",619,696,352,583,832,793,280,229,485,415
2021년04월_계_60~69세,"7,395","2,047",625,727,376,603,646,744,298,300,533,496
2021년04월_계_70~79세,"5,835","1,615",451,493,275,487,521,534,251,269,540,399
2021년04월_계_80~89세,"3,789",931,299,316,227,350,335,339,154,189,427,222
2021년04월_계_90~99세,523,131,38,50,35,33,40,55,26,26,46,43
2021년04월_계_100세 이상,16,3,4,1,1,1,1,0,0,1,2,2
2021년04월_남_총인구수,"22,627","6,665","1,878","2,008",974,"1,756","3,200","2,055",815,695,"1,447","1,134"
2021년04월_남_연령구간인구수,"22,627","6,665","1,878","2,008",974,"1,756","3,200","2,055",815,695,"1,447","1,134"
2021년04월_남_0~9세,"1,362",518,172,77,20,83,306,72,31,11,43,29
2021년04월_남_10~19세,"1,710",632,163,94,35,103,322,124,50,33,103,51
2021년04월_남_20~29세,"2,461",696,169,217,94,239,506,236,71,63,103,67
2021년04월_남_30~39세,"1,902",570,128,205,76,92,431,144,61,40,80,75
2021년04월_남_40~49세,"3,090","1,037",246,274,113,235,466,291,100,55,158,115
2021년04월_남_50~59세,"4,251","1,180",378,396,208,332,491,443,168,136,276,243
2021년04월_남_60~69세,"3,920","1,009",314,406,225,324,357,406,158,158,288,275
2021년04월_남_70~79세,"2,589",717,205,221,115,217,209,232,117,119,241,196
2021년04월_남_80~89세,"1,217",282,93,102,77,124,100,94,53,74,145,73
2021년04월_남_90~99세,124,24,9,16,11,7,12,13,6,6,10,10
2021년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"21,451","6,796","1,813","1,722",856,"1,478","2,907","1,980",729,695,"1,425","1,050"
2021년04월_여_연령구간인구수,"21,451","6,796","1,813","1,722",856,"1,478","2,907","1,980",729,695,"1,425","1,050"
2021년04월_여_0~9세,"1,329",475,142,81,28,66,341,88,25,23,35,25
2021년04월_여_10~19세,"1,524",593,137,82,34,79,291,127,39,26,68,48
2021년04월_여_20~29세,"1,708",605,135,154,52,55,316,152,59,41,83,56
2021년04월_여_30~39세,"1,652",569,146,120,48,84,361,122,42,34,68,58
2021년04월_여_40~49세,"2,356",897,217,143,64,141,392,214,57,50,98,83
2021년04월_여_50~59세,"3,175",962,241,300,144,251,341,350,112,93,209,172
2021년04월_여_60~69세,"3,475","1,038",311,321,151,279,289,338,140,142,245,221
2021년04월_여_70~79세,"3,246",898,246,272,160,270,312,302,134,150,299,203
2021년04월_여_80~89세,"2,572",649,206,214,150,226,235,245,101,115,282,149
2021년04월_여_90~99세,399,107,29,34,24,26,28,42,20,20,36,33
2021년04월_여_100세 이상,15,3,3,1,1,1,1,0,0,1,2,2
