카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년01월_계_총인구수,"359,978","15,612","9,904","20,977","22,432","20,466","12,900","22,214","21,116","23,103","17,921","23,716","10,441","11,656","19,730","17,111","17,121","11,298","29,375","12,034","20,851"
2021년01월_계_연령구간인구수,"359,978","15,612","9,904","20,977","22,432","20,466","12,900","22,214","21,116","23,103","17,921","23,716","10,441","11,656","19,730","17,111","17,121","11,298","29,375","12,034","20,851"
2021년01월_계_0~9세,"21,215",630,624,"1,461","1,318","1,166",561,"1,393",978,"1,960","1,133","1,170",759,691,890,"1,020","1,251",627,"1,829",496,"1,258"
2021년01월_계_10~19세,"24,965",546,458,"1,868","1,577","1,540",598,"1,283","1,169","1,882","1,922","1,983",708,936,"1,202","1,386","1,012",840,"2,514",482,"1,059"
2021년01월_계_20~29세,"52,727","3,353","1,902","2,125","2,309","2,977","2,948","4,678","3,419","2,562","2,045","2,895","1,344","1,271","3,176","2,138","3,266","1,570","3,630","2,515","2,604"
2021년01월_계_30~39세,"48,123","2,445","1,771","2,366","2,443","2,486","2,259","4,195","3,025","3,083","1,730","2,359","1,651","1,313","2,284","1,864","2,774","1,174","3,393","2,288","3,220"
2021년01월_계_40~49세,"51,552","1,786","1,469","3,346","3,145","2,990","1,778","3,068","2,964","3,787","2,893","3,428","1,501","1,777","2,671","2,424","2,429","1,527","4,251","1,524","2,794"
2021년01월_계_50~59세,"58,457","2,516","1,531","3,300","3,675","3,600","1,634","2,813","3,077","3,769","3,354","4,449","1,502","2,237","3,350","2,873","2,545","1,942","5,344","1,696","3,250"
2021년01월_계_60~69세,"56,298","2,412","1,312","3,470","4,082","3,098","1,620","2,484","3,343","3,262","2,743","4,134","1,645","1,911","3,396","2,970","2,114","1,945","5,056","1,663","3,638"
2021년01월_계_70~79세,"31,827","1,309",558,"2,088","2,697","1,709","1,011","1,512","2,141","1,991","1,479","2,151",920,"1,056","1,963","1,726","1,203","1,160","2,217",886,"2,050"
2021년01월_계_80~89세,"13,018",532,226,833,"1,054",802,428,680,898,693,540,989,369,411,709,615,472,468,"1,025",425,849
2021년01월_계_90~99세,"1,562",67,46,113,120,86,54,91,89,83,69,145,35,46,81,82,53,42,107,50,103
2021년01월_계_100세 이상,234,16,7,7,12,12,9,17,13,31,13,13,7,7,8,13,2,3,9,9,26
2021년01월_남_총인구수,"173,861","7,834","4,950","9,911","10,891","9,658","5,923","10,651","9,946","11,290","8,802","11,325","5,010","5,722","9,819","8,336","8,187","5,534","14,211","5,710","10,151"
2021년01월_남_연령구간인구수,"173,861","7,834","4,950","9,911","10,891","9,658","5,923","10,651","9,946","11,290","8,802","11,325","5,010","5,722","9,819","8,336","8,187","5,534","14,211","5,710","10,151"
2021년01월_남_0~9세,"10,728",312,339,727,682,577,285,699,506,"1,010",577,576,385,363,432,512,633,291,941,236,645
2021년01월_남_10~19세,"12,700",293,221,934,870,771,288,642,601,948,982,"1,014",355,453,621,720,486,427,"1,259",245,570
2021년01월_남_20~29세,"25,821","1,525",918,"1,118","1,236","1,458","1,172","2,081","1,597","1,320","1,129","1,568",651,689,"1,718","1,130","1,435",849,"1,913","1,080","1,234"
2021년01월_남_30~39세,"24,559","1,312",948,"1,211","1,261","1,216","1,088","2,174","1,506","1,513",869,"1,220",831,677,"1,225",953,"1,398",642,"1,688","1,150","1,677"
2021년01월_남_40~49세,"26,034",990,777,"1,589","1,587","1,462",892,"1,550","1,454","1,921","1,393","1,666",769,904,"1,438","1,188","1,265",775,"2,117",782,"1,515"
2021년01월_남_50~59세,"28,346","1,367",748,"1,525","1,762","1,698",836,"1,390","1,469","1,829","1,659","2,094",710,"1,092","1,647","1,380","1,255",950,"2,497",872,"1,566"
2021년01월_남_60~69세,"26,489","1,225",656,"1,554","1,856","1,455",747,"1,182","1,515","1,579","1,302","1,941",734,921,"1,583","1,360",967,914,"2,446",796,"1,756"
2021년01월_남_70~79세,"14,071",601,251,906,"1,207",714,438,659,927,899,684,897,415,473,875,815,561,506,988,385,870
2021년01월_남_80~89세,"4,707",192,79,313,405,281,160,250,351,242,190,320,147,141,265,251,177,169,342,148,284
2021년01월_남_90~99세,358,14,13,32,24,22,13,21,16,22,14,28,12,7,15,24,10,10,19,14,28
2021년01월_남_100세 이상,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2021년01월_여_총인구수,"186,117","7,778","4,954","11,066","11,541","10,808","6,977","11,563","11,170","11,813","9,119","12,391","5,431","5,934","9,911","8,775","8,934","5,764","15,164","6,324","10,700"
