,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년09월_계_총인구수,"1,033,979","218,376","19,803","43,426","7,129","50,470","25,927","41,496","30,125","252,776","41,229","29,634","34,613","27,828","44,866","40,501","26,340","7,765","180,954","4,204","12,178","3,400","3,877","14,117","1,082","42,135","11,089","14,505","9,012","10,349","16,090","19,388","7,235","12,293","187,618","63,662","10,217","10,040","16,959","6,081","11,040","31,258","9,305","7,490","8,886","9,416","3,264","194,255","16,944","8,448","4,672","11,138","7,474","17,498","8,607","21,308","10,162","25,812","12,980","6,541","42,671"
2021년09월_계_연령구간인구수,"1,033,979","218,376","19,803","43,426","7,129","50,470","25,927","41,496","30,125","252,776","41,229","29,634","34,613","27,828","44,866","40,501","26,340","7,765","180,954","4,204","12,178","3,400","3,877","14,117","1,082","42,135","11,089","14,505","9,012","10,349","16,090","19,388","7,235","12,293","187,618","63,662","10,217","10,040","16,959","6,081","11,040","31,258","9,305","7,490","8,886","9,416","3,264","194,255","16,944","8,448","4,672","11,138","7,474","17,498","8,607","21,308","10,162","25,812","12,980","6,541","42,671"
2021년09월_계_0~9세,"80,134","17,338","1,060","6,282",240,"4,155","1,966","2,219","1,416","18,645","3,090","2,033","2,193","1,986","3,254","3,529","2,128",432,"13,267",106,"1,045",57,43,"2,078",57,"4,530",471,812,370,417,"1,215",975,398,693,"12,393","4,692",356,652,"1,098",157,527,"3,017",631,248,388,488,139,"18,491","1,376",301,165,978,524,"1,399",346,"2,276","1,018","3,321","1,793",479,"4,515"
2021년09월_계_10~19세,"98,217","19,309","1,787","3,959",371,"4,561","2,663","3,831","2,137","25,841","5,164","2,641","2,493","3,268","4,636","3,918","2,984",737,"14,188",150,"1,027",131,138,"1,261",49,"4,031",669,"1,341",701,841,"1,325","1,158",423,943,"17,727","7,880",596,779,"1,224",314,833,"3,468",563,447,636,775,212,"21,152","1,798",622,275,994,761,"2,432",520,"2,254","1,197","3,308",994,685,"5,312"
2021년09월_계_20~29세,"126,936","28,373","2,210","3,691",621,"6,795","3,890","6,289","4,877","37,459","5,370","4,556","6,229","4,064","6,347","5,924","3,982",987,"19,062",277,"1,064",247,208,"1,142",140,"5,056","1,719","1,520","1,060","1,126","1,533","1,952",676,"1,342","21,328","8,008",905,"1,095","1,772",528,"1,293","3,233","1,112",924,915,"1,240",303,"20,714","2,166",801,451,"1,116",773,"2,190","1,082","2,256","1,173","2,216","1,257",633,"4,600"
2021년09월_계_30~39세,"130,939","28,513","1,758","7,605",640,"6,877","3,701","4,224","3,708","34,571","4,493","4,024","6,074","3,436","6,189","6,121","3,338",896,"21,398",265,"1,351",190,168,"2,304",128,"6,319","1,051","1,436",798,882,"2,000","2,220",860,"1,426","20,529","6,235",870,"1,318","2,264",526,"1,249","3,882","1,227",712,840,"1,033",373,"25,928","2,109",661,342,"1,431",773,"2,072",979,"3,073","1,245","3,657","2,396",723,"6,467"
2021년09월_계_40~49세,"166,638","33,996","3,061","7,531",768,"7,987","4,350","6,183","4,116","40,820","7,171","4,585","5,239","4,634","7,452","6,337","4,178","1,224","26,658",387,"1,978",296,276,"2,544",135,"6,663","1,371","2,184","1,184","1,386","2,441","2,940","1,054","1,819","29,451","11,199","1,339","1,365","2,355",698,"1,550","5,560","1,311","1,041","1,169","1,358",506,"35,713","2,888","1,127",573,"1,718","1,222","3,408","1,293","3,768","1,716","5,143","2,159","1,096","9,602"
2021년09월_계_50~59세,"184,466","41,065","3,889","6,133","1,285","9,626","5,076","9,094","5,962","51,184","8,274","6,044","6,588","5,917","8,994","8,115","5,849","1,403","29,494",718,"1,957",670,693,"1,899",162,"6,599","1,848","2,443","1,660","1,872","2,516","3,200","1,189","2,068","33,685","12,422","1,712","1,586","2,811","1,115","1,889","5,176","1,605","1,362","1,724","1,660",623,"29,038","2,210","1,379",793,"1,782","1,169","2,796","1,485","3,415","1,427","3,472","1,800","1,100","6,210"
2021년09월_계_60~69세,"150,045","31,681","3,361","5,242","1,684","6,874","2,977","6,360","5,183","31,107","5,249","3,853","4,084","3,337","5,620","4,740","2,943","1,281","31,493","1,172","2,116",892,"1,006","1,767",237,"5,538","2,113","2,488","1,828","2,137","2,773","3,730","1,419","2,277","30,962","8,084","2,312","1,818","3,093","1,472","2,216","4,399","1,660","1,595","1,930","1,744",639,"24,802","2,152","1,574",993,"1,811","1,204","2,077","1,691","2,713","1,345","3,013","1,522","1,016","3,691"
2021년09월_계_70~79세,"65,204","12,117","1,687","1,912",924,"2,515",912,"2,315","1,852","8,887","1,707","1,293","1,177",768,"1,567","1,214",632,529,"16,909",716,"1,070",540,724,779,122,"2,418","1,220","1,503",900,"1,172","1,599","2,130",779,"1,237","15,154","3,481","1,439","1,004","1,699",848,"1,086","1,805",852,866,920,822,332,"12,137","1,420","1,231",681,887,671,771,842,"1,038",683,"1,140",653,496,"1,624"
2021년09월_계_80~89세,"27,639","5,223",878,923,513,942,347,867,753,"3,691",620,522,461,350,711,527,262,238,"7,399",343,485,308,525,305,46,854,546,695,459,471,599,954,387,422,"5,760","1,518",614,368,589,383,359,633,307,273,327,268,121,"5,566",719,671,354,385,337,302,325,459,326,486,368,269,565
