,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년04월_계_총인구수,"38,225","15,537","5,043","3,489","2,374","2,881","1,305","2,126","1,122","1,468","2,880"
2020년04월_계_연령구간인구수,"38,225","15,537","5,043","3,489","2,374","2,881","1,305","2,126","1,122","1,468","2,880"
2020년04월_계_0~9세,"2,065","1,341",154,148,86,85,39,42,20,44,106
2020년04월_계_10~19세,"2,933","1,635",325,225,115,139,57,110,45,82,200
2020년04월_계_20~29세,"3,180","1,617",342,256,146,213,80,138,77,94,217
2020년04월_계_30~39세,"2,922","1,653",299,199,144,182,82,94,44,64,161
2020년04월_계_40~49세,"4,282","2,151",444,373,214,271,114,167,107,153,288
2020년04월_계_50~59세,"6,479","2,485",888,599,365,525,211,399,270,254,483
2020년04월_계_60~69세,"6,399","2,108",969,644,483,539,269,368,239,220,560
2020년04월_계_70~79세,"5,516","1,480",911,570,435,485,210,419,183,269,554
2020년04월_계_80~89세,"3,831",892,627,422,326,367,214,347,118,234,284
2020년04월_계_90~99세,592,163,83,48,57,74,26,42,18,54,27
2020년04월_계_100세 이상,26,12,1,5,3,1,3,0,1,0,0
2020년04월_남_총인구수,"18,568","7,572","2,446","1,680","1,141","1,417",626,"1,012",561,707,"1,406"
2020년04월_남_연령구간인구수,"18,568","7,572","2,446","1,680","1,141","1,417",626,"1,012",561,707,"1,406"
2020년04월_남_0~9세,"1,062",677,81,63,51,52,23,20,8,26,61
2020년04월_남_10~19세,"1,540",845,190,117,61,77,25,51,27,39,108
2020년04월_남_20~29세,"1,785",892,196,143,87,125,39,85,39,54,125
2020년04월_남_30~39세,"1,547",822,164,104,91,113,41,54,32,34,92
2020년04월_남_40~49세,"2,371","1,081",260,236,131,160,75,109,64,86,169
2020년04월_남_50~59세,"3,499","1,296",475,330,190,286,119,233,159,159,252
2020년04월_남_60~69세,"3,174","1,015",488,315,264,281,138,187,119,109,258
2020년04월_남_70~79세,"2,309",635,373,232,169,216,95,165,71,110,243
2020년04월_남_80~89세,"1,165",279,201,127,93,92,64,101,36,79,93
2020년04월_남_90~99세,112,29,18,11,4,15,6,7,6,11,5
2020년04월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년04월_여_총인구수,"19,657","7,965","2,597","1,809","1,233","1,464",679,"1,114",561,761,"1,474"
2020년04월_여_연령구간인구수,"19,657","7,965","2,597","1,809","1,233","1,464",679,"1,114",561,761,"1,474"
2020년04월_여_0~9세,"1,003",664,73,85,35,33,16,22,12,18,45
2020년04월_여_10~19세,"1,393",790,135,108,54,62,32,59,18,43,92
2020년04월_여_20~29세,"1,395",725,146,113,59,88,41,53,38,40,92
2020년04월_여_30~39세,"1,375",831,135,95,53,69,41,40,12,30,69
2020년04월_여_40~49세,"1,911","1,070",184,137,83,111,39,58,43,67,119
2020년04월_여_50~59세,"2,980","1,189",413,269,175,239,92,166,111,95,231
2020년04월_여_60~69세,"3,225","1,093",481,329,219,258,131,181,120,111,302
2020년04월_여_70~79세,"3,207",845,538,338,266,269,115,254,112,159,311
2020년04월_여_80~89세,"2,666",613,426,295,233,275,150,246,82,155,191
2020년04월_여_90~99세,480,134,65,37,53,59,20,35,12,43,22
2020년04월_여_100세 이상,22,11,1,3,3,1,2,0,1,0,0
