,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년06월_계_총인구수,"34,913","13,781","4,317","2,361","1,154","2,549","1,833","2,853","1,884","1,684",671,"1,826"
2020년06월_계_연령구간인구수,"34,913","13,781","4,317","2,361","1,154","2,549","1,833","2,853","1,884","1,684",671,"1,826"
2020년06월_계_0~9세,"1,863","1,044",237,77,26,66,90,119,50,54,21,79
2020년06월_계_10~19세,"2,576","1,383",342,129,49,132,98,136,80,89,49,89
2020년06월_계_20~29세,"2,868","1,525",346,153,62,128,79,187,119,99,33,137
2020년06월_계_30~39세,"2,579","1,371",316,114,56,125,95,172,99,78,27,126
2020년06월_계_40~49세,"3,847","1,873",483,205,115,205,173,264,128,158,58,185
2020년06월_계_50~59세,"5,774","2,302",714,397,177,390,297,440,334,272,111,340
2020년06월_계_60~69세,"6,080","1,974",717,464,258,549,392,586,346,327,113,354
2020년06월_계_70~79세,"5,271","1,414",609,466,254,518,324,525,392,318,133,318
2020년06월_계_80~89세,"3,541",781,483,316,133,377,257,367,295,244,106,182
2020년06월_계_90~99세,484,103,68,38,23,53,27,54,39,43,20,16
2020년06월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년06월_남_총인구수,"16,851","6,635","2,093","1,144",544,"1,225",869,"1,399",914,793,329,906
2020년06월_남_연령구간인구수,"16,851","6,635","2,093","1,144",544,"1,225",869,"1,399",914,793,329,906
2020년06월_남_0~9세,936,543,117,42,7,31,33,60,29,22,12,40
2020년06월_남_10~19세,"1,324",684,189,60,28,70,52,67,42,55,29,48
2020년06월_남_20~29세,"1,601",824,210,84,36,78,44,116,69,52,18,70
2020년06월_남_30~39세,"1,313",675,167,63,30,68,41,90,58,43,9,69
2020년06월_남_40~49세,"2,150",941,260,122,73,127,113,157,90,103,43,121
2020년06월_남_50~59세,"3,096","1,163",377,225,96,223,163,249,194,146,70,190
2020년06월_남_60~69세,"3,023",948,385,240,120,277,186,302,169,167,57,172
2020년06월_남_70~79세,"2,240",609,236,201,118,223,151,220,163,117,63,139
2020년06월_남_80~89세,"1,072",228,138,102,34,113,83,125,92,79,22,56
2020년06월_남_90~99세,92,19,14,5,2,14,3,12,7,9,6,1
2020년06월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년06월_여_총인구수,"18,062","7,146","2,224","1,217",610,"1,324",964,"1,454",970,891,342,920
2020년06월_여_연령구간인구수,"18,062","7,146","2,224","1,217",610,"1,324",964,"1,454",970,891,342,920
2020년06월_여_0~9세,927,501,120,35,19,35,57,59,21,32,9,39
2020년06월_여_10~19세,"1,252",699,153,69,21,62,46,69,38,34,20,41
2020년06월_여_20~29세,"1,267",701,136,69,26,50,35,71,50,47,15,67
2020년06월_여_30~39세,"1,266",696,149,51,26,57,54,82,41,35,18,57
2020년06월_여_40~49세,"1,697",932,223,83,42,78,60,107,38,55,15,64
2020년06월_여_50~59세,"2,678","1,139",337,172,81,167,134,191,140,126,41,150
2020년06월_여_60~69세,"3,057","1,026",332,224,138,272,206,284,177,160,56,182
2020년06월_여_70~79세,"3,031",805,373,265,136,295,173,305,229,201,70,179
2020년06월_여_80~89세,"2,469",553,345,214,99,264,174,242,203,165,84,126
2020년06월_여_90~99세,392,84,54,33,21,39,24,42,32,34,14,15
2020년06월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
