카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년06월_계_총인구수,"61,436","7,025","6,003","7,697","10,583","3,615","1,618","2,842","7,893","4,561","6,617","2,982"
2021년06월_계_연령구간인구수,"61,436","7,025","6,003","7,697","10,583","3,615","1,618","2,842","7,893","4,561","6,617","2,982"
2021년06월_계_0~9세,"3,550",431,239,329,841,125,79,76,442,330,553,105
2021년06월_계_10~19세,"4,930",605,456,614,887,202,112,153,677,459,572,193
2021년06월_계_20~29세,"6,453",755,685,775,"1,173",375,168,258,825,552,605,282
2021년06월_계_30~39세,"6,630",783,511,713,"1,417",334,157,214,856,621,783,241
2021년06월_계_40~49세,"9,721","1,190",833,"1,191","1,766",476,247,352,"1,280",798,"1,164",424
2021년06월_계_50~59세,"9,928","1,178","1,058","1,252","1,580",656,243,468,"1,279",786,992,436
2021년06월_계_60~69세,"10,260","1,103","1,079","1,382","1,560",736,299,627,"1,293",595,"1,008",578
2021년06월_계_70~79세,"6,569",624,769,927,974,443,193,423,834,302,600,480
2021년06월_계_80~89세,"2,943",310,322,457,334,244,106,238,347,97,278,210
2021년06월_계_90~99세,414,45,48,54,46,23,13,29,52,18,55,31
2021년06월_계_100세 이상,38,1,3,3,5,1,1,4,8,3,7,2
2021년06월_남_총인구수,"31,040","3,611","3,058","3,799","5,201","1,873",796,"1,455","4,052","2,385","3,314","1,496"
2021년06월_남_연령구간인구수,"31,040","3,611","3,058","3,799","5,201","1,873",796,"1,455","4,052","2,385","3,314","1,496"
2021년06월_남_0~9세,"1,852",236,127,177,418,66,38,41,247,172,284,46
2021년06월_남_10~19세,"2,567",315,236,292,466,102,56,75,353,229,329,114
2021년06월_남_20~29세,"3,512",416,378,420,613,211,93,161,484,284,306,146
2021년06월_남_30~39세,"3,560",416,270,397,711,193,93,126,472,357,391,134
2021년06월_남_40~49세,"5,234",637,441,655,922,270,129,208,675,413,641,243
2021년06월_남_50~59세,"5,308",654,584,664,764,369,124,271,679,442,512,245
2021년06월_남_60~69세,"4,984",557,536,653,725,383,150,293,625,301,477,284
2021년06월_남_70~79세,"2,893",268,347,380,448,190,81,184,370,147,275,203
2021년06월_남_80~89세,"1,029",101,129,148,125,80,28,87,129,34,93,75
2021년06월_남_90~99세,92,10,10,13,7,9,4,7,16,5,5,6
2021년06월_남_100세 이상,9,1,0,0,2,0,0,2,2,1,1,0
2021년06월_여_총인구수,"30,396","3,414","2,945","3,898","5,382","1,742",822,"1,387","3,841","2,176","3,303","1,486"
2021년06월_여_연령구간인구수,"30,396","3,414","2,945","3,898","5,382","1,742",822,"1,387","3,841","2,176","3,303","1,486"
2021년06월_여_0~9세,"1,698",195,112,152,423,59,41,35,195,158,269,59
2021년06월_여_10~19세,"2,363",290,220,322,421,100,56,78,324,230,243,79
2021년06월_여_20~29세,"2,941",339,307,355,560,164,75,97,341,268,299,136
2021년06월_여_30~39세,"3,070",367,241,316,706,141,64,88,384,264,392,107
2021년06월_여_40~49세,"4,487",553,392,536,844,206,118,144,605,385,523,181
2021년06월_여_50~59세,"4,620",524,474,588,816,287,119,197,600,344,480,191
2021년06월_여_60~69세,"5,276",546,543,729,835,353,149,334,668,294,531,294
2021년06월_여_70~79세,"3,676",356,422,547,526,253,112,239,464,155,325,277
2021년06월_여_80~89세,"1,914",209,193,309,209,164,78,151,218,63,185,135
2021년06월_여_90~99세,322,35,38,41,39,14,9,22,36,13,50,25
2021년06월_여_100세 이상,29,0,3,3,3,1,1,2,6,2,6,2
