,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년04월_계_총인구수,"230,769","35,991","20,453","61,278","32,042","16,250","64,755"
2021년04월_계_연령구간인구수,"230,769","35,991","20,453","61,278","32,042","16,250","64,755"
2021년04월_계_0~9세,"23,065","3,900",888,"6,947","3,974","1,345","6,011"
2021년04월_계_10~19세,"24,925","4,192","1,183","7,071","3,338","1,954","7,187"
2021년04월_계_20~29세,"31,646","4,481","3,863","7,180","4,071","2,240","9,811"
2021년04월_계_30~39세,"38,464","5,418","4,926","9,818","5,953","2,341","10,008"
2021년04월_계_40~49세,"43,628","6,795","3,813","11,707","6,124","3,112","12,077"
2021년04월_계_50~59세,"33,634","5,441","2,851","8,511","4,267","2,545","10,019"
2021년04월_계_60~69세,"20,809","3,323","1,756","5,878","2,720","1,542","5,590"
2021년04월_계_70~79세,"9,906","1,621",818,"2,817","1,102",782,"2,766"
2021년04월_계_80~89세,"4,144",737,324,"1,180",421,350,"1,132"
2021년04월_계_90~99세,517,77,27,157,71,34,151
2021년04월_계_100세 이상,31,6,4,12,1,5,3
2021년04월_남_총인구수,"119,513","18,039","12,094","30,973","16,401","8,347","33,659"
2021년04월_남_연령구간인구수,"119,513","18,039","12,094","30,973","16,401","8,347","33,659"
2021년04월_남_0~9세,"11,753","2,011",434,"3,543","2,001",695,"3,069"
2021년04월_남_10~19세,"12,722","2,063",592,"3,586","1,693","1,010","3,778"
2021년04월_남_20~29세,"17,109","2,350","2,210","3,796","2,145","1,227","5,381"
2021년04월_남_30~39세,"20,831","2,765","3,183","5,081","3,118","1,275","5,409"
2021년04월_남_40~49세,"23,201","3,460","2,395","6,192","3,208","1,600","6,346"
2021년04월_남_50~59세,"17,606","2,783","1,791","4,302","2,167","1,313","5,250"
2021년04월_남_60~69세,"10,288","1,625",967,"2,804","1,371",757,"2,764"
2021년04월_남_70~79세,"4,369",686,387,"1,232",543,341,"1,180"
2021년04월_남_80~89세,"1,526",282,132,402,148,119,443
2021년04월_남_90~99세,99,12,3,32,7,7,38
2021년04월_남_100세 이상,9,2,0,3,0,3,1
2021년04월_여_총인구수,"111,256","17,952","8,359","30,305","15,641","7,903","31,096"
2021년04월_여_연령구간인구수,"111,256","17,952","8,359","30,305","15,641","7,903","31,096"
2021년04월_여_0~9세,"11,312","1,889",454,"3,404","1,973",650,"2,942"
2021년04월_여_10~19세,"12,203","2,129",591,"3,485","1,645",944,"3,409"
2021년04월_여_20~29세,"14,537","2,131","1,653","3,384","1,926","1,013","4,430"
2021년04월_여_30~39세,"17,633","2,653","1,743","4,737","2,835","1,066","4,599"
2021년04월_여_40~49세,"20,427","3,335","1,418","5,515","2,916","1,512","5,731"
2021년04월_여_50~59세,"16,028","2,658","1,060","4,209","2,100","1,232","4,769"
2021년04월_여_60~69세,"10,521","1,698",789,"3,074","1,349",785,"2,826"
2021년04월_여_70~79세,"5,537",935,431,"1,585",559,441,"1,586"
2021년04월_여_80~89세,"2,618",455,192,778,273,231,689
2021년04월_여_90~99세,418,65,24,125,64,27,113
2021년04월_여_100세 이상,22,4,4,9,1,2,2
