카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년09월_계_총인구수,"61,808","29,393","8,578","2,323","4,228","5,393","5,335","4,334","2,224"
2021년09월_계_연령구간인구수,"61,808","29,393","8,578","2,323","4,228","5,393","5,335","4,334","2,224"
2021년09월_계_0~9세,"2,914","2,065",307,65,113,114,98,107,45
2021년09월_계_10~19세,"4,343","2,851",601,116,158,197,182,156,82
2021년09월_계_20~29세,"4,782","2,898",543,88,351,258,243,287,114
2021년09월_계_30~39세,"4,724","3,058",504,108,233,276,217,229,99
2021년09월_계_40~49세,"7,495","4,386",967,234,407,463,505,353,180
2021년09월_계_50~59세,"10,532","4,919","1,492",405,696,982,925,763,350
2021년09월_계_60~69세,"12,765","4,638","1,973",570,"1,062","1,469","1,428","1,064",561
2021년09월_계_70~79세,"8,887","2,970","1,445",437,725,"1,012","1,052",796,450
2021년09월_계_80~89세,"4,671","1,413",626,273,420,537,612,488,302
2021년09월_계_90~99세,674,192,111,26,62,82,73,88,40
2021년09월_계_100세 이상,21,3,9,1,1,3,0,3,1
2021년09월_남_총인구수,"31,154","14,842","4,267","1,115","2,170","2,764","2,635","2,221","1,140"
2021년09월_남_연령구간인구수,"31,154","14,842","4,267","1,115","2,170","2,764","2,635","2,221","1,140"
2021년09월_남_0~9세,"1,455","1,042",152,24,53,53,54,54,23
2021년09월_남_10~19세,"2,259","1,459",333,48,90,105,95,84,45
2021년09월_남_20~29세,"2,815","1,672",325,51,234,158,128,185,62
2021년09월_남_30~39세,"2,603","1,647",259,56,135,183,122,143,58
2021년09월_남_40~49세,"4,214","2,320",547,144,254,297,320,207,125
2021년09월_남_50~59세,"5,606","2,527",797,224,367,540,506,431,214
2021년09월_남_60~69세,"6,167","2,237",928,276,524,712,694,520,276
2021년09월_남_70~79세,"4,234","1,410",684,194,348,490,488,397,223
2021년09월_남_80~89세,"1,648",476,218,91,150,206,216,181,110
2021년09월_남_90~99세,146,52,19,7,14,20,12,18,4
2021년09월_남_100세 이상,7,0,5,0,1,0,0,1,0
2021년09월_여_총인구수,"30,654","14,551","4,311","1,208","2,058","2,629","2,700","2,113","1,084"
2021년09월_여_연령구간인구수,"30,654","14,551","4,311","1,208","2,058","2,629","2,700","2,113","1,084"
2021년09월_여_0~9세,"1,459","1,023",155,41,60,61,44,53,22
2021년09월_여_10~19세,"2,084","1,392",268,68,68,92,87,72,37
2021년09월_여_20~29세,"1,967","1,226",218,37,117,100,115,102,52
2021년09월_여_30~39세,"2,121","1,411",245,52,98,93,95,86,41
2021년09월_여_40~49세,"3,281","2,066",420,90,153,166,185,146,55
2021년09월_여_50~59세,"4,926","2,392",695,181,329,442,419,332,136
2021년09월_여_60~69세,"6,598","2,401","1,045",294,538,757,734,544,285
2021년09월_여_70~79세,"4,653","1,560",761,243,377,522,564,399,227
2021년09월_여_80~89세,"3,023",937,408,182,270,331,396,307,192
2021년09월_여_90~99세,528,140,92,19,48,62,61,70,36
2021년09월_여_100세 이상,14,3,4,1,0,3,0,2,1
