카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년06월_계_총인구수,"320,365","24,976","29,277","14,067","26,853","24,841","21,265","27,175","21,605","18,850","16,532","18,879","28,722","19,845","27,478"
2021년06월_계_연령구간인구수,"320,365","24,976","29,277","14,067","26,853","24,841","21,265","27,175","21,605","18,850","16,532","18,879","28,722","19,845","27,478"
2021년06월_계_0~9세,"17,841","1,506","1,705",736,"1,724","1,506",829,"1,542","1,144",986,754,"1,161","1,495",869,"1,884"
2021년06월_계_10~19세,"24,819","2,099","2,202","1,064","2,551","1,914","1,155","1,641","1,599","1,326","1,025","1,949","2,159","1,453","2,682"
2021년06월_계_20~29세,"42,520","3,273","4,112","1,772","3,649","3,651","2,582","3,259","2,966","2,504","2,486","2,514","3,835","2,619","3,298"
2021년06월_계_30~39세,"39,828","3,339","4,018","1,678","3,344","3,488","2,296","3,502","2,556","2,512","2,254","2,276","3,288","2,156","3,121"
2021년06월_계_40~49세,"47,191","3,985","4,493","2,097","4,318","3,510","2,878","3,690","3,179","2,710","2,369","2,870","4,143","2,803","4,146"
2021년06월_계_50~59세,"56,062","4,195","5,076","2,542","4,850","4,298","3,741","4,431","3,685","3,246","2,833","3,373","5,319","3,726","4,747"
2021년06월_계_60~69세,"50,807","3,540","4,263","2,223","3,629","3,757","3,956","4,929","3,415","3,067","2,500","2,882","4,724","3,391","4,531"
2021년06월_계_70~79세,"27,510","1,965","2,310","1,369","1,718","1,772","2,680","2,815","2,038","1,614","1,603","1,164","2,628","1,923","1,911"
2021년06월_계_80~89세,"11,999",951,988,532,913,814,"1,030","1,153",891,757,621,585,977,798,989
2021년06월_계_90~99세,"1,665",115,105,47,147,129,116,190,116,108,81,102,148,99,162
2021년06월_계_100세 이상,123,8,5,7,10,2,2,23,16,20,6,3,6,8,7
2021년06월_남_총인구수,"156,080","11,862","14,256","7,055","12,902","11,903","10,768","13,267","10,414","9,060","8,013","8,920","14,276","10,017","13,367"
2021년06월_남_연령구간인구수,"156,080","11,862","14,256","7,055","12,902","11,903","10,768","13,267","10,414","9,060","8,013","8,920","14,276","10,017","13,367"
2021년06월_남_0~9세,"9,254",761,885,390,905,782,407,789,598,514,381,620,737,451,"1,034"
2021년06월_남_10~19세,"12,750","1,066","1,128",561,"1,284",976,626,842,770,697,540,973,"1,099",748,"1,440"
2021년06월_남_20~29세,"21,632","1,620","2,064",928,"1,847","1,793","1,390","1,645","1,411","1,273","1,211","1,264","1,977","1,427","1,782"
2021년06월_남_30~39세,"20,373","1,653","2,020",889,"1,632","1,765","1,274","1,785","1,312","1,296","1,175","1,108","1,703","1,195","1,566"
2021년06월_남_40~49세,"23,414","1,936","2,278","1,088","2,040","1,668","1,575","1,863","1,610","1,382","1,229","1,296","2,050","1,458","1,941"
2021년06월_남_50~59세,"26,742","1,944","2,416","1,282","2,293","1,973","1,852","2,161","1,787","1,462","1,309","1,531","2,674","1,846","2,212"
2021년06월_남_60~69세,"24,102","1,641","1,976","1,067","1,737","1,770","1,916","2,325","1,595","1,419","1,171","1,364","2,303","1,673","2,145"
2021년06월_남_70~79세,"12,672",846,"1,048",619,781,818,"1,264","1,361",938,698,703,545,"1,295",879,877
2021년06월_남_80~89세,"4,647",361,413,221,329,315,422,449,358,282,270,188,402,309,328
2021년06월_남_90~99세,458,31,28,8,49,43,41,43,29,29,23,31,35,28,40
2021년06월_남_100세 이상,36,3,0,2,5,0,1,4,6,8,1,0,1,3,2
2021년06월_여_총인구수,"164,285","13,114","15,021","7,012","13,951","12,938","10,497","13,908","11,191","9,790","8,519","9,959","14,446","9,828","14,111"
2021년06월_여_연령구간인구수,"164,285","13,114","15,021","7,012","13,951","12,938","10,497","13,908","11,191","9,790","8,519","9,959","14,446","9,828","14,111"
2021년06월_여_0~9세,"8,587",745,820,346,819,724,422,753,546,472,373,541,758,418,850
2021년06월_여_10~19세,"12,069","1,033","1,074",503,"1,267",938,529,799,829,629,485,976,"1,060",705,"1,242"
2021년06월_여_20~29세,"20,888","1,653","2,048",844,"1,802","1,858","1,192","1,614","1,555","1,231","1,275","1,250","1,858","1,192","1,516"
2021년06월_여_30~39세,"19,455","1,686","1,998",789,"1,712","1,723","1,022","1,717","1,244","1,216","1,079","1,168","1,585",961,"1,555"
2021년06월_여_40~49세,"23,777","2,049","2,215","1,009","2,278","1,842","1,303","1,827","1,569","1,328","1,140","1,574","2,093","1,345","2,205"
2021년06월_여_50~59세,"29,320","2,251","2,660","1,260","2,557","2,325","1,889","2,270","1,898","1,784","1,524","1,842","2,645","1,880","2,535"
2021년06월_여_60~69세,"26,705","1,899","2,287","1,156","1,892","1,987","2,040","2,604","1,820","1,648","1,329","1,518","2,421","1,718","2,386"
2021년06월_여_70~79세,"14,838","1,119","1,262",750,937,954,"1,416","1,454","1,100",916,900,619,"1,333","1,044","1,034"
2021년06월_여_80~89세,"7,352",590,575,311,584,499,608,704,533,475,351,397,575,489,661
2021년06월_여_90~99세,"1,207",84,77,39,98,86,75,147,87,79,58,71,113,71,122
2021년06월_여_100세 이상,87,5,5,5,5,2,1,19,10,12,5,3,5,5,5
