,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년02월_계_총인구수,"41,514","8,513","1,656",878,"1,666","5,283","5,745","3,090","8,702","5,981"
2021년02월_계_연령구간인구수,"41,514","8,513","1,656",878,"1,666","5,283","5,745","3,090","8,702","5,981"
2021년02월_계_0~9세,"1,841",407,37,22,52,217,285,114,414,293
2021년02월_계_10~19세,"2,863",717,73,41,68,315,429,206,652,362
2021년02월_계_20~29세,"3,353",762,107,51,92,398,417,213,727,586
2021년02월_계_30~39세,"3,052",669,65,45,88,314,459,154,625,633
2021년02월_계_40~49세,"5,291","1,078",188,75,148,628,783,380,"1,115",896
2021년02월_계_50~59세,"7,985","1,590",347,176,353,993,"1,139",668,"1,615","1,104"
2021년02월_계_60~69세,"8,979","1,710",432,239,478,"1,229","1,266",710,"1,812","1,103"
2021년02월_계_70~79세,"4,994",925,250,144,250,692,617,361,"1,107",648
2021년02월_계_80~89세,"2,739",557,130,74,114,433,321,252,541,317
2021년02월_계_90~99세,377,91,27,10,22,59,27,31,78,32
2021년02월_계_100세 이상,40,7,0,1,1,5,2,1,16,7
2021년02월_남_총인구수,"21,269","4,328",877,457,868,"2,680","3,003","1,550","4,386","3,120"
2021년02월_남_연령구간인구수,"21,269","4,328",877,457,868,"2,680","3,003","1,550","4,386","3,120"
2021년02월_남_0~9세,911,206,18,15,24,101,130,50,221,146
2021년02월_남_10~19세,"1,507",357,42,22,33,160,239,111,333,210
2021년02월_남_20~29세,"1,987",450,65,36,48,236,251,123,428,350
2021년02월_남_30~39세,"1,652",364,41,21,49,169,245,78,321,364
2021년02월_남_40~49세,"2,883",561,117,42,83,355,422,204,590,509
2021년02월_남_50~59세,"4,272",854,189,85,189,528,613,361,859,594
2021년02월_남_60~69세,"4,666",874,244,140,269,645,665,366,921,542
2021년02월_남_70~79세,"2,319",453,117,60,129,307,312,160,514,267
2021년02월_남_80~89세,986,194,41,35,42,164,120,87,178,125
2021년02월_남_90~99세,76,14,3,0,2,14,6,9,17,11
2021년02월_남_100세 이상,10,1,0,1,0,1,0,1,4,2
2021년02월_여_총인구수,"20,245","4,185",779,421,798,"2,603","2,742","1,540","4,316","2,861"
2021년02월_여_연령구간인구수,"20,245","4,185",779,421,798,"2,603","2,742","1,540","4,316","2,861"
2021년02월_여_0~9세,930,201,19,7,28,116,155,64,193,147
2021년02월_여_10~19세,"1,356",360,31,19,35,155,190,95,319,152
2021년02월_여_20~29세,"1,366",312,42,15,44,162,166,90,299,236
2021년02월_여_30~39세,"1,400",305,24,24,39,145,214,76,304,269
2021년02월_여_40~49세,"2,408",517,71,33,65,273,361,176,525,387
2021년02월_여_50~59세,"3,713",736,158,91,164,465,526,307,756,510
2021년02월_여_60~69세,"4,313",836,188,99,209,584,601,344,891,561
2021년02월_여_70~79세,"2,675",472,133,84,121,385,305,201,593,381
2021년02월_여_80~89세,"1,753",363,89,39,72,269,201,165,363,192
2021년02월_여_90~99세,301,77,24,10,20,45,21,22,61,21
2021년02월_여_100세 이상,30,6,0,0,1,4,2,0,12,5
