,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년07월_계_총인구수,"34,557","6,787","1,411","1,059","2,013","2,871","1,814","4,170","5,588","5,619","1,171","2,054"
2021년07월_계_연령구간인구수,"34,557","6,787","1,411","1,059","2,013","2,871","1,814","4,170","5,588","5,619","1,171","2,054"
2021년07월_계_0~9세,"1,246",362,43,34,49,82,30,114,161,307,34,30
2021년07월_계_10~19세,"2,040",542,39,46,88,160,69,279,198,472,44,103
2021년07월_계_20~29세,"2,340",623,61,42,98,151,97,297,342,487,55,87
2021년07월_계_30~39세,"2,030",595,59,38,81,180,65,199,275,411,55,72
2021년07월_계_40~49세,"3,362",813,103,89,129,261,143,448,508,624,81,163
2021년07월_계_50~59세,"6,341","1,130",230,165,305,522,380,893,"1,135","1,059",171,351
2021년07월_계_60~69세,"7,649","1,206",352,221,463,614,458,965,"1,394","1,162",316,498
2021년07월_계_70~79세,"5,181",851,261,197,421,484,323,565,885,577,223,394
2021년07월_계_80~89세,"3,768",557,230,192,330,349,222,354,597,461,162,314
2021년07월_계_90~99세,583,105,32,34,47,66,26,54,90,59,30,40
2021년07월_계_100세 이상,17,3,1,1,2,2,1,2,3,0,0,2
2021년07월_남_총인구수,"16,975","3,286",695,506,968,"1,411",888,"2,069","2,811","2,770",556,"1,015"
2021년07월_남_연령구간인구수,"16,975","3,286",695,506,968,"1,411",888,"2,069","2,811","2,770",556,"1,015"
2021년07월_남_0~9세,648,183,23,14,34,45,19,55,96,152,15,12
2021년07월_남_10~19세,"1,096",286,26,29,51,85,43,157,105,231,21,62
2021년07월_남_20~29세,"1,332",352,32,22,58,85,55,163,204,283,30,48
2021년07월_남_30~39세,"1,083",303,36,17,48,97,40,97,156,214,32,43
2021년07월_남_40~49세,"1,852",413,60,53,87,150,80,234,303,314,55,103
2021년07월_남_50~59세,"3,457",584,151,105,177,296,196,480,601,551,102,214
2021년07월_남_60~69세,"3,971",608,180,113,236,322,238,477,739,630,161,267
2021년07월_남_70~79세,"2,312",379,118,81,172,208,141,263,419,258,96,177
2021년07월_남_80~89세,"1,105",160,60,65,96,106,72,125,179,127,38,77
2021년07월_남_90~99세,117,18,9,7,8,17,4,17,9,10,6,12
2021년07월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년07월_여_총인구수,"17,582","3,501",716,553,"1,045","1,460",926,"2,101","2,777","2,849",615,"1,039"
2021년07월_여_연령구간인구수,"17,582","3,501",716,553,"1,045","1,460",926,"2,101","2,777","2,849",615,"1,039"
2021년07월_여_0~9세,598,179,20,20,15,37,11,59,65,155,19,18
2021년07월_여_10~19세,944,256,13,17,37,75,26,122,93,241,23,41
2021년07월_여_20~29세,"1,008",271,29,20,40,66,42,134,138,204,25,39
2021년07월_여_30~39세,947,292,23,21,33,83,25,102,119,197,23,29
2021년07월_여_40~49세,"1,510",400,43,36,42,111,63,214,205,310,26,60
2021년07월_여_50~59세,"2,884",546,79,60,128,226,184,413,534,508,69,137
2021년07월_여_60~69세,"3,678",598,172,108,227,292,220,488,655,532,155,231
2021년07월_여_70~79세,"2,869",472,143,116,249,276,182,302,466,319,127,217
2021년07월_여_80~89세,"2,663",397,170,127,234,243,150,229,418,334,124,237
2021년07월_여_90~99세,466,87,23,27,39,49,22,37,81,49,24,28
2021년07월_여_100세 이상,15,3,1,1,1,2,1,1,3,0,0,2
