카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년05월_계_총인구수,"243,484","8,010","3,108","1,613","7,184","2,922","11,984","1,106","8,185","3,588","1,080","3,140","1,404","6,129","9,295","27,119","7,362","26,263","20,694","35,114","34,456","23,728"
2021년05월_계_연령구간인구수,"243,484","8,010","3,108","1,613","7,184","2,922","11,984","1,106","8,185","3,588","1,080","3,140","1,404","6,129","9,295","27,119","7,362","26,263","20,694","35,114","34,456","23,728"
2021년05월_계_0~9세,"25,537",552,84,29,387,64,"1,368",35,474,181,30,73,52,387,507,"4,370",607,"2,402","1,565","3,353","5,581","3,436"
2021년05월_계_10~19세,"27,793",626,116,62,569,150,"1,136",51,662,268,29,111,68,653,939,"3,482",644,"3,006","2,222","4,215","5,044","3,740"
2021년05월_계_20~29세,"23,740",670,218,86,537,208,926,66,763,282,45,198,74,648,972,"2,300",848,"2,849","2,779","4,070","2,978","2,223"
2021년05월_계_30~39세,"34,960",834,215,90,592,150,"1,712",74,835,294,63,175,98,636,861,"5,689","1,057","3,510","3,267","4,832","6,417","3,559"
2021년05월_계_40~49세,"47,405","1,245",341,153,967,308,"2,189",108,"1,358",445,104,367,184,"1,172","1,594","6,145","1,330","4,984","4,402","6,889","7,605","5,515"
2021년05월_계_50~59세,"39,349","1,591",623,336,"1,284",552,"1,886",231,"1,686",665,205,578,265,"1,199","1,897","2,989","1,369","4,840","3,898","5,986","4,146","3,123"
2021년05월_계_60~69세,"27,713","1,463",720,398,"1,415",734,"1,532",299,"1,388",723,264,729,318,886,"1,660","1,529","1,071","3,390","1,899","4,038","1,824","1,433"
2021년05월_계_70~79세,"11,053",630,500,280,822,455,807,163,614,434,201,523,198,366,615,423,315,915,471,"1,234",620,467
